a62a25873742b3f3176169134a3edbe21303a02cd4a0fe58e463cc3e451a6151,852e2361a00b7605daa06a5cef373c62c694416efe62eac5e30b690c07c4cf0a,e1c36093b523addae09e1726c9a0df93b9b4852aaa1776e01dbbb371994f1da7,420bb0f18868d85d83cfdd97426723caf0133848be23884fb6590649c9a5516f,51af8462a929a48af3c5505a3b841f269f1a804cfa5e5dda3abb0cf95cb8d915,6f82e8a73c67995abca4bae5b6120e1ab0de3ea2f4e5055dbae7fb79cf765456,8417edd3540bef43c616588c74de2765a63bda13d2dcf8986bacd9e55d9652c5,5da9f18873f4e364a79cc404ae09fef0045b8d9067363451f669ac8304a91515
"10001101","10001","10001","10001","10001101","タルグム地方","bgm_M32","bgm_M32"
"10002101","10002","10002","10002","10002101","マシーナ地方","bgm_M98_2","bgm_M98"
"10003101","10003","10003","10003","10003101","ランドソル郊外","bgm_M106","bgm_M106"
"10004101","10004","10004","10004","10004101","タパスビーチ周辺","bgm_M112","bgm_M112"
"10005101","10005","10005","10005","10005101","イルシオンの孤島","bgm_M121","bgm_M121"
"10006101","10006","10006","10006","10006101","王都ランドソル","bgm_M128","bgm_M128"
"10007101","10007","10007","10007","10007101","ランドソル近郊","bgm_M135","bgm_M135"
"10008101","10008","10008","10008","10008101","ランドソル近郊","bgm_M121","bgm_M121"
"10009101","10009","10009","10009","10009101","クリスマス","bgm_M171","bgm_M171"
"10010101","10010","10010","10010","10010101","神殿への参道","bgm_M121","bgm_M121"
"10011101","10011","10011","10011","10011101","バレンタイン","bgm_M189","bgm_M189"
"10012101","10012","10012","10012","10012101","王都ランドソル","bgm_M206","bgm_M206"
"10013101","10013","10013","10013","10013101","マナリア","bgm_M215","bgm_M215"
"10014101","10014","10014","10014","10014101","タルグム地方","bgm_M32","bgm_M32"
