05ecbb2f720a6234ee3d58077c42d01d38c52eb6e24429a09323035886589644,92338f2bd0cda04cdbc9975699b8927782cc61eb60890553e4c017955fe59f4f,60326e947d1cbed564495837120b5df45ee1118146f421ace13540af9278b728,1da1e4c10fd51a1069682e5a124c076a6b615a7d65f9f05594fba1d81f47f32e
"1","10000","1","ＨＰ"
"2","10000","1","物理攻撃力"
"3","10000","1","物理防御力"
"4","10000","1","魔法攻撃力"
"5","10000","1","魔法防御力"
"6","10000","1","物理クリティカル"
"7","10000","1","魔法クリティカル"
"8","1","0","回避"
"9","1","0","ＨＰ吸収"
"10","1","0","ＨＰ自動回復"
"11","1","0","ＴＰ自動回復"
"12","1","0","物理貫通ダメージ"
"13","1","0","魔法貫通ダメージ"
"14","1","0","ＴＰ上昇"
"15","1","0","回復量上昇"
"16","1","0","ＴＰ消費軽減"
"17","1","0","命中"
"100","100","1","物理クリティカルダメージ"
"101","100","1","魔法クリティカルダメージ"
"102","100","1","物理与ダメージ"
"103","100","1","魔法与ダメージ"
"104","10000","1","属性ボーナス"
