10b1558fb113cda37fa218379da5dab88ee43c5ae9eefebf1d8b1c4cfda16abf,9c4f0289eb7e5959b44a48428d4c7c81e1fa45d83c189aed85f2cc540a3731f0,d5fd6f42abd2e5dc05d13b2679651f873928be1d8dc9fe68035b606b47d90239
"31038","31012","20001"
"31004","31020","20002"
"31017","31010","20003"
"31028","31076","20004"
"31032","31080","20005"
"31034","31047","20006"
"31022","31082","20007"
"31051","31009","20008"
"31029","31085","20009"
"31002","31089","20010"
"31011","31090","20011"
"31008","31043","20012"
"31018","31093","20013"
"31045","31053","20014"
"31050","31101","20015"
"31014","31105","20016"
"31040","31056","20017"
"31036","31112","20018"
"31005","31037","20019"
"31044","31116","20020"
"31021","31121","20021"
"31049","31123","20022"
"31046","31107","20023"
"31033","31028","20024"
"31065","31130","20025"
"31027","31132","20026"
"31023","31135","20027"
"31013","31016","20028"
"31054","31141","20029"
"31037","31014","20030"
"31048","31146","20031"
"31060","31147","20032"
"31003","31156","20033"
"31003","31156","20034"
"31010","31158","20035"
"31031","31032","20036"
"31015","31065","20037"
"31040","31168","20038"
"31050","31018","20039"
"31109","31174","20040"
"31051","31096","20041"
"31047","31178","20042"
"31055","31053","20043"
"31006","31192","20044"
"31044","31208","20045"
"31060","31059","20046"
"31058","31212","20047"
"31026","31128","20048"
"31046","31065","20049"
"31031","31014","20050"
"31034","31221","20051"
"31002","31224","20052"
"31036","31228","20053"
"31023","31010","20054"
"31013","31235","20055"
"31005","31037","20056"
"31047","31241","20057"
"31066","31247","20058"
