b98b9663d2587de07232d51972628e2f051db5f849bb010d0fee89cfc4ca2029,36f36f6631a5703032772dad7c207308320bb357e7654fd721f58f19dc5e371a,10ca102800986981122649809b29a57953d3cd3451cd7c4cc0e114a89d302546,31a28c693900654a7a1aa46c05c4ba16cbe0198b55f78b59fa75290a618c9e07,8aa271e8430eec5fb5b9d2134b7fc811edba0b35e21b2cff8633e1b8943cb1c7,f5a89479ad7028108acb52736f5873b14f8a220970f468136f5008fbc709806a,f5ffd4cef99d6ad7d9a841c46f0edc7c4703eb58d23de6a9da3618e86b5c4583,5926968a2082517aa600773b9e25a0c83f3a58693e409f8a5073e97d465d36f0
"11001","2015/12/17 15:00:00","101","bgm_M61","2030/12/17 14:59:59","1.ジュノー平野","1.ジュノー平野","bgm_M61"
"11002","2015/12/17 15:00:00","101","bgm_M61","2030/12/17 14:59:59","2.パラス高原","2.パラス高原","bgm_M61_02"
"11003","2015/12/17 15:00:00","101","bgm_M61","2030/12/17 14:59:59","3.ヘーベ丘陵","3.ヘーベ丘陵","bgm_M61_03"
"11004","2015/12/17 15:00:00","101","bgm_M61","2030/12/17 14:59:59","4.ベスタ渓谷","4.ベスタ渓谷","bgm_M61_04"
"11005","2015/12/17 15:00:00","101","bgm_M62","2030/12/17 14:59:59","5.ケレス森林","5.ケレス森林","bgm_M62_01"
"11006","2015/12/17 15:00:00","101","bgm_M62","2030/12/17 14:59:59","6.フローラ湖畔","6.フローラ湖畔","bgm_M62_02"
"11007","2015/12/17 15:00:00","101","bgm_M62","2030/12/17 14:59:59","7.メティス大瀑布","7.メティス大瀑布","bgm_M62_03"
"11008","2015/12/17 15:00:00","101","bgm_M42","2030/12/17 14:59:59","8.イリス樹海","8.イリス樹海","bgm_M42_02"
"11009","2015/12/17 15:00:00","101","bgm_M58","2030/12/17 14:59:59","9.フリガ雪原","9.フリガ雪原","bgm_M58"
"11010","2015/12/17 15:00:00","101","bgm_M101","2030/12/17 14:59:59","10.ロレッタ海岸","10.ロレッタ海岸","bgm_M101"
"11011","2015/12/17 15:00:00","101","bgm_M93","2030/12/17 14:59:59","11.ゲヌア砂漠","11.ゲヌア砂漠","bgm_M93"
"11012","2015/12/17 15:00:00","101","bgm_M94","2030/12/17 14:59:59","12.ボノニア砂丘","12.ボノニア砂丘","bgm_M94"
"11013","2015/12/17 15:00:00","101","bgm_M118","2030/12/17 14:59:59","13.ドロテア湿地","13.ドロテア湿地","bgm_M118"
"11014","2015/12/17 15:00:00","101","bgm_M95","2030/12/17 14:59:59","14.ウジェニア熱地","14.ウジェニア熱地","bgm_M95"
"11015","2015/12/17 15:00:00","101","bgm_M96","2030/12/17 14:59:59","15.タリア火山","15.タリア火山","bgm_M96"
"11016","2015/12/17 15:00:00","101","bgm_M140","2030/12/17 14:59:59","16.テミス銀嶺","16.テミス銀嶺","bgm_M140"
"11017","2015/12/17 15:00:00","101","bgm_M141","2030/12/17 14:59:59","17.フィデス氷原","17.フィデス氷原","bgm_M141"
"11018","2015/12/17 15:00:00","102","bgm_M179","2030/12/17 14:59:59","18.ファエトン\n　　　　　原野・北部","18.ファエトン原野・北部","bgm_M179"
"11019","2015/12/17 15:00:00","102","bgm_M179","2030/12/17 14:59:59","19.ファエトン\n　　　　　原野・南部","19.ファエトン原野・南部","bgm_M179"
"11020","2015/12/17 15:00:00","102","bgm_M180","2030/12/17 14:59:59","20.カスタリア\n　　　　　樹林・西部","20.カスタリア樹林・西部","bgm_M180"
"11021","2015/12/17 15:00:00","102","bgm_M180","2030/12/17 14:59:59","21.カスタリア\n　　　　　樹林・東部","21.カスタリア樹林・東部","bgm_M180"
"11022","2015/12/17 15:00:00","102","bgm_M232","2030/12/17 14:59:59","22.マティルド\n　　　　　岩峯・南部","22.マティルド岩峯・南部","bgm_M232"
"11023","2015/12/17 15:00:00","102","bgm_M232","2030/12/17 14:59:59","23.マティルド\n　　　　　岩峯・北部","23.マティルド岩峯・北部","bgm_M232"
"11024","2015/12/17 15:00:00","102","bgm_M233","2030/12/17 14:59:59","24.レディウス\n　　　　　群峰・西麓","24.レディウス群峰・西麓","bgm_M233"
"11025","2015/12/17 15:00:00","102","bgm_M233","2030/12/17 14:59:59","25.レディウス\n　　　　　群峰・東麓","25.レディウス群峰・東麓","bgm_M233"
"11026","2015/12/17 15:00:00","102","bgm_M260","2030/12/17 14:59:59","26.ペテロ大森林・西部","26.ペテロ大森林・西部","bgm_M260"
"11027","2015/12/17 15:00:00","102","bgm_M260","2030/12/17 14:59:59","27.ペテロ大森林・東部","27.ペテロ大森林・東部","bgm_M260"
"11028","2015/12/17 15:00:00","102","bgm_M278","2030/12/17 14:59:59","28.ディズタル\n　　　　　河食岸・北部","28.ディズタル河食岸・北部","bgm_M278_E28"
"11029","2015/12/17 15:00:00","102","bgm_M278","2030/12/17 14:59:59","29.ディズタル\n　　　　　河食岸・南部","29.ディズタル河食岸・南部","bgm_M278_E29"
"11030","2015/12/17 15:00:00","102","bgm_M293","2030/12/17 14:59:59","30.フテラ断崖・北部","30.フテラ断崖・北部","bgm_M293"
"11031","2015/12/17 15:00:00","102","bgm_M293","2030/12/17 14:59:59","31.フテラ断崖・南部","31.フテラ断崖・南部","bgm_M293"
"11032","2015/12/17 15:00:00","102","bgm_M339","2030/12/17 14:59:59","32.ファスキア\n　　　　　　森林・南部","32.ファスキア森林・南部","bgm_M339"
"11033","2015/12/17 15:00:00","102","bgm_M339","2030/12/17 14:59:59","33.ファスキア\n　　　　　　森林・東部","33.ファスキア森林・東部","bgm_M339"
"11034","2015/12/17 15:00:00","102","bgm_M374","2030/12/17 14:59:59","34.デクスティア\n　　　　　岩崖・西壁","34.デクスティア岩崖・西壁","bgm_M374"
"11035","2015/12/17 15:00:00","102","bgm_M374","2030/12/17 14:59:59","35.デクスティア\n　　　　　岩崖・東壁","35.デクスティア岩崖・東壁","bgm_M374"
"11036","2015/12/17 15:00:00","102","bgm_M392","2030/12/17 14:59:59","36.ヴェーナ\n　　　　　湖畔道・南部","36.ヴェーナ湖畔道・南部","bgm_M392"
