c92ab2432c8c913b471af9915bd4c7543e2c7b165f30fca40c56fc3f0edbbb94,abf6ebe841fa9f99091dc7a15f98af3701c9f7d9fea3f85465367fe1688a5df3,05a3817c20efa91d7030d9bd0278cbc287e15063ca965d9f6cf3f148d2244e2c,63014d1312217a9d6970986bfb6e30776b6e3b8ddcb534cb2253acf386bd3fca,688c3d23d497a2f75845ac1098d6def13279b0c65f37f226899d315d9a595103,8204b069a3eb0c4eb67068755abb4771d4e126c93af013786c4ada643f1e611a,2dbd319b4cf7a4b0f65d2df7495dc3f25b0489d3252b074cf107651ff2cc3aa6,bf23d6a32652f32a43c79446746923a2caf28c692eb03de735c7e46ee655c6ed,4464cd5133478f07918e11723db601f71bee8b49b0a2795481e0e47b1943be86,c066c13a1151b8a6e276ee3ffddf320c07d353b99cf41a96d57dec2c8a77b7f4,b439194194a3673c74c2682a872c6b0d268ae6352dbc19c6e1be66352ea52ce0,bbb5c904914633f26782e401de11cd412d3796a37cbfc9d32b9c8261f08f2ad5,a4f6136d1b416d3647a06354b17e5b99e0e9b65db4b69efd6459121936fc22d0,ad4a2707f1793b269cd9fcb70ee8762e84ee31a34eca823dfa52e7ddde78fe67,5ce06caf1c71add0de670b06af3cfb60ea0e739484a5dcc9e6a7e8aef8dcc910,a2c81e9cd77f29ad6b23c9f46440a39e15d6525ad921fe027ba18c3df927443a,d274de24379b1372275aa089c0ce8d186d39396f67ddc6a8baf359a9f32f6b3e,81e936dad0f845260af7a9256583bbb84679ebe4666df9997024dfae066ee623
"94002","20003","0","12","0","1","5","5","20","2","0","150","22003","150000","8","2","1","91002"
"94002","20003","0","12","0","2","9","2","15","2","0","145","22003","100000","8","2","6","91002"
"94002","20003","0","12","0","3","19","5","11","2","0","140","22002","80000","8","2","10","91002"
"94002","20003","0","12","0","4","29","5","10","2","0","130","22002","80000","8","2","20","91002"
"94002","20003","0","12","0","5","39","4","9","2","0","120","22002","70000","8","2","30","91002"
"94002","20003","0","12","0","6","49","4","8","2","0","110","22002","70000","8","2","40","91002"
"94002","20003","0","12","0","7","99","3","7","2","0","100","22002","60000","8","2","50","91002"
"94002","20003","0","12","0","8","499","2","2","2","0","80","22002","40000","8","2","100","91002"
"94002","20002","0","12","0","9","999","1","7","2","0","50","22002","20000","8","2","500","91002"
"94002","20002","0","12","0","10","4999","3","4","2","0","20","22001","16000","8","2","1000","91002"
"94002","20002","0","12","0","11","9999","2","3","2","0","15","22001","9000","8","2","5000","91002"
"94002","20001","0","12","0","12","11999","1","8","2","0","10","22001","4000","8","2","10000","91002"
"94002","20001","0","12","0","13","13999","1","7","2","0","5","22001","3000","8","2","12000","91002"
"94002","20001","0","12","0","14","14999","1","6","2","0","4","22001","2000","8","2","14000","91002"
"94002","20001","0","12","0","15","30000","1","5","2","0","3","22001","1800","8","2","15000","91002"
