98f5816944d533ba5eb38155fb0ecfd2687324530be78ade21be9d72d0f5c0b3,bd0e9054b204432912219982c5459c9fb80a1053601ddf9cb1a52b9782a56691,d598deac88a32713951095ff4a5333d051202e64fbc43acafaa23b62a93f17d2,6332c3851889b24a58c6bb3316d541c5fc70e5682f344b38ae9cdddf3148c734,ee0609661465d243b69e85af0f5c3de396ee1bc34c5f77bd6016e763da807f13,98df382a1d7d6b4260d8f39bdc0719af20e25c6edd4967a1d4fa3f9e71685ad4,effbf63a4c985d62d978e28baed5ec81c794606de51dd8956b229821ef4cb16e,415e14068ed08d1de082f479b2be501a18804c0996ac39b0d43d11f54ed8cad7,19713979e6cac9f07353f79c34ebb719d77105b3255a1f3b823412431fb78b70,b536b77dcbd8c1193f614379e4495d892b5e106a91748b99291862fd975e8857,40baef201a2e49437c51ef1ff333127ad2c6686c338f7e7100767e512af5f905,5b4e663e5131b3fc905853a6f19f56aace50876a399785a9d787a57a73ba19b9,d52d0222051c3f900523606ff52f0d53b348f0ea0ce73f901fff5a8a763fc163,b469b312330c74507aa6cb638c7c6f2fa5eaa063e9bf3329b98ad1bf6d30d5f6,3ee4f161c0027c761ef411344cb333514746d0772f8a6808823033cee3e69073,8d29872a5d8664c0be5255ec07191e36a7f0742f37a2db4630aaa2587e00783e
"301","70","215","101","1","3","-110","501","1008201","2","2","201","401","1","455","980"
"302","70","215","102","2","3","-110","502","1008202","2","2","202","402","1","230","515"
"303","70","215","103","3","3","-110","503","1008203","2","1","203","403","1","230","515"
"304","70","215","104","4","3","-110","504","1008204","2","1","204","404","1","230","515"
"305","78","233","105","5","3","-110","505","1008205","2","2","205","405","1","355","787"
"306","78","233","106","6","3","-110","506","1008206","2","3","206","406","1","355","787"
"307","88","233","107","7","3","-110","507","1008207","2","3","207","407","1","345","777"
"308","88","233","108","8","3","-110","508","1008208","2","1","208","408","1","345","777"
"309","88","233","109","9","3","-110","509","1008209","2","1","209","409","1","345","777"
"310","88","233","110","10","3","-110","510","1008210","2","3","210","410","1","355","810"
"311","88","233","111","11","3","-110","511","1008211","2","2","211","411","1","345","777"
"312","70","215","112","12","3","-110","512","1008212","2","2","212","412","1","230","515"
"313","78","233","113","13","3","-110","513","1008213","2","1","213","413","1","355","810"
"314","70","215","114","14","3","-110","514","1008214","2","1","214","414","1","230","515"
"315","70","215","115","15","3","-110","515","1008215","2","3","215","415","1","230","515"
"316","70","215","116","16","3","-110","516","1008216","2","2","216","416","1","275","655"
"317","70","215","117","17","3","-110","517","1008217","2","3","217","417","1","230","515"
"318","88","233","118","18","3","-110","518","1008218","2","3","218","418","1","345","777"
