2b578fc68f748266f5f075daf23f3085bf251b5456cecd07de198665b84f7bd3,dd42649ec080e5ef331fe7f4276f0d1175b8fbf53d4708352dfab3ffabd924c3,2016a4b2934d5a3a8c417f9b9e0b69f053735799c3c4a282fe82411c9e46c21a,3bd33baf075daf40e62de583534e34293c6e535073a22bb875090be748ae804e,47affdb780e89a7016e26579f168983417e508f99be12cc23ac8bfcd374a940f,e552d537de9dd774d9aff44e2a13cb22c103036164bca8ba90c43334da439fa4,0acf33c0f74db2536040e2130f82ef2c334c780c989eb286dbac098ce10d03be
"105","105","1","105","3","2","1"
"120","120","2","105","3","2","1"
"120","100","3","100","3","2","1"
"120","120","4","105","3","2","1"
"120","105","5","105","3","2","1"
"105","100","6","100","3","2","1"
"105","100","7","120","3","2","1"
"105","100","8","100","3","2","1"
"120","120","9","105","3","2","1"
"105","100","10","120","3","2","1"
"100","105","11","100","3","2","1"
"120","120","12","105","3","2","1"
"105","105","13","105","3","2","1"
"105","120","14","105","3","2","1"
"120","120","15","120","3","2","1"
"100","100","16","100","3","2","1"
"120","105","17","120","3","2","1"
"105","120","18","120","3","2","1"
"100","105","19","105","3","2","1"
"105","105","20","100","3","2","1"
"100","105","21","100","3","2","1"
"120","120","22","120","3","2","1"
"100","100","23","105","3","2","1"
"120","120","24","120","3","2","1"
"120","105","25","105","3","2","1"
"100","100","26","100","3","2","1"
"100","100","27","100","3","2","1"
"100","100","28","100","3","2","1"
"120","120","29","120","3","2","1"
"105","120","30","105","3","2","1"
