a63fbe8424e634d8ddc6e1af7380b112c76080b196aadda40eb1d92167162c31,73ef0ec74b20f208a53665a984da294361e2a7654cf4ec71a8656cb24a9994f0,122a512e367b638f28725af1a143d0e6ef45a8ab32fc59e23b20044a666c7e92
"1","10101","1"
"1","10102","2"
"1","10103","3"
"1","10104","4"
"2","10201","1"
"2","10202","2"
"2","10203","3"
"2","10204","4"
"3","10301","1"
"3","10302","2"
"3","10303","3"
"3","10304","4"
"4","10401","1"
"4","10402","2"
"4","10403","3"
"4","10404","4"
"5","10501","1"
"5","10502","2"
"5","10503","3"
"5","10504","4"
"6","10601","1"
"6","10602","2"
"6","10603","3"
"6","10604","4"
"7","10701","1"
"7","10702","2"
"7","10703","3"
"7","10704","4"
"8","10801","1"
"8","10802","2"
"8","10803","3"
"8","10804","4"
"0","99999","0"
