ac2ba969a30258e1dd58d2bdbdbc48515fa349f64347c17122eaa581dd6bb9cb,17dec2271bd5d42dd359221becc79d6ce1504169865fd56ececf68eebcf74209,a19248dcb087683d3054a5d55019966ae32e46d0cd09d09f2821021a57cbb8fb,9be44b12c69d5d7e5e75f751ad3088027acbaa960503e9c07969759064eae044,6b941c400aff2513f699ee6e36c186a9d3aedfecac4fc5e29c8209af4471c22f,6a360243dc2a8bc5820d1938eb06555b3accc46313c1b4244e3e1ec59f9c16b1,f31ae74e4ac695375fc8f1dd8829ca2c6bb7472f19ea0c970928b88e7db0a9d5,6278b9c03e9478d44e0cc7dca51e991c97337f60b693b0b950bc206a1af858b2
"1","27","0","3","2019/02/28 11:59:59","2019/02/15 23:00:00","0","106101"
"2","28","0","3","2019/03/19 14:59:59","2019/02/28 12:00:00","0","101401"
"3","29","0","1","2019/03/26 14:59:59","2019/03/19 15:00:00","0","105501"
"4","29","0","3","2019/03/26 14:59:59","2019/03/19 15:00:00","0","106301"
"5","29","0","2","2019/03/26 14:59:59","2019/03/19 15:00:00","0","101501"
"6","30","0","3","2019/03/31 11:59:59","2019/03/26 15:00:00","0","103601"
"7","30","0","3","2019/03/31 11:59:59","2019/03/26 15:00:00","0","104901"
"8","30","0","3","2019/03/31 11:59:59","2019/03/26 15:00:00","0","104401"
"9","30","0","2","2019/03/31 11:59:59","2019/03/26 15:00:00","0","100701"
"10","30","0","2","2019/03/31 11:59:59","2019/03/26 15:00:00","0","104601"
"11","30","0","2","2019/03/31 11:59:59","2019/03/26 15:00:00","0","102701"
"12","30","0","1","2019/03/31 11:59:59","2019/03/26 15:00:00","0","100301"
"13","30","0","1","2019/03/31 11:59:59","2019/03/26 15:00:00","0","103401"
"14","30","0","1","2019/03/31 11:59:59","2019/03/26 15:00:00","0","100101"
"15","31","0","3","2019/04/19 14:59:59","2019/03/31 12:00:00","0","109201"
"16","32","0","3","2019/04/30 11:59:59","2019/04/19 15:00:00","0","109401"
"17","33","0","3","2019/05/07 14:59:59","2019/04/30 12:00:00","0","109501"
"18","33","0","3","2019/05/07 14:59:59","2019/04/30 12:00:00","0","107101"
"19","34","0","3","2019/05/14 14:59:59","2019/05/07 15:00:00","0","109501"
"20","35","0","3","2019/05/17 14:59:59","2019/05/14 15:00:00","0","103601"
"21","35","0","2","2019/05/17 14:59:59","2019/05/14 15:00:00","0","102001"
"22","35","0","1","2019/05/17 14:59:59","2019/05/14 15:00:00","0","100401"
"23","36","0","3","2019/05/31 11:59:59","2019/05/17 15:00:00","0","109601"
"24","37","0","3","2019/06/15 11:59:59","2019/05/31 12:00:00","0","109701"
"25","38","0","3","2019/06/18 14:59:59","2019/06/15 12:00:00","0","104401"
"26","38","0","3","2019/06/18 14:59:59","2019/06/15 12:00:00","0","101001"
"27","38","0","2","2019/06/18 14:59:59","2019/06/15 12:00:00","0","101701"
"28","39","0","3","2019/06/30 11:59:59","2019/06/18 15:00:00","0","109901"
"29","40","0","3","2019/07/13 11:59:59","2019/06/30 12:00:00","0","110001"
"30","41","0","3","2019/07/18 14:59:59","2019/07/13 12:00:00","0","107501"
"31","41","0","3","2019/07/18 14:59:59","2019/07/13 12:00:00","0","107801"
"32","42","0","3","2019/07/31 11:59:59","2019/07/18 15:00:00","0","110301"
"33","43","0","3","2019/08/10 11:59:59","2019/07/31 12:00:00","0","110401"
"34","44","0","3","2019/08/15 14:59:59","2019/08/10 12:00:00","0","107701"
"35","44","0","3","2019/08/15 14:59:59","2019/08/10 12:00:00","0","107901"
"36","45","0","3","2019/08/26 11:59:59","2019/08/15 15:00:00","0","110601"
"37","46","0","3","2019/08/31 11:59:59","2019/08/26 12:00:00","0","104401"
"38","46","0","2","2019/08/31 11:59:59","2019/08/26 12:00:00","0","100601"
"39","46","0","2","2019/08/31 11:59:59","2019/08/26 12:00:00","0","100701"
"40","46","0","2","2019/08/31 11:59:59","2019/08/26 12:00:00","0","103101"
"41","46","0","1","2019/08/31 11:59:59","2019/08/26 12:00:00","0","102201"
"42","47","0","3","2019/09/03 20:59:59","2019/08/31 12:00:00","0","107001"
"43","47","0","3","2019/09/03 20:59:59","2019/08/31 12:00:00","0","106101"
"44","47","0","3","2019/09/03 20:59:59","2019/08/31 12:00:00","0","107101"
"45","48","0","3","2019/09/12 11:59:59","2019/09/03 21:00:00","0","110701"
"46","49","0","3","2019/09/16 14:59:59","2019/09/12 12:00:00","0","105701"
"47","49","0","3","2019/09/16 14:59:59","2019/09/12 12:00:00","0","106301"
"48","50","0","3","2019/09/29 11:59:59","2019/09/16 15:00:00","0","110801"
"49","51","0","3","2019/09/30 11:59:59","2019/09/29 12:00:00","0","107001"
"50","51","0","3","2019/09/30 11:59:59","2019/09/29 12:00:00","0","106101"
"51","51","0","3","2019/09/30 11:59:59","2019/09/29 12:00:00","0","107101"
"52","52","0","3","2019/10/11 11:59:59","2019/09/30 12:00:00","1001","111101"
"53","53","0","3","2019/10/16 14:59:59","2019/10/11 12:00:00","0","108101"
"54","53","0","3","2019/10/16 14:59:59","2019/10/11 12:00:00","0","108301"
"55","54","0","3","2019/10/31 11:59:59","2019/10/16 15:00:00","1002","111301"
"56","55","0","3","2019/11/11 11:59:59","2019/10/31 12:00:00","1003","111401"
"57","56","0","3","2019/11/15 14:59:59","2019/11/11 12:00:00","0","105601"
"58","56","0","2","2019/11/15 14:59:59","2019/11/11 12:00:00","0","101301"
"59","56","0","2","2019/11/15 14:59:59","2019/11/11 12:00:00","0","102701"
"60","57","0","3","2019/11/30 11:59:59","2019/11/15 15:00:00","1004","106501"
"61","58","0","3","2019/12/11 11:59:59","2019/11/30 12:00:00","1005","111501"
"62","59","0","3","2019/12/20 14:59:59","2019/12/11 12:00:00","0","108401"
"63","59","0","3","2019/12/20 14:59:59","2019/12/11 12:00:00","0","108601"
"64","60","0","3","2019/12/31 11:59:59","2019/12/20 15:00:00","1006","111701"
"65","61","0","3","2020/01/03 18:59:59","2019/12/31 12:00:00","1007","112001"
"66","61","0","3","2020/01/03 18:59:59","2019/12/31 12:00:00","0","106101"
"67","61","0","3","2020/01/03 18:59:59","2019/12/31 12:00:00","0","107101"
"68","61","0","3","2020/01/03 18:59:59","2019/12/31 12:00:00","0","107001"
"69","62","0","3","2020/01/10 11:59:59","2020/01/03 19:00:00","1007","112001"
"70","63","0","3","2020/01/16 14:59:59","2020/01/10 12:00:00","0","108801"
"71","63","0","3","2020/01/16 14:59:59","2020/01/10 12:00:00","0","108701"
"72","64","0","3","2020/01/31 11:59:59","2020/01/16 15:00:00","1008","111901"
"73","65","0","3","2020/02/10 11:59:59","2020/01/31 12:00:00","1009","112201"
"74","66","0","3","2020/02/15 14:59:59","2020/02/10 12:00:00","0","109101"
"75","67","0","3","2020/02/25 11:59:59","2020/02/15 15:00:00","1010","180401"
"76","67","0","3","2020/02/25 11:59:59","2020/02/15 15:00:00","0","107001"
"77","67","0","3","2020/02/25 11:59:59","2020/02/15 15:00:00","0","106101"
"78","67","0","3","2020/02/25 11:59:59","2020/02/15 15:00:00","0","107101"
"79","68","0","3","2020/02/29 11:59:59","2020/02/25 12:00:00","0","110001"
"80","68","0","3","2020/02/29 11:59:59","2020/02/25 12:00:00","0","110301"
"81","69","0","3","2020/03/13 14:59:59","2020/02/29 12:00:00","1011","112401"
"82","70","0","3","2020/03/26 11:59:59","2020/03/13 15:00:00","1012","112501"
"83","71","0","3","2020/03/31 11:59:59","2020/03/26 12:00:00","0","110401"
"84","71","0","3","2020/03/31 11:59:59","2020/03/26 12:00:00","0","110601"
"85","72","0","3","2020/04/10 11:59:59","2020/03/31 12:00:00","1013","111001"
"86","73","0","3","2020/04/15 14:59:59","2020/04/10 12:00:00","0","109201"
"87","73","0","3","2020/04/15 14:59:59","2020/04/10 12:00:00","0","109401"
"88","74","0","3","2020/04/24 11:59:59","2020/04/15 15:00:00","1014","110901"
"89","75","0","3","2020/04/30 11:59:59","2020/04/24 12:00:00","0","111101"
"90","76","0","3","2020/05/10 11:59:59","2020/04/30 12:00:00","1015","112701"
"91","77","0","3","2020/05/15 14:59:59","2020/05/10 12:00:00","0","109501"
"92","77","0","3","2020/05/15 14:59:59","2020/05/10 12:00:00","0","109601"
"93","78","0","3","2020/05/31 11:59:59","2020/05/15 15:00:00","1016","112801"
"94","79","0","3","2020/06/03 18:59:59","2020/05/31 12:00:00","1017","180501"
"95","79","0","3","2020/06/03 18:59:59","2020/05/31 12:00:00","0","180401"
