dfd73aefca8fe1aea3311e6c2aa5c0c414885fa9d0419ffdaae5f07d64981b75,f2e0ee702996b09afca84c73f8b7ca96703ba7bf1bb07f2a2f711e3e2f9e47e8,926ff99c309ccb83eed8a6a908d855f322d7d979df237b3bb14c6f48dd7ccf61,0ff7a06cf15aca72199089804eed973637c2504368e6e1df03cca42818e929fa,8fd9c283d3f55f297a26e75b5d93ef65f94d309c061a245ec8564cd85d3f32e0,c1b73ea87826a9b32dff627d0c0a9dcf85e4b539df04dfca181a0be2cc85bbe7,6a2947adaf1564100683fc90f8d2899119d1ceaed5e940626bbf87d1ac14db9b,0cde9000233a6084273c992d8fcf7a61ea16d4cae8caf08b2a3be5d79a20c1fe,31ca8e5e35d960763163d484ae552ca84ac69c928c5da9c733619d0effc55fbb,9cafd9b6e01d951858e96fffb66514fa82a994b97128b3a93f59cb8534feb6d1,32004fefce35b5aa5866494c3c57d7ca500e8845c895471f32e4e965b8447cd8,ee76839654580daebbe90b6fa9c4bc310c75a8dee513a30ad71e694d5af28674,a84d4a29853341b3998bd60491ed0d995fd54d0f77a0041f2066002796c34eee,80ea16f3f69526c987ed0f9662998e6b02b7631cd3fd7339bc762faea43f8b47
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1005001","0","10050"
"-17","-40","1","25","10050101","100000","0","0","1","1.7","1.5","1005001","0.03","10050"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1005001","0","10050"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1005002","0","10050"
"-17","-40","1","25","10050201","100000","0","0","1","1.7","1.5","1005002","0.03","10050"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1005002","0","10050"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1005003","0","10050"
"-17","-40","1","25","10050301","100000","0","0","1","1.7","1.5","1005003","0.03","10050"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1005003","0","10050"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1005004","0","10050"
"-17","-40","1","25","10050401","100000","0","0","1","1.7","1.5","1005004","0.03","10050"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1005004","0","10050"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1005005","0","10050"
"-17","-40","1","25","0","100000","0","0","1","1.7","1.5","1005005","0.03","10050"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1005005","0","10050"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1007701","0","10077"
"-17","-40","1","25","10077101","100000","0","0","1","1.7","1.5","1007701","0.03","10077"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1007701","0","10077"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1007702","0","10077"
"-17","-40","1","25","10077201","100000","0","0","1","1.7","1.5","1007702","0.03","10077"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1007702","0","10077"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1007703","0","10077"
"-17","-40","1","25","10077301","100000","0","0","1","1.7","1.5","1007703","0.03","10077"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1007703","0","10077"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1007704","0","10077"
"-17","-40","1","25","10077401","100000","0","0","1","1.7","1.5","1007704","0.03","10077"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1007704","0","10077"
"30","0","2","-30","0","100000","0","10","0","1.7","1.5","1007705","0","10077"
"-17","-40","1","25","0","100000","0","0","1","1.7","1.5","1007705","0.03","10077"
"-32","-23","3","-47","0","100000","0","10","0","1.7","1.5","1007705","0","10077"
"-13","-50","1","-25","10088101","100000","0","10","1","0.84","0.92","1008801","0.03","10088"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","1008801","0","10088"
"-13","-50","1","-25","10088201","100000","0","10","1","0.84","0.92","1008802","0.03","10088"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","1008802","0","10088"
"-13","-50","1","-25","10088301","100000","0","10","1","0.84","0.92","1008803","0.03","10088"
"13","-50","2","-25","0","100000","0","0","0","0.7","0.8","1008803","0","10088"
"-17","-50","1","-30","10088401","100000","0","10","1","0.7","0.92","1008804","0.03","10088"
"30","-50","2","-30","0","100000","0","0","0","0.6","0.8","1008804","0","10088"
