6ebbf469e1931292b0c11552e55061a58d3ff5ddd89a09877464534f224eb162,e41e30ee55887ae92adfce8135d6c0fac0b4a05796bf6a23b9ce64250e9ad924,0a34e32c05757de7a4d7a57dc22fb3e410d25f151064df1490c61399ce654367,34377befb80a20e229384f01bdee5ab4c6ca37a86bb63920c5ba82904cae0789,f351a7694dccaebefcbee56993c838547641fa3acf003c6a2559cf85a1987cfe,6f006244f1857f87343f7fbbcb7305bd350cc034814a65fb28bee934a1e53c66
"3001","1","2146041","803100263","212","211"
"3002","1","2146042","803100263","212","211"
"3003","1","2146043","803100263","212","211"
"3004","1","2146044","803100263","212","211"
"3006","1","2147041","803100272","212","213"
"3007","1","2147042","803100272","212","213"
"30011","1","2145039","803100253","313","202"
"30012","0","2145040","803100253","302","105"
"30021","1","2145069","803100256","311","204"
"30022","1","2145070","803100256","312","205"
"30031","1","2145099","803100259","310","212"
"30032","0","2145100","803100259","301","107"
"30041","0","2146039","803100262","307","110"
"30042","0","2146040","803100262","302","105"
"30051","1","2146081","803100267","314","203"
"30061","1","2147019","803100269","312","205"
"30062","0","2147020","803100269","303","106"
"30071","1","2147039","803100271","313","202"
"30072","1","2147040","803100271","310","212"
"300101","0","2145011","803100251","100","104"
"300102","0","2145012","803100251","100","104"
"300103","0","2145013","803100251","102","105"
"300104","0","2145014","803100251","100","104"
"300105","0","2145015","803100251","102","105"
"300106","0","2145016","803100251","103","106"
"300107","0","2145017","803100251","102","105"
"300108","0","2145018","803100251","103","106"
"300109","1","2145019","803100251","111","204"
"300110","0","2145020","803100251","100","104"
"300111","0","2145021","803100252","100","104"
"300112","0","2145022","803100252","102","105"
"300113","0","2145023","803100252","100","104"
"300114","0","2145024","803100252","102","105"
"300115","0","2145025","803100252","103","106"
"300116","0","2145026","803100252","102","105"
"300117","0","2145027","803100252","103","106"
"300118","1","2145028","803100252","111","204"
"300119","0","2145029","803100252","100","104"
"300120","0","2145030","803100252","100","104"
"300121","0","2145031","803100253","102","105"
"300122","0","2145032","803100253","100","104"
"300123","0","2145033","803100253","102","105"
"300124","1","2145034","803100253","112","208"
"300125","1","2145035","803100253","110","212"
"300126","0","2145036","803100253","100","104"
"300127","0","2145037","803100253","102","105"
"300128","0","2145038","803100253","103","106"
"300201","0","2145041","803100254","101","107"
"300202","0","2145042","803100254","101","107"
"300203","0","2145043","803100254","102","105"
"300204","0","2145044","803100254","103","106"
"300205","1","2145045","803100254","113","202"
"300206","1","2145046","803100254","114","203"
"300207","0","2145047","803100254","101","107"
"300208","1","2145048","803100254","113","202"
"300209","1","2145049","803100254","114","203"
"300210","0","2145050","803100254","101","107"
"300211","0","2145051","803100255","101","107"
"300212","0","2145052","803100255","102","105"
"300213","0","2145053","803100255","103","106"
"300214","1","2145054","803100255","113","202"
"300215","1","2145055","803100255","114","203"
"300216","0","2145056","803100255","101","107"
"300217","1","2145057","803100255","113","202"
"300218","1","2145058","803100255","114","203"
"300219","0","2145059","803100255","101","107"
"300220","0","2145060","803100255","101","107"
"300221","0","2145061","803100256","102","105"
"300222","0","2145062","803100256","103","106"
"300223","0","2145063","803100256","101","107"
"300224","1","2145064","803100256","112","208"
"300225","1","2145065","803100256","110","212"
"300226","0","2145066","803100256","102","105"
"300227","0","2145067","803100256","103","106"
"300228","0","2145068","803100256","101","107"
"300301","0","2145071","803100257","100","104"
"300302","0","2145072","803100257","101","107"
"300303","0","2145073","803100257","101","107"
"300304","1","2145074","803100257","113","202"
"300305","1","2145075","803100257","114","203"
"300306","0","2145076","803100257","100","104"
"300307","0","2145077","803100257","101","107"
"300308","1","2145078","803100257","111","204"
"300309","1","2145079","803100257","112","205"
"300310","0","2145080","803100257","100","104"
"300311","0","2145081","803100258","101","107"
"300312","0","2145082","803100258","101","107"
"300313","1","2145083","803100258","113","202"
"300314","1","2145084","803100258","114","203"
"300315","0","2145085","803100258","100","104"
"300316","0","2145086","803100258","101","107"
"300317","1","2145087","803100258","111","204"
"300318","1","2145088","803100258","112","205"
"300319","0","2145089","803100258","100","104"
"300320","0","2145090","803100258","101","107"
"300321","0","2145091","803100259","100","104"
"300322","0","2145092","803100259","101","107"
"300323","1","2145093","803100259","113","202"
"300324","1","2145094","803100259","112","208"
"300325","0","2145095","803100259","100","104"
"300326","0","2145096","803100259","101","107"
"300327","1","2145097","803100259","111","204"
"300328","1","2145098","803100259","112","205"
"300401","0","2146011","803100260","102","105"
"300402","0","2146012","803100260","102","105"
"300403","1","2146013","803100260","113","202"
"300404","1","2146014","803100260","114","203"
"300405","0","2146015","803100260","102","105"
"300406","1","2146016","803100260","113","202"
"300407","1","2146017","803100260","114","203"
"300408","0","2146018","803100260","102","105"
"300409","0","2146019","803100260","102","105"
"300410","0","2146020","803100260","102","105"
"300411","0","2146021","803100261","102","105"
"300412","1","2146022","803100261","113","202"
