4650e4b8b0a90aab43aad2512d7d0d7eb98021e51d952224932d2e83a63c98f1,dcc91eb32511fee3c6f4dcebce55b073efbded470d989c69c517096347978939,723167df80cb9d1bc5634f4647e6c49e684222ce9ddc7d2cb8d4148833d0a140,4186dbf0448b938c68b34a4f8743f14e36e6e20d708b5b17c144bcb25d5276ac,514773b3bb7f4d878770eff547af231d0abe06210704460f1eaa66155feebe47
"100","91002","1","1","8"
"100","91002","2","2","8"
"100","91002","3","3","8"
"100","91002","4","4","8"
"100","91002","5","5","8"
"500","23003","6","6","2"
"100","140001","7","7","4"
"1","21953","8","8","2"
"500","23003","9","9","2"
"100","25001","10","10","2"
"100","90005","11","11","2"
"1","41000","12","12","2"
"500","23003","13","13","2"
"10000","25011","14","14","2"
"10000","25012","15","15","2"
"10000","25013","16","16","2"
"10000","25014","17","17","2"
"10000","25015","18","18","2"
"5000","25021","19","19","2"
"1","25101","20","20","2"
"100","23003","21","21","2"
"10000","25011","22","22","2"
"10000","25012","23","23","2"
"10000","25013","24","24","2"
"10000","25014","25","25","2"
"10000","25015","26","26","2"
"5000","25021","27","27","2"
"100","91002","28","28","8"
"150","23003","29","29","2"
"150","23003","30","30","2"
"150","23003","31","31","2"
"150","23003","32","32","2"
"150","23003","33","33","2"
"150","23003","34","34","2"
"50000","26202","35","35","2"
"50000","26202","36","36","2"
"1","26203","37","37","2"
"50000","26202","38","38","2"
"50000","26202","39","39","2"
"1","26203","40","40","2"
"50000","26202","41","41","2"
"50000","26202","42","42","2"
"1","26203","43","43","2"
"50000","26202","44","44","2"
"50000","26202","45","45","2"
"1","26203","46","46","2"
"50000","26202","47","47","2"
"50000","26202","48","48","2"
"1","26203","49","49","2"
