523c916eb0c4e23475ffd1f5bcbfdaf8ec8bf1a0b4dee8ac6f5a583a6338ece8,aadf7681bda7e5b8a26fb7a54af790b46d29018fdcaebf54553ba506aa38e581,5b9c1356eb31b31088fb777e721bea09270dc64a2e59de8e3da7cdc2021169a4,302e5f25d8678add987c0e37f48371538951552fece0ff850d241560c0167c24
"1.6","938","100101","-354"
"1.6","952","100201","-499"
"1.6","1014","100301","-523"
"1.6","894","100401","-488"
"1.6","980","100601","-628"
"1.6","983","100701","-573"
"1.6","1019","100801","-544"
"1.6","985","100901","-510"
"1.6","1115","101001","-660"
"1.6","1128","101101","-415"
"1.6","1042","101201","-589"
"1.6","1050","101601","-501"
"1.6","1038","101701","-598"
"1.6","985","101801","-356"
"1.6","1114","102001","-494"
"1.6","1003","102101","-392"
"1.6","1057","102201","-407"
"1.6","997","102501","-388"
"1.6","1090","102701","-490"
"1.6","987","102801","-554"
"1.6","976","102901","-526"
"1.6","994","103001","-879"
"1.6","1056","103101","-560"
"1.6","1018","103301","-453"
"1.6","1017","103401","-345"
"1.6","961","103801","-674"
"1.6","1095","104001","-499"
"1.6","955","104201","-521"
"1.6","1079","104301","-581"
"1.6","980","104501","-538"
"1.6","954","104601","-364"
"1.6","1107","104801","-777"
"1.6","973","104901","-795"
"1.6","1122","105001","-492"
"1.6","1035","105201","-607"
"1.6","885","105301","-490"
