86006ad47e0ec829877615fe31d82127297fefd77f9e061711b03d99eef5f566,d093e2c99f309b9fcc4fcbd9d8b82a0cb99261128e9fd653bcb06cd59d398419,f6ed0db45b8d8fe4fd0ea07acccbb1214255e26bfac1eb8d6352868dde864bd0,46ec4ec535e731e7d39b7d3ab23b27ce7a23fa2fa68f1a6ac81a8a624de561ef,0b8f3fa9b9e35f44992097a169a3c0affc51c0fa4942bb4adb3c92a696f9b3f5,13f436d9eefd6b0b7fbcd8af9e14c8de90db1f966dad003f2b1bc4d91c667192,cdfad813b05d8d009eeac9a6ed595686f5d053664400d04220eb4236a84bccc7,306248d7012a790da4055850be80f8546efd2c14ab47b99e13a933e45d5dbc15,08d2355c22355b513ef0516ed1319e1d7b52eec5601d4fb14d99efba5161ddfa
"100111","5000","50","0","0","0","0","20000","30000"
"100112","5000","50","0","0","0","0","20000","30000"
"100113","5000","50","0","0","0","0","20000","30000"
"100121","12500","125","0","0","0","0","30000","45000"
"100122","12500","125","0","0","0","0","30000","45000"
"100123","12500","125","0","0","0","0","30000","45000"
"100131","20000","200","0","0","0","0","40000","60000"
"100132","20000","200","0","0","0","0","40000","60000"
"100133","20000","200","0","0","0","0","40000","60000"
"100211","5000","50","0","0","0","0","20000","30000"
"100212","5000","50","0","0","0","0","20000","30000"
"100213","5000","50","0","0","0","0","20000","30000"
"100221","12500","125","0","0","0","0","30000","45000"
"100222","12500","125","0","0","0","0","30000","45000"
"100223","12500","125","0","0","0","0","30000","45000"
"100231","20000","200","0","0","0","0","40000","60000"
"100232","20000","200","0","0","0","0","40000","60000"
"100233","20000","200","0","0","0","0","40000","60000"
"100311","5000","50","0","0","0","0","20000","30000"
"100312","5000","50","0","0","0","0","20000","30000"
"100313","5000","50","0","0","0","0","20000","30000"
"100321","12500","125","0","0","0","0","30000","45000"
"100322","12500","125","0","0","0","0","30000","45000"
"100323","12500","125","0","0","0","0","30000","45000"
"100331","20000","200","0","0","0","0","40000","60000"
"100332","20000","200","0","0","0","0","40000","60000"
"100333","20000","200","0","0","0","0","40000","60000"
"100411","5000","50","0","0","0","0","20000","30000"
"100412","5000","50","0","0","0","0","20000","30000"
"100413","5000","50","0","0","0","0","20000","30000"
"100421","12500","125","0","0","0","0","30000","45000"
"100422","12500","125","0","0","0","0","30000","45000"
"100423","12500","125","0","0","0","0","30000","45000"
"100431","20000","200","0","0","0","0","40000","60000"
"100432","20000","200","0","0","0","0","40000","60000"
"100433","20000","200","0","0","0","0","40000","60000"
"100511","5000","50","0","0","0","0","20000","30000"
"100512","5000","50","0","0","0","0","20000","30000"
"100513","5000","50","0","0","0","0","20000","30000"
"100521","12500","125","0","0","0","0","30000","45000"
"100522","12500","125","0","0","0","0","30000","45000"
"100523","12500","125","0","0","0","0","30000","45000"
"100531","20000","200","0","0","0","0","40000","60000"
"100532","20000","200","0","0","0","0","40000","60000"
"100533","20000","200","0","0","0","0","40000","60000"
"100611","5000","50","0","0","0","0","20000","30000"
"100612","5000","50","0","0","0","0","20000","30000"
"100613","5000","50","0","0","0","0","20000","30000"
"100621","12500","125","0","0","0","0","30000","45000"
"100622","12500","125","0","0","0","0","30000","45000"
"100623","12500","125","0","0","0","0","30000","45000"
"100631","20000","200","0","0","0","0","40000","60000"
"100632","20000","200","0","0","0","0","40000","60000"
"100633","20000","200","0","0","0","0","40000","60000"
"100711","5000","50","0","0","0","0","20000","30000"
"100712","5000","50","0","0","0","0","20000","30000"
"100713","5000","50","0","0","0","0","20000","30000"
"100721","12500","125","0","0","0","0","30000","45000"
"100722","12500","125","0","0","0","0","30000","45000"
"100723","12500","125","0","0","0","0","30000","45000"
"100731","20000","200","0","0","0","0","40000","60000"
"100732","20000","200","0","0","0","0","40000","60000"
"100733","20000","200","0","0","0","0","40000","60000"
"100811","5000","50","0","0","0","0","20000","30000"
"100812","5000","50","0","0","0","0","20000","30000"
"100813","5000","50","0","0","0","0","20000","30000"
"100821","12500","125","0","0","0","0","30000","45000"
"100822","12500","125","0","0","0","0","30000","45000"
"100823","12500","125","0","0","0","0","30000","45000"
"100831","20000","200","0","0","0","0","40000","60000"
"100832","20000","200","0","0","0","0","40000","60000"
"100833","20000","200","0","0","0","0","40000","60000"
"100911","5000","50","0","0","0","0","20000","30000"
"100912","5000","50","0","0","0","0","20000","30000"
"100913","5000","50","0","0","0","0","20000","30000"
"100921","12500","125","0","0","0","0","30000","45000"
"100922","12500","125","0","0","0","0","30000","45000"
"100923","12500","125","0","0","0","0","30000","45000"
"100931","20000","200","0","0","0","0","40000","60000"
"100932","20000","200","0","0","0","0","40000","60000"
"100933","20000","200","0","0","0","0","40000","60000"
