d6f787ac9b75528cd7aba6b78d977884c9f156d70e581c6e435bea2211dd1cf4,404527824918c6fdf04cc7d90ae33b015dd05a4dce9a9eee33cb081526dcd576,cbcade504054976768be207a5a7e9c089367b8cd2a3258242704d93ad777c5b8,c3f0102f561eb96c388a959847fb21e948511806fa1124b8bfe0da107df71ea2,12e0fc80d83f6c73c686892b0b73dca6f93590460982490850d396bae4b66f03,ac2af531b1dd64a1b5bbed14c56d27ae9bae0d607c90f7cdd6ed4b62aabc4aa9,5e2af6cc25ceb7a83f0ea856f76eb74d5e78bede47dde9b08b9f9b37b06880d1,ed5e62f5041b60f6dc0c097e8ba15a0afd6dc9070422fa896bbebee3d1132406,54172b22671a062a974a65e091e6609137ff4ee9199f02c5f7ba7dba8625d3a1,8f477ed68519e27e3b771bb5905d38a3856f8172c3793afd309e58d37b440fd2,e297b43f5fe53114c9109bcacb7bf518d7376a75518d84cf5e8185fb781f4098
"282001001","1","31","25021","25012","8","2","10","8","91002","2"
"282001002","2","31","25021","25012","8","2","10","8","91002","2"
"282001003","3","32","25021","25012","8","2","10","8","91002","2"
"282001004","4","32","25021","25012","8","2","10","8","91002","2"
"282001005","5","33","25021","25012","8","2","10","8","91002","2"
"282001006","6","33","25021","25012","8","2","10","9","91002","2"
"282001007","7","34","25021","25012","8","2","10","9","91002","2"
"282001008","8","35","25021","25012","8","2","10","9","91002","2"
"282001009","9","35","25021","25012","8","2","10","9","91002","2"
"282001010","10","37","25021","25012","8","2","30","10","91002","2"
"282001011","11","41","25021","25012","8","2","10","10","91002","2"
"282001012","12","43","25021","25012","8","2","10","11","91002","2"
"282001013","13","46","25021","25012","8","2","10","11","91002","2"
"282001014","14","48","25021","25012","8","2","10","12","91002","2"
"282001015","15","50","25021","25012","8","2","10","12","91002","2"
"282001016","16","53","25021","25012","8","2","10","13","91002","2"
"282001017","17","55","25021","25012","8","2","10","14","91002","2"
"282001018","18","58","25021","25012","8","2","10","14","91002","2"
"282001019","19","60","25021","25012","8","2","10","15","91002","2"
"282001020","20","62","25021","25012","8","2","30","15","91002","2"
"282001021","21","68","25021","25012","8","2","10","16","91002","2"
"282001022","22","70","25021","25012","8","2","10","16","91002","2"
"282001023","23","72","25021","25012","8","2","10","16","91002","2"
"282001024","24","75","25021","25012","8","2","10","17","91002","2"
"282001025","25","77","25021","25012","8","2","10","18","91002","2"
"282001026","26","79","25021","25012","8","2","10","18","91002","2"
"282001027","27","82","25021","25012","8","2","10","19","91002","2"
"282001028","28","84","25021","25012","8","2","10","19","91002","2"
"282001029","29","86","25021","25012","8","2","10","19","91002","2"
"282001030","30","89","25021","25012","8","2","30","20","91002","2"
"282001031","31","94","25021","25012","8","2","10","20","91002","2"
"282001032","32","96","25021","25012","8","2","10","21","91002","2"
"282001033","33","99","25021","25012","8","2","10","21","91002","2"
"282001034","34","101","25021","25012","8","2","10","22","91002","2"
"282001035","35","103","25021","25012","8","2","10","22","91002","2"
"282001036","36","106","25021","25012","8","2","10","23","91002","2"
"282001037","37","108","25021","25012","8","2","10","23","91002","2"
"282001038","38","111","25021","25012","8","2","10","24","91002","2"
"282001039","39","113","25021","25012","8","2","10","25","91002","2"
"282001040","40","115","25021","25012","8","2","30","25","91002","2"
"282001041","41","121","25021","25012","8","2","10","26","91002","2"
"282001042","42","123","25021","25012","8","2","10","27","91002","2"
"282001043","43","125","25021","25012","8","2","10","28","91002","2"
"282001044","44","128","25021","25012","8","2","10","28","91002","2"
"282001045","45","130","25021","25012","8","2","10","29","91002","2"
"282001046","46","132","25021","25012","8","2","10","30","91002","2"
"282001047","47","135","25021","25012","8","2","10","30","91002","2"
"282001048","48","137","25021","25012","8","2","10","31","91002","2"
"282001049","49","139","25021","25012","8","2","10","31","91002","2"
"282001050","50","142","25021","25012","8","2","30","31","91002","2"
"282001051","51","144","25021","25012","8","2","10","32","91002","2"
"282001052","52","146","25021","25012","8","2","10","32","91002","2"
"282001053","53","149","25021","25012","8","2","10","32","91002","2"
"282001054","54","152","25021","25012","8","2","10","33","91002","2"
"282001055","55","155","25021","25012","8","2","10","33","91002","2"
"282001056","56","157","25021","25012","8","2","10","33","91002","2"
"282001057","57","160","25021","25012","8","2","10","34","91002","2"
"282001058","58","163","25021","25012","8","2","10","34","91002","2"
"282001059","59","166","25021","25012","8","2","10","34","91002","2"
"282001060","60","169","25021","25012","8","2","30","35","91002","2"
"282001061","61","171","25021","25012","8","2","10","35","91002","2"
"282001062","62","174","25021","25012","8","2","10","35","91002","2"
"282001063","63","177","25021","25012","8","2","10","36","91002","2"
"282001064","64","180","25021","25012","8","2","10","36","91002","2"
"282001065","65","182","25021","25012","8","2","10","36","91002","2"
"282001066","66","185","25021","25012","8","2","10","37","91002","2"
"282001067","67","187","25021","25012","8","2","10","37","91002","2"
"282001068","68","190","25021","25012","8","2","10","37","91002","2"
"282001069","69","193","25021","25012","8","2","10","38","91002","2"
"282001070","70","196","25021","25012","8","2","30","38","91002","2"
