e2559d313ab7c00ad43eb0e756298df38075b5f635b83c73fcef11f361591f46,e69785504afb5e4590957fe6a8d21b92f0e37c212d2ff3b2ef7f6eb89f5102cb,3ad1d1cca4a3a6b4c844a4c330a2ba230764c129d139954f67e0dcb87b786d2a,f5a1e7042194edd10ed9808f4e43338d216aa095cdbc4252b569f4de5692c637,4aabb603ca0c6c60d6149547f288ae06acefd8c298f84b5f42ce97037e0b1946,00b8358e0ab3de054811ed6670a3e75f6f14523ea5fd1323602f63a20c409364,9cb34b811ddc7756b15dfb97e6b2c446fb196568b3ee3bbd57527f12095ea861,3f3f39eb36cd51fcb4c895e9510bb657f7b1573138d229e0617a0cd1f45bec08,d05c93a34f74a86ff32d983209d77cb77a45445a9829acf93bde9dd9630bef3d,852dfa10198f0c52dbbf27dcfb52f175b6ad32a1b943d604308d63a69dfcf59f,ae69474bbfe716111f494d8fb068c440c18f13a8a694423d6a81820e49b74f17
"0","1","-421","110","1","1.35","11010001","-209.3","101","110931","nyx_idle_normal"
"0","1","121.8","110","1","1.35","11010002","-182.5","101","104831","nyx_idle_normal"
"0","1","227.7","110","1","1.35","11010003","-182.5","101","104631","nyx_idle_normal"
"1","1","340.3","110","1","1.35","11010004","-182.5","101","103231","nyx_talk_normal"
"1","1","449.6","110","1","1.35","11010005","-182.5","101","103431","nyx_idle_normal"
"0","5","-421","120","2","1.35","11010006","-209.3","101","2","NoItem"
"","31","0","0","1","1","11010007","1","101","1",""
"","31","0","-300","15","0","11010008","1","101","3",""
"","31","0","-300","15","0","11010009","1.5","101","4",""
"","25","","","bgm_M347","","11010010","","101","bgm_M347",""
"","93","","","2","","11010011","","101","",""
"","3","nyx_101_chieru_loop","0","2","0.2","11010012","1","101","nyx_101_chieru_01",""
"","3","nyx_101_chieru_loop","0","110931","0.2","11010013","1","101","nyx_101_chieru_01",""
"","11","","10","110931","","11010014","","101","ちぇる～ん♪\n最初はとにかく\nインパクト！",""
"","93","","","0.4","","11010015","","101","",""
"","32","","","3","","11010016","","101","0",""
"","32","","","3","","11010017","","101","1",""
"","91","","","11010014","","11010018","","101","",""
"","11","","10","110931","","11010019","","101","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです",""
"","93","","","1","","11010020","","101","",""
"","3","","1","103231","0.2","11010021","","101","nyx_idle_joy1",""
"","3","","1","104631","0.2","11010022","","101","nyx_cmn_05",""
"","91","","","11010019","","11010023","","101","",""
"","3","nyx_101_chieru_loop","0","2","0.2","11010024","1","101","nyx_101_chieru_01",""
