8faf0e8875636457451904d51673d6509a61dffd3f39d00fcf200153066b13cd,e2522fbc45c5f042342bd9ddca2a5031c6fc97bd4f34d3a7a4d58cc6fe7b76da,eee6c3331b645cd275c18475a9a1630659992eccea5aa491e93b9511f7047332,b6f4abbd25d9f371d97019e07c94799db699becb6154101669017286e2060b90,6238b6efb9c5e0b5e39876df4885b76c8827d63d420d2e2622fe48f8f8df616b,33e4923eb88447779f5339895dc6fea415b2cc759999fe48c03b066f1017522d,f1e36b0498b85f532b6be069ea1efa57bdd06c453e7a154b53231619c04d2bfb,6de81d3e9e3dd846916b6fe864b38f665687a873fa7b48bb34a035459455193f,68c100ac373e30797c9633a40cf7359475192b2ee211cde2578a24e4bc983ab5,e68de9d223ea0c17464861345970c1f00f8ee7d82e61de748a1145a99bdb1a7a,0786fc9c47e3f390b202547b668a5d5519215320f43dcc631d69a1be6c579ad4
"0","91002","5128071","10157107","2","0","10128","25","0","二人だけの時間","8"
"5128071","91002","5128072","0","2","0","10128","25","0","新居の必須条件","8"
"5128072","91002","5128073","0","2","0","10128","25","0","本当は誰よりも","8"
"5128073","91002","5128074","0","2","0","10128","25","0","家族で大切に\nしたいこと","8"
"5128074","91002","5128075","0","2","0","10128","50","0","誓いの言葉","8"
"0","91002","5128081","10157107","3","0","10128","25","0","血の婚約報告","8"
"5128081","91002","5128082","0","3","0","10128","25","0","風来人の家探し","8"
"5128082","91002","5128083","0","3","0","10128","25","0","愛おしい時間","8"
"5128083","91002","5128084","0","3","0","10128","25","0","トーゴクの\n家族文化","8"
"5128084","91002","5128085","0","3","0","10128","50","0","飾らない愛を","8"
"5128075","0","5128091","0","4","5128085","10128","0","0","口約束は災いのもと","0"
"5128091","0","5128092","0","4","0","10128","0","11001271","譲れない家庭の味","0"
"0","0","5128161","10157107","1","0","10128","0","0","夢の語り部に誘われて","0"
