5cbf728a0588f7c92c9eb89c87aac284e3efb3f48afb8dcebff714d76f699dc8,3ac271a74d8fb81210228533926c8d54b4681e8502774fd4c65a5b9483898977,9130e5bebc0623584695ffa5e056d490e07579e38189052d17c5c65954760f77,342acce8164c8343ea869d144a1898d93716a45b9672ae464aa445806524f40c,b44d25f0370a8cd1723268b3364e009c22c137bb5c478f04a3e70a80d815990d,40d0fc5211b0f199bf37d01592dae0264de5a179b9baba25437b89ba8ec3f8d7,e39c2ceb768ec3f3ae3589bef39981328d103e0ade1cbe728955bdbfabdaf8de,74ff8e311423b525d6269a4814b76f3da580ecdf60e06ada794346a54d1031d2,189e6729cd75dd26ec49ac9cffc357d9393989a4a639e5ec845f6d297dc60baf,0dc6ed4261939eb0fb599c4c123b747432a816b2d89c6a1f0ca9ce2a9b661fc6,0de27f026c4c01f43c562a3a9284914e2b0fbc515361a6759328815af9174cda,185035ab4bb681ad4740e5a0f0074ec359b37434265e8201b79cd3f6b097b878,de2ff4080c897f13caa4a12252364b563f87fd8412185546280147b60400cf1a,11b853086f428cd47a9c88ffe435c04703a143142c8e9ec1a52185a3f27d632d,d67f5d3b5e640065a071237722e2c99791d3f0f384602c8517b850e5e0241a5b,e593169d7858f6332fcd813a587ad9d947420ac6dee1e3969102a1edb28966c1,4e9c9592ac8166618f6a10b7a350642f822d436cd044f76b8b7ace8b85210aa7,664c9aab21a9e6c87d68eab8e76c04b4305e47d2d16071c9071bc5ad98e5afea,67fd009231b391a81db4e25e8e66795edcda3be7eae342b5971a9747535364b8
"240701","200","0","92407","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","1000000000","25021"
"240702","1000","0","92407","25013","25021","2","2","25012","2","1000","0","2","300","0","1000","abyss_reward_icon_astralshard","2000000000","25011"
"240703","500","0","92407","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","3000000000","25021"
"240704","1000","0","92407","25013","25021","2","2","25012","2","1000","0","2","500","0","1000","abyss_reward_icon_astralshard","4000000000","25011"
"240705","1000","0","92407","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","5000000000","25021"
"240706","1000","0","92407","25013","25021","2","2","25012","2","1000","0","2","1000","0","1000","abyss_reward_icon_astralshard","6000000000","25011"
"240707","1000","0","92407","25015","25102","2","2","25014","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","7000000000","25021"
"240708","3000","0","92407","25013","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","8000000000","25011"
"240709","1000","0","92407","25015","25102","2","2","25014","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","9000000000","25021"
"240710","1000","0","92407","25012","25102","2","2","25011","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","10000000000","25021"
"240711","1000","0","92407","25015","25102","2","2","25013","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","12000000000","25021"
"240712","3000","0","92407","25014","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","16000000000","25011"
"240713","3000","0","92407","25015","25021","2","2","25014","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","20000000000","25013"
"240714","3000","0","92407","25013","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","25000000000","25011"
"240715","0","0","92407","0","90005","0","2","0","0","0","0","0","10","0","0","abyss_reward_icon_hiseki","30000000000","0"
"240716","0","0","92407","0","90005","0","2","0","0","0","0","0","20","0","0","abyss_reward_icon_hiseki","35000000000","0"
"240717","0","0","92407","0","90005","0","2","0","0","0","0","0","30","0","0","abyss_reward_icon_hiseki","40000000000","0"
"240718","0","0","92407","0","90005","0","2","0","0","0","0","0","50","0","0","abyss_reward_icon_hiseki","50000000000","0"
"240801","200","0","92408","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","1000000000","25021"
"240802","1000","0","92408","25013","25021","2","2","25012","2","1000","0","2","300","0","1000","abyss_reward_icon_astralshard","2000000000","25011"
"240803","500","0","92408","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","3000000000","25021"
"240804","1000","0","92408","25013","25021","2","2","25012","2","1000","0","2","500","0","1000","abyss_reward_icon_astralshard","4000000000","25011"
"240805","1000","0","92408","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","5000000000","25021"
"240806","1000","0","92408","25013","25021","2","2","25012","2","1000","0","2","1000","0","1000","abyss_reward_icon_astralshard","6000000000","25011"
"240807","1000","0","92408","25015","25102","2","2","25014","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","7000000000","25021"
"240808","3000","0","92408","25013","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","8000000000","25011"
"240809","1000","0","92408","25015","25102","2","2","25014","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","9000000000","25021"
"240810","1000","0","92408","25012","25102","2","2","25011","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","10000000000","25021"
"240811","1000","0","92408","25015","25102","2","2","25013","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","12000000000","25021"
"240812","3000","0","92408","25014","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","16000000000","25011"
"240813","3000","0","92408","25015","25021","2","2","25014","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","20000000000","25013"
"240814","3000","0","92408","25013","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","25000000000","25011"
"240815","0","0","92408","0","90005","0","2","0","0","0","0","0","10","0","0","abyss_reward_icon_hiseki","30000000000","0"
"240816","0","0","92408","0","90005","0","2","0","0","0","0","0","20","0","0","abyss_reward_icon_hiseki","35000000000","0"
"240817","0","0","92408","0","90005","0","2","0","0","0","0","0","30","0","0","abyss_reward_icon_hiseki","40000000000","0"
"240818","0","0","92408","0","90005","0","2","0","0","0","0","0","50","0","0","abyss_reward_icon_hiseki","50000000000","0"
"240901","200","0","92409","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","1000000000","25021"
"240902","1000","0","92409","25013","25021","2","2","25012","2","1000","0","2","300","0","1000","abyss_reward_icon_astralshard","2000000000","25011"
"240903","500","0","92409","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","3000000000","25021"
"240904","1000","0","92409","25013","25021","2","2","25012","2","1000","0","2","500","0","1000","abyss_reward_icon_astralshard","4000000000","25011"
"240905","1000","0","92409","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","5000000000","25021"
"240906","1000","0","92409","25013","25021","2","2","25012","2","1000","0","2","1000","0","1000","abyss_reward_icon_astralshard","6000000000","25011"
"240907","1000","0","92409","25015","25102","2","2","25014","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","7000000000","25021"
"240908","3000","0","92409","25013","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","8000000000","25011"
"240909","1000","0","92409","25015","25102","2","2","25014","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","9000000000","25021"
"240910","1000","0","92409","25012","25102","2","2","25011","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","10000000000","25021"
"240911","1000","0","92409","25015","25102","2","2","25013","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","12000000000","25021"
"240912","3000","0","92409","25014","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","16000000000","25011"
"240913","3000","0","92409","25015","25021","2","2","25014","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","20000000000","25013"
"240914","3000","0","92409","25013","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","25000000000","25011"
"240915","0","0","92409","0","90005","0","2","0","0","0","0","0","10","0","0","abyss_reward_icon_hiseki","30000000000","0"
"240916","0","0","92409","0","90005","0","2","0","0","0","0","0","20","0","0","abyss_reward_icon_hiseki","35000000000","0"
"240917","0","0","92409","0","90005","0","2","0","0","0","0","0","30","0","0","abyss_reward_icon_hiseki","40000000000","0"
"240918","0","0","92409","0","90005","0","2","0","0","0","0","0","50","0","0","abyss_reward_icon_hiseki","50000000000","0"
"241001","200","0","92410","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","1000000000","25021"
"241002","1000","0","92410","25013","25021","2","2","25012","2","1000","0","2","300","0","1000","abyss_reward_icon_astralshard","2000000000","25011"
"241003","500","0","92410","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","3000000000","25021"
"241004","1000","0","92410","25013","25021","2","2","25012","2","1000","0","2","500","0","1000","abyss_reward_icon_astralshard","4000000000","25011"
"241005","1000","0","92410","25015","25102","2","2","25014","2","1000","0","2","10","0","1000","abyss_reward_icon_masterpieces_piece","5000000000","25021"
"241006","1000","0","92410","25013","25021","2","2","25012","2","1000","0","2","1000","0","1000","abyss_reward_icon_astralshard","6000000000","25011"
"241007","1000","0","92410","25015","25102","2","2","25014","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","7000000000","25021"
"241008","3000","0","92410","25013","25021","2","2","25012","2","3000","0","2","1000","0","3000","abyss_reward_icon_astralshard","8000000000","25011"
"241009","1000","0","92410","25015","25102","2","2","25014","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","9000000000","25021"
"241010","1000","0","92410","25012","25102","2","2","25011","2","3000","0","2","10","0","3000","abyss_reward_icon_masterpieces_piece","10000000000","25021"
