f2cd3c4ab1cc8d04312244d302eff36889c8fac8305577c40cb58fdce4261344,f4e2cf8e0dec3ace79b35ebe68da9a359d60c9c18e0e25c51efaeac56953a42e,51d87f74c2721bbe8ede99b3cb5ba65e977eb1b59b3d46865949d1c333c4840c,07fe82521389c79e888e93c613db2885cc73ac8e1a83cc5fd25009432002c3d2,a6dcc42514b1a6de69beac5243ddb9970d6f35bbfec521ebf6b16a6c79a1b333,e8abe84008bace5b6abae3df2221662d8455056afcc89824eb1fd00e6d2b1285,32610ab0df055f6f80ae026df69d573b9a0d9c35a53fa425a10cf371b30b3764,bd2f34202a2e1aff8c0447ad66254e08cb87c3b71c1871e44498298587bd5022,c779abfded361676e0334c2ec03eaea75f0b2edfcbed0080911f0f90b12cdb52,47c92fdb98f959ad2488b5256863ec9051313968497511fa6fe28cb746e1bf1b,9c3b36005f4feb64c164bf5fd3d6e12a2d747f037e6e65bb4954ca5d0afa9425
"1","travel_topdrama_r_2000_idle_smile","20011","1","105811","-68","1","1200110001","101","42","0.8"
"0","travel_topdrama_r_2000_idle_sad_shy","20011","1","106011","-68","1","1200110002","102","-42","0.8"
"0","mana","20011","0","0","-75","5","1200110003","110","0","1"
"","","20011","0","","","91","1200110004","","",""
"","","20011","10","0","","93","1200110005","","",""
"","","20011","1200110005","","","101","1200110006","","",""
"","","20011","0","none","","3","1200110007","0","","0"
"","","20011","0","","","91","1200110008","","",""
"","","20012","105811","103","","13","1200120001","","",""
"","","20012","106011","104","","13","1200120002","","",""
"","","20012","105811","travel_topdrama_r_2000_talk_smile_in","1","3","1200120003","0","travel_topdrama_r_2000_talk_smile_loop","0.2"
"","","20012","vo_travel_talk","vo_travel_talk_20001_00","","21","1200120004","0","0",""
"0","0","20012","105811","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","1","11","1200120005","10","1","0"
"","","20012","0","","","91","1200120006","","",""
"","","20012","105811","travel_topdrama_r_2000_idle_smile","","3","1200120007","1","","0.2"
"","","20012","106011","travel_topdrama_r_2000_talk_anger_shy","1","3","1200120008","1","","0.2"
"","","20012","vo_travel_talk","vo_travel_talk_20001_01","","21","1200120009","0","0",""
"0","0","20012","106011","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","1","11","1200120010","10","1","0"
"","","20012","0","","","91","1200120011","","",""
"","","20012","106011","travel_topdrama_r_2000_idle_sad_shy","","3","1200120012","1","","0.2"
"","","20012","105811","travel_topdrama_r_2000_talk_smile_in","1","3","1200120013","0","travel_topdrama_r_2000_talk_smile_loop","0.2"
"","","20012","vo_travel_talk","vo_travel_talk_20001_02","","21","1200120014","0","0",""
"0","0","20012","105811","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","1","11","1200120015","10","1","0"
"","","20012","0","","","91","1200120016","","",""
"","","20012","105811","travel_topdrama_r_2000_idle_smile","","3","1200120017","1","","0.2"
"","","20012","","","","112","1200120018","","",""
"","","20012","0","","","91","1200120019","","",""
"1","travel_topdrama_r_2000_idle_normal","20021","1","100211","-68","1","1200210001","101","42","0.8"
"0","travel_topdrama_r_2002_sitting_loop","20021","1","100111","-68","1","1200210002","102","-42","0.8"
"0","travel_topdrama_r_2002_sitting_loop","20021","3","3","-68","5","1200210003","100","-42","0.8"
"0","mana","20021","0","0","-75","5","1200210004","110","0","1"
"","","20021","0","","","91","1200210005","","",""
"","","20021","10","0","","93","1200210006","","",""
"","","20021","1200210006","","","101","1200210007","","",""
"","","20021","0","none","","3","1200210008","0","","0"
"","","20021","0","","","91","1200210009","","",""
"","","20022","100211","103","","13","1200220001","","",""
"","","20022","100111","104","","13","1200220002","","",""
"","","20022","100211","travel_topdrama_r_2000_talk_normal","1","3","1200220003","1","","0.2"
"","","20022","vo_travel_talk","vo_travel_talk_20002_00","","21","1200220004","0","0",""
"0","0","20022","100211","うん、これでいいと思う。\n傷はきれいに塞がったけど、\nまだどこか痛んだりするかな？","1","11","1200220005","10","1","0"
"","","20022","0","","","91","1200220006","","",""
"","","20022","100211","travel_topdrama_r_2000_idle_normal","","3","1200220007","1","","0.2"
"","","20022","vo_travel_talk","vo_travel_talk_20002_01","","21","1200220008","0","0",""
"0","0","20022","100111","もう大丈夫だよ、ありがとう！\nやっぱりこういう長旅の時には、\nユイちゃんの魔法が頼りになるね♪","1","11","1200220009","10","1","0"
"","","20022","0","","","91","1200220010","","",""
"","","20022","100211","travel_topdrama_r_2000_talk_wish_in_joy","1","3","1200220011","0","travel_topdrama_r_2000_talk_wish_loop_joy","0.2"
"","","20022","vo_travel_talk","vo_travel_talk_20002_02","","21","1200220012","0","0",""
"0","0","20022","100211","どういたしまして♪\nケガはないのが一番だけど、\n困ったときは遠慮なく相談してね？","1","11","1200220013","10","1","0"
"","","20022","0","","","91","1200220014","","",""
"","","20022","100211","travel_topdrama_r_2000_idle_wish_joy","","3","1200220015","1","","0.2"
"","","20022","","","","112","1200220016","","",""
"","","20022","0","","","91","1200220017","","",""
