457bcaa184bee3edc8be7100d29b1e32dd01ca5ecb096bf7c42347cd2c4c2eed,1be774afb422c7665cde8d54c306eb8cb2eca7391f77b3e8cc57174d2227edfe,3ee9cb9a4cc36188857e91a764955357a243c9d8f4f12553d0cb47fbc5a95753,770fdc5b70b48ba27bd90908639e658f016967c42bbfd1ac4450e486a03f366d,d4a4241c059a06dfff3eff0ad92f161dfeec31f3c7455e313d6767738c156576
"25011","1000","32000101","2","320001011"
"25012","1000","32000101","2","320001012"
"25013","1000","32000102","2","320001021"
"25014","1000","32000102","2","320001022"
"91002","1000","32000103","8","320001031"
"94002","3000000","32000103","12","320001032"
"25015","1000","32000103","2","320001033"
"25021","1000","32000103","2","320001034"
"25013","1000","32000104","2","320001041"
"25014","1000","32000104","2","320001042"
"25012","1000","32000105","2","320001051"
"25015","1000","32000105","2","320001052"
"91002","1000","32000106","8","320001061"
"94002","3000000","32000106","12","320001062"
"25011","1000","32000106","2","320001063"
"25021","1000","32000106","2","320001064"
"25014","1000","32000107","2","320001071"
"25015","1000","32000107","2","320001072"
"25011","1000","32000108","2","320001081"
"25013","1000","32000108","2","320001082"
"91002","1000","32000109","8","320001091"
"94002","3000000","32000109","12","320001092"
"25012","1000","32000109","2","320001093"
"25021","1000","32000109","2","320001094"
"25011","3000","32000110","2","320001101"
"25012","3000","32000110","2","320001102"
"25013","3000","32000110","2","320001103"
"25014","3000","32000110","2","320001104"
"25015","3000","32000110","2","320001105"
"25011","3000","32000111","2","320001111"
"25012","3000","32000111","2","320001112"
"25013","3000","32000111","2","320001113"
"25014","3000","32000111","2","320001114"
"25015","3000","32000111","2","320001115"
"25011","3000","32000112","2","320001121"
"25012","3000","32000112","2","320001122"
"25013","3000","32000112","2","320001123"
"25014","3000","32000112","2","320001124"
"25015","3000","32000112","2","320001125"
"21953","1","32000113","2","320001131"
"25021","2000","32000113","2","320001132"
