2650069d1381808980aad9d6949cc8891db1a5313f0e8717c14ed1988c0d8371,6c943ac574605b0d198be30e4fb0b013c1f6e35e8a36d0994ce355beee08468d,2e056847e19152b506feba2839388f4c24cf2ab4ed95df805e87c1fcd7ed2276,d1df86366d461124b8af6e82aac974c335561e73223f2f6346696e6dea8a6f8a,b72574d133aaa117fff185766617af606098b21dff99093a51b0d67d741133a2,02885205140f6c70ff213692f645c2dad17294c12a3bcbbf2569147012de3384,1e0f3bea0762aa37f2aefdc65168a5f8c41e207f51daccfb444bf87b0ed5fe3d,6ce84acc145dfae994500e2bf9612bff243510327ea13f353dd2c13e051d906c,2bfe9ab517ad5c1be5da91fafe65f59e2e739a076ca04e476ab50df254e4dfc4,a555006361f6e04ae535a627167e764b5d3e0f2f62c6e8f1e3ad56cdfe4ce52a,d45de16470e8c8482b03c91209e34ae487720c09dc801bd4e874dd6b2377651e,1ebb8be103c5206efeea287c7c91578750535d604dbe9e6df6f71adf2ed66799,ff66666c3a1284c500a568b0e7147602d4fa89968724313e3daaff04fec28d6c,207328ac1f797866a1d4ab5f2a10552778d9fb83bcc4f892f61bf1e660eaab54,c3f20bef5e91bdf96671a2c6a2918cdcb156f080f4e53edd598e45ea1190c0b9,7373a0a6b7c5b559db2743be9c439227904b9ac682194fb6582a96f93d0dd009,0d80b11d85c364a76b973ade45df5aa0d106aaec573e2c35a0bbaf41e5f09783,6e1797b541fa191948fde7e246bd393f568b24bd47e9f4f4aafc543b3420095d
"1","0","20003","8","1","0","0","150","5","2","20","94002","91002","5","22003","12","2","150000"
"6","0","20003","8","2","0","0","145","9","2","15","94002","91002","2","22003","12","2","100000"
"10","0","20003","8","3","0","0","140","19","2","11","94002","91002","5","22002","12","2","80000"
"20","0","20003","8","4","0","0","130","29","2","10","94002","91002","5","22002","12","2","80000"
"30","0","20003","8","5","0","0","120","39","2","9","94002","91002","4","22002","12","2","70000"
"40","0","20003","8","6","0","0","110","49","2","8","94002","91002","4","22002","12","2","70000"
"50","0","20003","8","7","0","0","100","99","2","7","94002","91002","3","22002","12","2","60000"
"100","0","20003","8","8","0","0","80","499","2","2","94002","91002","2","22002","12","2","40000"
"500","0","20002","8","9","0","0","50","999","2","7","94002","91002","1","22002","12","2","20000"
"1000","0","20002","8","10","0","0","20","4999","2","4","94002","91002","3","22001","12","2","16000"
"5000","0","20002","8","11","0","0","15","9999","2","3","94002","91002","2","22001","12","2","9000"
"10000","0","20001","8","12","0","0","10","11999","2","8","94002","91002","1","22001","12","2","4000"
"12000","0","20001","8","13","0","0","5","13999","2","7","94002","91002","1","22001","12","2","3000"
"14000","0","20001","8","14","0","0","4","14999","2","6","94002","91002","1","22001","12","2","2000"
"15000","0","20001","8","15","0","0","3","30000","2","5","94002","91002","1","22001","12","2","1800"
