fce30ec76e3c7425dd53ce14308a5a14f02cdb7f514360f895515fc31593e36f,7ddabe6c1f82e2274639133c25125bd750e7523af3f3511bac1b2b90e7b1bd06,a02ea3f2de51f9ad942c77d1a09fe99bbf20b95d70ce828c0648add9eaf38f13,425551936ac7b1a49e0d3360e5668312456969408342960d87e9ca5cc322a65e,dbb4ae4d407567aa89915a2ecafb2c35e241a8e17588ca9ebf3ec660702a1624,6e45413f8024c175e1714f5a52528e11d9cdfb967ebae62d4d77361318df5331,48fd40609a85d019fc18cf4a3d404ed00b080e4fa10e732ae2b1d728906b4bd9
"0","10008101","0","1","1","10008111",""
"0","10008112","0","2","1","10008115",""
"0","10008101","0","3","3","10008103",""
"0","10008105","0","4","3","10008115",""
"0","10008112","0","5","4","150",""
"0","10028101","0","6","1","10028111",""
"0","10028112","0","7","1","10028115",""
"0","10028101","0","8","3","10028103",""
"0","10028105","0","9","3","10028115",""
"0","10028112","0","10","4","150",""
"20012107","20012104","0","11","11","20012104",""
"20012109","20012108","0","12","11","20012108",""
"20012114","20012110","0","13","11","20012110",""
"20012115","20012115","0","14","11","20012115",""
"0","20012110","0","15","4","120",""
"0","20008101","0","16","1","20008111",""
"0","20008112","0","17","1","20008115",""
"0","20008101","0","18","3","20008103",""
"0","20008105","0","19","3","20008115",""
"0","20008112","0","20","4","150",""
