03c72c2a375322f666ce3b8141b88141d944c33b055e896304bf40ba916cb0f9,8519cd6134f3db6d0199f5595d3c175b0ff514f4a7f4425d9bf1e0208a0a29ad,8fec8e6afebff483022aa825f156fe95b3d092b19cc0a8497c536bc7eefde1a4,20f1628a357520d989c072421d1a88f30c42836344c7bbe2415bf68bf3478f92,228570bd1b807eefddcee8a720457a6f36a24f6ad16c81e0d838151cd8c1df05,d4a7648d16cc8cc124af44f8862ec3f1863ed53e0bec1c38674e74c65b521da3,a0fc605b8e4b4ad27577e607bb11ce723da3e02fdd3139521c0f269b59ccb4e5,00b3915c5685f1103607086d8b6eeb196fd336549c348bcaf8bfecd5f374dac9,9dfd33c05414671361e884fcd0a1ce89dd3af0b73477d2e0c8b6ed6914bb0cac,0e9829980620b2577706efafc20ef2df599cf798189e7baf5b4587c67aa5764f,a3f053b882635aca0202c6da61b9f9bf298c087bd8b01ce0bdb7f231f11fad41
"111831","-100","115","101","1","1.5","nop_idle_joy1","0","101001","1","-150"
"120731","100","114","101","1","1.5","nop_idle_normal_joy","1","101002","1","-150"
"120831","-215","111","101","1","1.5","nop_idle_arm_crossed","0","101003","1","-127"
"111931","215","110","101","1","1.5","nop_idle_normal","1","101004","1","-127"
"120931","-330","113","101","1","1.5","nop_idle_thinking","0","101005","1","-150"
"112031","330","112","101","1","1.5","nop_idle_normal","1","101006","1","-150"
"108731","-100","115","102","1","1.5","nop_idle_joy1","0","102001","1","-150"
"108831","100","114","102","1","1.5","nop_idle_joy_normal","1","102002","1","-150"
"108931","-215","111","102","1","1.5","nop_idle_normal","0","102003","1","-127"
"102011","-100","113","103","1","1.5","nop_idle_joy1","0","103001","1","-135"
"100411","-215","115","103","1","1.5","nop_idle_normal","0","103002","1","-150"
"103631","100","114","103","1","1.5","nop_idle_wish","1","103003","1","-143"
"101231","-100","115","104","1","1.5","nop_idle_normal","0","104001","1","-150"
"104011","100","114","104","1","1.5","nop_idle_normal","1","104002","1","-150"
"101511","-215","111","104","1","1.5","nop_idle_normal","0","104003","1","-127"
"103111","-100","113","105","1","1.5","nop_idle_normal","0","105001","1","-135"
"102211","100","111","105","1","1.5","nop_idle_sad","1","105002","1","-135"
"100711","-215","115","105","1","1.5","nop_05_miyako_idle_normal","0","105003","1","-150"
"100611","215","112","105","1","1.5","nop_idle_joy1","1","105004","1","-150"
"2051","-25","114","105","5","1.5","nop_skull_idle","1","105005","1","-135"
