e3517d3e97adf903a4cb2a720b9193782f1581e96af2d7087abe4d9763121266,6cc678fc18ac0d18b56ec71ff486ef0c703374a87d47310b4e48f99ff183e4ac,d8f9f6528c7fa261ca35142a233ad60edb7041f4451a3aa47139ca3cc42da953,454fb3dc995182afbe7fca0194f2af2b84c071a82cd3d7f4881c1660e50f2d54,49109959532333cb2b8ef4f3bfc110fe6f53711e249b8b18e460a39a78d96854,cb30c605c278f45269cb0e8901a0b340e50728bfd919b3bcc3881cc39aa80c9c,52dec137057f8b06e69061d544ef33a63d76dfc010e11acf2e18528f7c002d85,d84316bcfb54f4839bc562ec5dc9727dbfac8340da373332ea951fa6b1bb1279
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","平凡な未鑑定トレジャー","53001","平凡な\n未鑑定トレジャー","1","1","200","100"
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","貴重な未鑑定トレジャー","53002","貴重な\n未鑑定トレジャー","2","1","400","200"
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","至高の未鑑定トレジャー","53003","至高の\n未鑑定トレジャー","3","1","800","400"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なジェムストーン","53004","平凡なジェムストーン","1","0","200","100"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なジェムストーン","53005","貴重なジェムストーン","2","0","400","200"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のジェムストーン","53006","至高のジェムストーン","3","0","800","400"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なインゴット","53007","平凡なインゴット","1","0","200","100"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なインゴット","53008","貴重なインゴット","2","0","400","200"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のインゴット","53009","至高のインゴット","3","0","800","400"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なスクロール","53010","平凡なスクロール","1","0","200","100"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なスクロール","53011","貴重なスクロール","2","0","400","200"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のスクロール","53012","至高のスクロール","3","0","800","400"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なティアラ","53013","平凡なティアラ","1","0","200","100"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なティアラ","53014","貴重なティアラ","2","0","400","200"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のティアラ","53015","至高のティアラ","3","0","800","400"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なルーン","53016","平凡なルーン","1","0","200","100"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なルーン","53017","貴重なルーン","2","0","400","200"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のルーン","53018","至高のルーン","3","0","800","400"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なクラウン","53019","平凡なクラウン","1","0","200","100"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なクラウン","53020","貴重なクラウン","2","0","400","200"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のクラウン","53021","至高のクラウン","3","0","800","400"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","平凡なアーティファクト","53022","平凡なアーティファクト","1","0","200","100"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","貴重なアーティファクト","53023","貴重なアーティファクト","2","0","400","200"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","至高のアーティファクト","53024","至高のアーティファクト","3","0","800","400"
