7d34950438af09ee3c683a0dfc384117450d97786d130123843cd997be96fdc7,ac19c1f5b39660cdc5846c543c3b5332c40a7ca855f5403345ac8c9815cafb4b,55223aadf77a30a47d1cae6f8ab6fa1781d9d4446e033075262884092c6fd48f,4b8d0cca14190f7319047740af360de5fd8198b397111ca196999afba1318cd0,a4cf61e79ee3bd1672935f3942c940f118bfe6c66cecf3a299bb3b71f9ddd355
"32000101","320001011","25011","2","1000"
"32000101","320001012","25012","2","1000"
"32000102","320001021","25013","2","1000"
"32000102","320001022","25014","2","1000"
"32000103","320001031","91002","8","1000"
"32000103","320001032","94002","12","3000000"
"32000103","320001033","25015","2","1000"
"32000103","320001034","25021","2","1000"
"32000104","320001041","25013","2","1000"
"32000104","320001042","25014","2","1000"
"32000105","320001051","25012","2","1000"
"32000105","320001052","25015","2","1000"
"32000106","320001061","91002","8","1000"
"32000106","320001062","94002","12","3000000"
"32000106","320001063","25011","2","1000"
"32000106","320001064","25021","2","1000"
"32000107","320001071","25014","2","1000"
"32000107","320001072","25015","2","1000"
"32000108","320001081","25011","2","1000"
"32000108","320001082","25013","2","1000"
"32000109","320001091","91002","8","1000"
"32000109","320001092","94002","12","3000000"
"32000109","320001093","25012","2","1000"
"32000109","320001094","25021","2","1000"
"32000110","320001101","25011","2","3000"
"32000110","320001102","25012","2","3000"
"32000110","320001103","25013","2","3000"
"32000110","320001104","25014","2","3000"
"32000110","320001105","25015","2","3000"
"32000111","320001111","25011","2","3000"
"32000111","320001112","25012","2","3000"
"32000111","320001113","25013","2","3000"
"32000111","320001114","25014","2","3000"
"32000111","320001115","25015","2","3000"
"32000112","320001121","25011","2","3000"
"32000112","320001122","25012","2","3000"
"32000112","320001123","25013","2","3000"
"32000112","320001124","25014","2","3000"
"32000112","320001125","25015","2","3000"
"32000113","320001131","21953","2","1"
"32000113","320001132","25021","2","2000"
