bfa50a79af0923e955651dc6264e28b8b940b966a9720b6a7579b0446319c5e6,f68f2240de392a2b50bcad5fc2376091b45bb7488c7dd22319b6c848a219a323,21d5c614279a088a4b029294a0e163db2b5764fe7631ef60bea95fab9b2427a5,8949c99784347ece7f119ce8b1e3f3ae48ebd35391af712a53049443f5bad1e2,3f69ec8584ffd99033b07e32c0808a9b6dc74fc5702cda14a52d3775cc588bd8,b86dc61b89ab78af8734d1b1b6d9e171458fa53124a315880131fb29f645d8c1,936476e10bb2a541c57e04716aba1bde6f418dd244334fd0a72a71ca725b2972,f380a78c1dbc76cee071bba07a4c567274b4d2751f3326dbb5f1ea5d8f813a83
"52001","0","1","1","0","1","1","【料理】ダイスが2個に増える"
"52002","0","1","1","0","2","1","【料理】ダイスの目が必ず「1」になる"
"52002","0","3","2","0","3","1","【料理】次のターン数のカウントをスキップする"
"52004","0","1","1","0","4","1","【料理】ダイスの目が必ず「4」になる"
"52006","0","1","1","0","5","1","【料理】ダイスの目が\n「4・5・6」のみになる"
"52007","0","1","1","0","6","1","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる"
"52003","0","1","1","0","7","1","【料理】ダイスの目が必ず「5」になる"
"52008","0","2","7","0","8","1","【料理】マイルマスの獲得マイルが200%アップする"
"4","0","3","2","0","9","2","【イベント】次のターン数のカウントをスキップする"
"5","0","2","3","0","10","2","【イベント】マイルマスの獲得マイルが100%アップする"
"6","0","2","5","0","11","2","【イベント】ミニゲームの獲得マイルが100%アップする"
"7","0","3","4","0","12","2","【イベント】マイルショップの全商品が20%以上割引される"
"52009","0","1","1","0","13","1","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる"
"52010","0","2","6","0","14","1","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる"
"52011","0","1","1","0","15","1","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる"
"52012","0","1","1","0","16","1","【料理】ダイスの目が\n「1・2・3」のみになる"
"52012","0","3","2","0","17","1","【料理】次のターン数のカウントをスキップする"
"52014","0","1","8","0","18","1","【料理】移動時にマイルマスをスキップできる"
"52005","0","1","1","0","19","1","【料理】次回移動時に1マス分多く進める"
"52014","2","1","1","2","20","1","【料理】次回移動時に1マス分多く進める"
"52015","0","1","1","0","21","1","【料理】ダイスが2個に増える"
"52015","0","1","1","0","22","1","【料理】次回移動時に1マス分多く進める"
"52016","0","1","1","0","23","1","【料理】ダイスの目が必ず「6」になる"
"52017","0","1","9","0","24","1","【料理】移動系カテゴリーの料理が食べられなくなる"
"52018","0","1","1","0","25","1","【料理】ダイスの目が必ず「3」になる"
"52019","0","1","1","0","26","1","【料理】ダイスの目が必ず「8」になる"
"98011","0","3","2","0","27","2","【イベント】次のターン数のカウントをスキップする"
"98012","0","3","2","0","28","2","【イベント】次のターン数のカウントをスキップする"
"52020","0","2","10","0","29","1","【料理】移動時にマイルマスをスキップできる"
"52020","2","1","1","2","30","1","【料理】次回移動時に1マス分多く進める"
"52021","0","2","10","0","31","1","【料理】移動時にトレジャーマスをスキップできる"
"52022","0","1","1","0","32","1","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる"
"52023","0","1","1","0","33","1","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる"
"52024","0","1","1","0","34","1","【料理】次回移動時に3マス分多く進める"
"52025","0","2","10","0","35","1","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる"
"52027","0","1","1","0","36","1","【料理】ダイスの目が必ず「5」になる"
"52028","0","1","1","0","37","1","【料理】ダイスの目が\n「1・2」のみになる"
"52029","0","1","1","0","38","1","【料理】ダイスの目が必ず「2」になる"
"52029","0","3","2","0","39","1","【料理】次のターン数のカウントをスキップする"
"8","0","3","4","0","40","2","【イベント】マイルショップの全商品が20%以上割引される"
"52030","0","3","11","0","41","1","【料理】「マイルマス」を「トレジャーマス」に変化させる"
"52031","0","1","1","0","42","1","【料理】ダイスの目が\n「1・6・6・6・8・8」になる"
"52032","0","2","10","0","43","1","【料理】移動時に料理マスをスキップできる"
"52034","0","1","8","0","44","1","【料理】移動時にマイルマスをスキップできる"
"1","0","1","99","0","1001","3","最大ｎマイルを入手する"
"2","0","1","99","0","1002","3","ダイスを1回振りなおせる"
"3","0","1","99","0","1003","3","ダイスを1回振りなおせる_有効ターン2"
"1001","0","1","126501","0","11001","3","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"1002","0","1","105301","0","11002","3","【仲間】最大1000マイルを入手する"
"1003","0","1","126401","0","11003","3","【仲間】料理を1つ入手する"
"1004","0","1","100501","0","11004","3","【仲間】ダイスの目を1回振りなおせる"
"1005","0","1","101301","0","11005","3","【仲間】ダイスの目を2回振りなおせる"
"1006","0","1","104301","0","11006","3","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"1007","0","1","102701","0","11007","3","【仲間】出目が3のダイスを同時に振ってどちらか選択できる"
"1008","0","1","100901","0","11008","3","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"1009","0","1","105101","0","11009","3","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"1010","0","1","101801","0","11010","3","【仲間】最大1000マイルを入手する"
"1011","0","1","129701","0","11011","3","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"1012","0","1","101601","0","11012","3","【仲間】ダイスの目を1回振りなおせる"
"1013","0","1","105601","0","11013","3","【仲間】ダイスの目を2回振りなおせる"
"1014","0","1","102001","0","11014","3","【仲間】出目が3のダイスを同時に振ってどちらか選択できる"
"1015","0","1","129601","0","11015","3","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"1016","0","1","100401","0","11016","3","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる"
"1017","0","1","127701","0","11017","3","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める"
"1018","0","1","127801","0","11018","3","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる"
"1019","0","1","104801","0","11019","3","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"1020","0","1","104701","0","11020","3","【仲間】ダイスの目を2回振りなおせる"
"1021","0","1","105001","0","11021","3","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"1022","0","1","103201","0","11022","3","【仲間】最大2000マイルを入手する"
"1023","0","1","130901","0","11023","3","【仲間】福引券を1枚入手する"
"1024","0","1","102501","0","11024","3","【仲間】料理を1つ入手する"
"1025","0","1","100801","0","11025","3","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"1026","0","1","123301","0","11026","3","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"1027","0","1","104601","0","11027","3","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"1028","0","1","118101","0","11028","3","【仲間】ダイスの目を2回振りなおせる"
"1029","0","1","103401","0","11029","3","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"1030","0","1","118001","0","11030","3","【仲間】最大2000マイルを入手する"
"1031","0","1","102801","0","11031","3","【仲間】福引券を1枚入手する"
"1032","0","1","100201","0","11032","3","【仲間】料理を1つ入手する"
"1033","0","1","101201","0","11033","3","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める"
"1034","0","1","118201","0","11034","3","【仲間】ダイスの目を1回振りなおせる"
"1035","0","1","106101","0","11035","3","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"1036","0","1","103101","0","11036","3","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"1037","0","1","103301","0","11037","3","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"1038","0","1","103601","0","11038","3","【仲間】最大2000マイルを入手する"
"1039","0","1","133001","0","11039","3","【仲間】福引券を1枚入手する"
"1040","0","1","133101","0","11040","3","【仲間】料理を1つ入手する"
"1041","0","1","106801","0","11041","3","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"1042","0","1","107101","0","11042","3","【仲間】ダイスの目を1回振りなおせる"
"1043","0","1","107001","0","11043","3","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"1044","0","1","106501","0","11044","3","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"1045","0","1","111001","0","11045","3","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"1046","0","1","134901","0","11046","3","【仲間】最大2000マイルを入手する"
"1047","0","1","105401","0","11047","3","【仲間】福引券を1枚入手する"
