c172a5dc1da1df5d5ec7159d9743b366a4915fa4b572103ed18d2a59518aa13a,d99ea021201f5f87fdcfa062914bbc1b00b955e000565cd5112f975620977c8c,3d9321f975e82d0f28ba5c96cc92138900bae3e728bb74760425673595e7a20b,1dda9ad1a4b5a67f9c1f942a513ceff9a4041610a8a505027edb9238dc11933f,7300ac8268b2eea57454dc85cbedab9dac14306e39bba1e6dcb00ddf8c5efb95,d190908fd722c05d5b175c868fa93d74ff46a188332db3f9c31d99c07086a2a9,30e2cf48e37a47b508340c1dcafe4e8f77211729782e9dd34867c12595743520,516e07793d2fb8b1a544022133df3e49a042395dc30dad1d720670ac5e0935b2,5cf51752d67cbf12117a3775fc339e39863b13c8ef7ea4df7725d2af9afd5f08
"1","3","3","2","2","2","6","1","100101"
"2","3","2","1","1","1","5","3","100201"
"3","2","3","1","3","2","7","1","100301"
"3","2","3","2","2","2","13","1","100401"
"2","3","1","2","2","3","18","2","100501"
"2","3","2","1","2","3","25","1","100601"
"2","3","2","2","3","1","26","3","100701"
"3","2","1","2","3","1","40","3","100801"
"2","2","3","1","3","3","34","1","100901"
"2","3","2","1","1","1","8","3","101001"
"2","3","2","3","2","1","56","2","101101"
"2","1","3","3","2","2","43","1","101201"
"3","3","1","1","2","3","33","1","101301"
"2","2","1","1","1","2","11","3","101401"
"3","2","2","1","1","1","42","3","101501"
"3","3","1","3","2","1","46","2","101601"
"2","3","1","3","2","2","10","1","101701"
"3","2","1","1","1","2","45","3","101801"
"1","3","3","2","1","2","12","2","102001"
"3","3","2","1","1","2","30","1","102101"
"3","1","2","3","1","2","24","1","102201"
"1","3","3","2","2","3","31","1","102301"
"2","2","1","3","1","1","29","3","102501"
"1","3","2","2","1","1","51","3","102601"
"3","1","3","2","3","1","36","2","102701"
"3","2","1","2","1","1","28","2","102801"
"2","3","2","2","1","1","52","2","102901"
"3","3","1","1","2","2","39","2","103001"
"1","2","3","2","3","1","27","3","103101"
"2","1","3","2","2","1","19","3","103201"
"1","3","3","1","2","2","48","2","103301"
"2","1","2","2","1","3","20","2","103401"
"2","1","1","2","3","3","14","3","103601"
"3","2","1","2","3","3","17","1","103701"
"1","2","2","1","3","3","49","3","103801"
"1","1","2","3","1","3","44","2","104001"
"2","2","1","2","3","2","53","3","104201"
"2","2","3","3","3","1","9","1","104301"
"1","2","3","1","3","2","23","3","104401"
"2","2","2","1","1","3","38","2","104501"
"1","2","2","3","2","1","21","3","104601"
"2","2","1","3","3","3","15","1","104701"
"3","1","2","3","3","2","22","1","104801"
"2","2","3","2","1","1","55","2","104901"
"2","3","1","3","1","2","47","2","105001"
"1","1","1","3","3","2","35","3","105101"
"2","3","2","2","2","1","50","2","105201"
"3","2","3","2","3","1","37","1","105301"
"1","3","2","3","2","1","54","2","105401"
"1","2","3","1","1","3","41","2","105501"
"2","3","2","3","3","1","32","1","105601"
"2","3","2","2","1","2","67","1","105701"
"2","3","2","2","2","1","1","2","105801"
"2","2","2","1","1","2","2","3","105901"
"1","2","1","3","3","3","3","2","106001"
"2","3","3","2","2","2","58","1","106101"
"1","3","3","2","1","2","68","1","106301"
"2","3","2","2","1","3","4","1","106401"
"2","3","1","2","3","3","61","1","106501"
"1","3","1","2","2","3","62","3","106601"
"2","2","1","1","3","2","60","2","106701"
"2","1","1","2","1","3","57","1","106801"
"1","1","2","1","3","2","59","3","107001"
"3","1","2","2","3","2","16","1","107101"
"2","2","2","1","1","2","70","2","109201"
"2","3","2","3","2","1","72","2","109301"
"3","2","1","3","3","2","71","1","109401"
"2","2","2","3","1","2","64","1","110801"
"3","2","1","2","2","1","65","2","110901"
"1","3","1","1","3","2","63","3","111001"
"1","2","2","3","2","3","69","2","111401"
"2","1","1","3","2","2","66","3","118001"
