7dcd8e5ffd007af6d19c4b4cc298300f90d22dc0070d2b5bd6a4d881c757fe6e,3b47ebe3653f72d646d794d4d3f88be4547bb93aabaa55ec735ec718f00cb5c6,5a2084996e62919c04a80744e1a4d17ea2123bed05042e74b2f4f409b7b4398a
"20114","180701","118301"
"20115","180701","118301"
"20116","180701","118401"
"20117","180701","118401"
"20118","180701","118401"
"20123","180801","120501"
"20124","180801","120401"
"20125","180801","120601"
"20126","180801","120401"
"20127","180801","120501"
"20128","180801","120601"
"30157","180801","120601"
"20129","180901","121801"
"20130","180901","121801"
"20131","180901","121701"
"20132","180901","121801"
"20133","180901","121701"
"20134","180901","121701"
"20135","180901","121701"
"20148","181001","124301"
"20149","181001","124301"
"20150","181001","124401"
"20151","181001","124401"
"20167","181101","128101"
"20168","181101","128101"
"20169","181101","128101"
"20170","181101","128101"
"20171","181101","128201"
"20172","181101","128201"
"20175","181101","128101"
