e30981a16e12c4486cbba9f6b99fc25a17da58a34b685c7bac28cdad5cca2557,5b9fcd5d07177f1947ccb657214cb4b7bac4e232cb5dfd0df4655dbcd01f94cb,03bbfb298c6463b914b792190b65be202e763f408b09f77676c9aed1d3bec696,4dad85063cf3c16ed4427511ae1ac2dafc05c53496eaeabe42825adc836db60f,aad4e3274537bc97d6784c42d85b8a836ee03e5c63f1c7435e07c36d4b52871f,edf3f879ab96136f15f91eba2ca37542c713820450bdd21949d8268a3bb70119,4be1260ae644e794e470e2eaa8ceb88199a4a95e0214b8097a255e2c42dd8133,a9ca7bc25c487e22f3187cae8982b2838917767cd4b76c7fadd83159c5b2e7aa,73dc8387f0be0fa9f8cf36316a9840780fc04301e1b0cae3d059e3d3fe52496f,3c9df118a185a6bb73a3dc937db6cd7fc519586f27470acf32b48d66a0de16c8,0593152bcced0f0a844ec8e70249749d9ab32a466b24e81ff9cdcf8c13607063
"8","1","2","8","10","25012","282001001","25021","91002","2","31"
"8","2","2","8","10","25012","282001002","25021","91002","2","31"
"8","3","2","8","10","25012","282001003","25021","91002","2","32"
"8","4","2","8","10","25012","282001004","25021","91002","2","32"
"8","5","2","8","10","25012","282001005","25021","91002","2","33"
"8","6","2","9","10","25012","282001006","25021","91002","2","33"
"8","7","2","9","10","25012","282001007","25021","91002","2","34"
"8","8","2","9","10","25012","282001008","25021","91002","2","35"
"8","9","2","9","10","25012","282001009","25021","91002","2","35"
"8","10","2","10","30","25012","282001010","25021","91002","2","37"
"8","11","2","10","10","25012","282001011","25021","91002","2","41"
"8","12","2","11","10","25012","282001012","25021","91002","2","43"
"8","13","2","11","10","25012","282001013","25021","91002","2","46"
"8","14","2","12","10","25012","282001014","25021","91002","2","48"
"8","15","2","12","10","25012","282001015","25021","91002","2","50"
"8","16","2","13","10","25012","282001016","25021","91002","2","53"
"8","17","2","14","10","25012","282001017","25021","91002","2","55"
"8","18","2","14","10","25012","282001018","25021","91002","2","58"
"8","19","2","15","10","25012","282001019","25021","91002","2","60"
"8","20","2","15","30","25012","282001020","25021","91002","2","62"
"8","21","2","16","10","25012","282001021","25021","91002","2","68"
"8","22","2","16","10","25012","282001022","25021","91002","2","70"
"8","23","2","16","10","25012","282001023","25021","91002","2","72"
"8","24","2","17","10","25012","282001024","25021","91002","2","75"
"8","25","2","18","10","25012","282001025","25021","91002","2","77"
"8","26","2","18","10","25012","282001026","25021","91002","2","79"
"8","27","2","19","10","25012","282001027","25021","91002","2","82"
"8","28","2","19","10","25012","282001028","25021","91002","2","84"
"8","29","2","19","10","25012","282001029","25021","91002","2","86"
"8","30","2","20","30","25012","282001030","25021","91002","2","89"
"8","31","2","20","10","25012","282001031","25021","91002","2","94"
"8","32","2","21","10","25012","282001032","25021","91002","2","96"
"8","33","2","21","10","25012","282001033","25021","91002","2","99"
"8","34","2","22","10","25012","282001034","25021","91002","2","101"
"8","35","2","22","10","25012","282001035","25021","91002","2","103"
"8","36","2","23","10","25012","282001036","25021","91002","2","106"
"8","37","2","23","10","25012","282001037","25021","91002","2","108"
"8","38","2","24","10","25012","282001038","25021","91002","2","111"
"8","39","2","25","10","25012","282001039","25021","91002","2","113"
"8","40","2","25","30","25012","282001040","25021","91002","2","115"
"8","41","2","26","10","25012","282001041","25021","91002","2","121"
"8","42","2","27","10","25012","282001042","25021","91002","2","123"
"8","43","2","28","10","25012","282001043","25021","91002","2","125"
"8","44","2","28","10","25012","282001044","25021","91002","2","128"
"8","45","2","29","10","25012","282001045","25021","91002","2","130"
"8","46","2","30","10","25012","282001046","25021","91002","2","132"
"8","47","2","30","10","25012","282001047","25021","91002","2","135"
"8","48","2","31","10","25012","282001048","25021","91002","2","137"
"8","49","2","31","10","25012","282001049","25021","91002","2","139"
"8","50","2","31","30","25012","282001050","25021","91002","2","142"
"8","51","2","32","10","25012","282001051","25021","91002","2","144"
"8","52","2","32","10","25012","282001052","25021","91002","2","146"
"8","53","2","32","10","25012","282001053","25021","91002","2","149"
"8","54","2","33","10","25012","282001054","25021","91002","2","152"
"8","55","2","33","10","25012","282001055","25021","91002","2","155"
"8","56","2","33","10","25012","282001056","25021","91002","2","157"
"8","57","2","34","10","25012","282001057","25021","91002","2","160"
"8","58","2","34","10","25012","282001058","25021","91002","2","163"
"8","59","2","34","10","25012","282001059","25021","91002","2","166"
"8","60","2","35","30","25012","282001060","25021","91002","2","169"
"8","61","2","35","10","25012","282001061","25021","91002","2","171"
"8","62","2","35","10","25012","282001062","25021","91002","2","174"
"8","63","2","36","10","25012","282001063","25021","91002","2","177"
"8","64","2","36","10","25012","282001064","25021","91002","2","180"
"8","65","2","36","10","25012","282001065","25021","91002","2","182"
"8","66","2","37","10","25012","282001066","25021","91002","2","185"
"8","67","2","37","10","25012","282001067","25021","91002","2","187"
"8","68","2","37","10","25012","282001068","25021","91002","2","190"
"8","69","2","38","10","25012","282001069","25021","91002","2","193"
"8","70","2","38","30","25012","282001070","25021","91002","2","196"
"8","71","2","39","10","25012","282001071","25021","91002","2","200"
"8","72","2","39","10","25012","282001072","25021","91002","2","204"
"8","73","2","40","10","25012","282001073","25021","91002","2","208"
"8","74","2","40","10","25012","282001074","25021","91002","2","212"
"8","75","2","41","10","25012","282001075","25021","91002","2","216"
"8","76","2","41","10","25012","282001076","25021","91002","2","220"
"8","77","2","42","10","25012","282001077","25021","91002","2","224"
