a5b0bd4896ce44e914b3ecfb49bf9eb52845f202897e090e5410a4933d72b70a,b033d249a461024099a836289e9c983f1ad15d49ac52739a583fad43880aa3d4,70e7b691944f28fbd24364222b429099e705b32d492e708749b24637dd1c6eef,9f54b0fe67a8fa91f384573d5d3929f1f323b0e023b532a154688a1aca489e1a,3de5c301b766b0b5ac781f0ab3cb2fb01ea406a263295e43f89d0d74ac3b48c8,7922dee98f48b24644a76f4283ca88001d4f9164af68cccfb12020b5914bfda9,31a76617b4b4d1e61f36c7025b391d7a2c0fa41d69039b0878548e9bd56a1472,5af10d6e602cdd73fd18918e8606b31c14e6797915a5770d2abffe506ddd227e,14432bafa442c1d34afe3517a7dcf41e05613e57b8b3c3fefe116bd638e10937,32019123b039b7f8037a4f404d83eae9a4a78d604978c5c913099f003241b6b8,52fb1170f9b4b1e6368ab033bbe9695bf841b91300a401130ae2b57bd39b0312,a63773741d595e2b0b43f57ae0edb38b4a46b710a6a8e33660a107c8cc4836fd,7e4db8f5b7e325d00074d099f6321cc3a574bd84e678a5b30c0b31b9bc81ce69,0b1a66685e1ed845c66047018440b90e80b3adfb2c2bfd28c9c67c354fc5049a,c4a25d96d80d98efe32cd5c614ace4904c7d6ba44d563e14d443689b8fd6aa4a,c4e71381a5920f7600e7c8cef8bad80f0449905d5aa4b8d404ca8aa9c67749c1
"501","2","215","455","-110","70","1","2","1008201","101","3","1","301","980","401","201"
"502","2","215","230","-110","70","1","2","1008202","102","3","2","302","515","402","202"
"503","1","215","230","-110","70","1","2","1008203","103","3","3","303","515","403","203"
"504","1","215","230","-110","70","1","2","1008204","104","3","4","304","515","404","204"
"505","2","233","355","-110","78","1","2","1008205","105","3","5","305","787","405","205"
"506","3","233","355","-110","78","1","2","1008206","106","3","6","306","787","406","206"
"507","3","233","345","-110","88","1","2","1008207","107","3","7","307","777","407","207"
"508","1","233","345","-110","88","1","2","1008208","108","3","8","308","777","408","208"
"509","1","233","345","-110","88","1","2","1008209","109","3","9","309","777","409","209"
"510","3","233","355","-110","88","1","2","1008210","110","3","10","310","810","410","210"
"511","2","233","345","-110","88","1","2","1008211","111","3","11","311","777","411","211"
"512","2","215","230","-110","70","1","2","1008212","112","3","12","312","515","412","212"
"513","1","233","355","-110","78","1","2","1008213","113","3","13","313","810","413","213"
"514","1","215","230","-110","70","1","2","1008214","114","3","14","314","515","414","214"
"515","3","215","230","-110","70","1","2","1008215","115","3","15","315","515","415","215"
"516","2","215","275","-110","70","1","2","1008216","116","3","16","316","655","416","216"
"517","3","215","230","-110","70","1","2","1008217","117","3","17","317","515","417","217"
"518","3","233","345","-110","88","1","2","1008218","118","3","18","318","777","418","218"
