051d158d9b19ce7e74eca6d25ba56da7448c59815808220d53f2eb26b3ec7602,1dbea46304994e7a7fb03a68fcbb21a50172fad5f4e3677e5275082ed33b93f7,ee485cbda794bd38e8553558be4689281d84c0d525c7fe5702b390e4c7f85853,0cc0cc5f6ed567f852ce2c6f14e1515e1cbcdc53b769323c70f426f80525bba6,c42209ca45148f1c1e3451caacd61eb0ae5b61654aa0601d9d76e07d6e5e397e,bd75de3fa96048f42f77fbe148be334c8dd428f4658dcf9e17272985ed43bd73,303322328e0c5ab906a18cdac070a6bb22dcebbe624018afb5919767b3f7a726
"1","1","1","1","0","0","1"
"2","1","1","2","0","0","4"
"3","1","1","1","12","0","5"
"4","1","1","2","0","0","2"
"5","1","2","1","0","0","8"
"1","2","1","1","0","0","1"
"2","2","1","2","0","0","1"
"3","2","1","1","0","0","6"
"4","2","1","2","0","0","1"
"5","2","1","3","0","0","1"
"6","2","3","1","11","0","3"
"7","2","1","2","0","0","1"
"8","2","1","1","0","0","3"
"9","2","2","1","0","0","1"
"1","3","1","1","0","0","1"
"2","3","1","2","0","0","10"
"3","3","1","1","0","0","11"
"4","3","1","2","0","0","5"
"5","3","1","3","0","0","6"
"6","3","1","3","0","0","3"
"7","3","2","4","9","0","3"
"8","3","1","4","0","0","7"
"9","3","1","4","0","0","1"
"10","3","3","1","8","0","9"
"11","3","1","2","0","0","4"
"12","3","1","1","0","0","1"
"13","3","1","4","0","0","3"
"14","3","2","3","11","0","3"
"1","4","1","1","10","0","4"
"2","4","1","1","12","0","12"
"3","4","1","2","10","0","1"
"4","4","1","1","4","0","11"
"5","4","1","2","0","0","1"
"6","4","1","1","13","0","4"
"7","4","1","2","6","0","2"
"8","4","1","1","0","0","8"
"9","4","1","2","10","0","8"
"1","5","1","1","10","0","1"
"2","5","1","2","5","0","11"
"3","5","1","1","7","0","1"
"4","5","1","2","12","0","5"
"5","5","1","1","11","0","1"
"6","5","1","2","4","0","3"
"7","5","1","2","12","0","5"
"8","5","1","1","6","0","2"
"9","5","1","2","4","0","11"
"10","5","1","1","8","0","8"
"11","5","1","1","10","0","4"
"12","5","1","2","10","0","5"
"1","6","1","1","7","0","8"
"2","6","1","2","10","0","4"
"3","6","1","1","11","0","1"
"4","6","1","2","8","0","8"
"5","6","1","1","6","0","11"
"6","6","2","1","7","0","2"
"7","6","1","1","4","0","5"
"8","6","1","2","10","0","4"
"9","6","2","1","13","0","10"
"1","7","1","1","7","0","8"
"2","7","1","2","10","0","12"
"3","7","1","2","12","0","4"
"4","7","1","1","7","0","11"
"5","7","1","1","10","0","1"
"6","7","1","2","12","0","5"
"7","7","1","2","11","0","5"
"8","7","1","2","10","0","8"
"9","7","1","1","8","0","2"
"10","7","1","1","7","0","8"
"11","7","1","2","9","0","4"
"1","8","2","1","10","0","1"
"2","8","1","2","10","0","12"
