c96d8e1c4b6886cd3c19d70b2f62db61af92f7ae32ffe624c90dc9f4daee8c5c,187dfc3254ee6f9e46739c1242bbe7da0cb1029f7aeef33faa388cb40b8c60de,5f253f314fe89e81e7221fa513f87fce88c7bc07a354507ae494bfc2893322c8
"101","1","1"
"103","2","1"
"105","3","1"
"101","4","2"
"102","5","2"
"103","6","2"
"105","7","2"
"101","8","3"
"102","9","3"
"103","10","3"
"101","11","4"
"103","12","4"
"104","13","4"
"105","14","4"
"103","15","5"
"104","16","5"
"105","17","5"
"102","18","6"
"104","19","6"
"106","20","6"
"101","21","7"
"102","22","7"
"106","23","7"
"102","24","8"
"103","25","8"
"106","26","8"
"103","27","9"
"104","28","9"
"105","29","9"
"101","30","10"
"103","31","10"
"105","32","10"
"107","33","11"
"108","34","11"
