f875796cc0a2d757f8030dbdfb12e8a1e33023e7ac1a5b512b1de29f0a29d341,05d79d85e46191820e659fabc306c8475bfb6520f77b3dad77b57d0092ed6f1f,55c31f646eca4c079a7a40abba53b2930c2a343f8833fc70ae3418d069c26673,1496b96956eb17823a32632c56fc3530047558e42ef39b95519e058bc6813868,2208769813cf7aaadeb5b1b454450bb561a92f9956843d60845ec50d1f4e4e14,61beaab078bea117f71f66859b547b422fd7d94be21fed5267e30b08cf312c78,ef5a5e2a11969d9c5d34e2a255ed32b1f0b3c30159a0675ae3b2cb48c808c4d8,ecd1b3b276042680f2f756b1e4cf9d9953216b4c2859142256d0c13e7407df3c,572b3ebbc063ece18888a7233cc20508300fc576efb7e06b6498e48ee57e616b,09bb9f0003c88991c7c646f9819590a6f9bc620a9f50ac7590798e989582db3f,82f99ece6b7ed6bf2c7552b0db7e185149aa13dd4831390302f848de3a39a95f,a0fcab3ad3f023507b199b6593705fe5749942acef4674591fd405a55d5375f4
"0","1","190804","0","60000","1","","1","カリン","新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","1","0"
"0","0","0","1","60000","1","","2","","今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","2","0"
"0","0","0","1","60000","1","","3","","今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","2","0"
"0","0","0","1","60000","2","","4","","今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","2","0"
"0","0","0","2","60000","1","","5","","今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","2","0"
"0","0","0","2","60000","1","","6","","今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","2","0"
"0","0","0","2","60000","2","","7","","今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","2","0"
"0","0","0","3","60000","1","","8","","今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","2","0"
"0","0","0","3","60000","1","","9","","今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","2","0"
"0","0","0","3","60000","1","","10","","今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","2","0"
