295624a70c859ffc32c2f3f8fa16e5fb04db299f770714f17f97b581a6235dc3,fc05b2e4ff20229381ad0a8e11f8b1c0d93db2b590077374c9168cda6a1d14cb,a46af14b6374873ca1a438561792ba5d7bc32c1963c0a3c2cc17f673a7ce9778,5bf898e1e933b87d08914a2a1077a860674f6230b3c40405f6d5e96a1dac01d7,3bffed9a319258e9b21685bdfbfaa906417b785fb64ad0d54a3fd9e7dc9e5b84,fa7995c5a17234007999ee80c8332f2b91eb96f03907b8d2dca3c34fd691a21b,950b8231c875105cc55b9fa92f50e626c8fdf4f1e3e6c941607ef3427911669d,a760fbebed3b95963a8e4487c7b203822dde840dd34b3bbe842ce0c4557fa4f8,2c29733d02f425d43613fa55c710191cc58634d005aa6ffd7172743f87f142a0
"1","0","10","10000","90043","90001","30000","1","12000"
"2","0","20","10000","90047","90002","30000","2","24000"
"3","0","20","10000","90047","90002","30000","3","24000"
"4","0","20","10000","90047","90002","30000","4","24000"
"5","0","20","10000","90047","90002","30000","5","24000"
"6","0","20","10000","90047","90002","30000","6","24000"
"7","0","20","10000","90047","90002","30000","7","24000"
"8","0","20","10000","90047","90002","30000","8","24000"
"9","0","20","10000","90047","90002","30000","9","24000"
"10","0","20","10000","90047","90002","30000","10","24000"
"11","90011","40","10000","90051","90003","30000","11","48000"
"12","90011","40","10000","90051","90003","30000","12","48000"
"13","90011","40","10000","90051","90003","30000","13","48000"
"14","90011","40","10000","90051","90003","30000","14","48000"
"15","90011","40","10000","90051","90003","30000","15","48000"
"16","90011","40","10000","90051","90003","30000","16","48000"
"17","90011","40","10000","90051","90003","30000","17","48000"
"18","90011","40","10000","90051","90003","30000","18","48000"
"19","90011","40","10000","90051","90003","30000","19","48000"
"20","90011","40","10000","90051","90003","30000","20","48000"
"21","90015","60","10000","90055","90004","30000","21","72000"
"22","90015","60","10000","90055","90004","30000","22","72000"
"23","90015","60","10000","90055","90004","30000","23","72000"
"24","90015","60","10000","90055","90004","30000","24","72000"
"25","90015","60","10000","90055","90004","30000","25","72000"
"26","90015","60","10000","90055","90004","30000","26","72000"
"27","90015","60","10000","90055","90004","30000","27","72000"
"28","90015","60","10000","90055","90004","30000","28","72000"
"29","90015","60","10000","90055","90004","30000","29","72000"
"30","90015","60","10000","90055","90004","30000","30","72000"
"31","90015","80","10000","90059","90005","30000","31","96000"
"32","90015","80","10000","90059","90005","30000","32","96000"
"33","90015","80","10000","90059","90005","30000","33","96000"
"34","90015","80","10000","90059","90005","30000","34","96000"
"35","90015","80","10000","90059","90005","30000","35","96000"
"36","90015","80","10000","90059","90005","30000","36","96000"
"37","90015","80","10000","90059","90005","30000","37","96000"
"38","90015","80","10000","90059","90005","30000","38","96000"
"39","90015","80","10000","90059","90005","30000","39","96000"
"40","90015","80","10000","90059","90005","30000","40","96000"
"41","90017","120","10000","90063","90005","30000","41","144000"
"42","90017","120","10000","90063","90005","30000","42","144000"
"43","90017","120","10000","90063","90005","30000","43","144000"
"44","90017","120","10000","90063","90005","30000","44","144000"
"45","90017","120","10000","90063","90005","30000","45","144000"
"46","90017","120","10000","90063","90005","30000","46","144000"
"47","90017","120","10000","90063","90005","30000","47","144000"
"48","90017","120","10000","90063","90005","30000","48","144000"
"49","90017","120","10000","90063","90005","30000","49","144000"
"50","90017","120","10000","90063","90005","30000","50","144000"
"51","90019","150","10000","90067","90006","30000","51","180000"
"52","90019","150","10000","90067","90006","30000","52","180000"
"53","90019","150","10000","90067","90006","30000","53","180000"
"54","90019","150","10000","90067","90006","30000","54","180000"
"55","90019","150","10000","90067","90006","30000","55","180000"
"56","90019","150","10000","90067","90006","30000","56","180000"
"57","90019","150","10000","90067","90006","30000","57","180000"
"58","90019","150","10000","90067","90006","30000","58","180000"
"59","90019","150","10000","90067","90006","30000","59","180000"
"60","90019","150","10000","90067","90006","30000","60","180000"
"61","90021","180","10000","90071","90007","30000","61","216000"
"62","90021","180","10000","90071","90007","30000","62","216000"
"63","90021","180","10000","90071","90007","30000","63","216000"
"64","90021","180","10000","90071","90007","30000","64","216000"
"65","90021","180","10000","90071","90007","30000","65","216000"
"66","90021","180","10000","90071","90007","30000","66","216000"
"67","90021","180","10000","90071","90007","30000","67","216000"
"68","90021","180","10000","90071","90007","30000","68","216000"
"69","90021","180","10000","90071","90007","30000","69","216000"
"70","90021","180","10000","90071","90007","30000","70","216000"
