7c196822db825974259a2e82d55e3684b93491241c49088ef8e0116da5e194cd,9a4d3191a003c3f64d9c6b2c8e04b8f2dc0c8d4f74408bb32f275f99c072a37e,ce94db46575ea40e168fa0b7984b66d5fe8993671839ec1819ac667856d953cd,f38049a0cc57d2fe12d8ffe995963f893c115bb4b047fd8bc87867564993fa9c,e737d5d82ff6985ecd7ff6c94d5d730ed0af45937650110d04eef42ce9f6a301,d58403e042ebb878b6f87387fbace8b9cf1ea21366634a6a6942b54a15ab56b0,60d5f8e9fcf8b46ec79b654ad40decd6f9c8231a2f34060bf49608f60bc7a246,06f8f93e3c67c666ef20eff743aebd90a0a99bbb43e77d0e9a68f9f3015b7dd4,386e9194c7986c781ba1ba2438e6fc3910bfd639e032f30e152dfde630205f3d
"43.5","1","320010106","1","502001102","0.7","11","1","0"
"13","2","320010106","3","502001103","0.65","67","2","0"
"-74","3","320010106","2","0","0.65","49","3","0"
"-49","1","320010107","1","502001108","0.7","13","4","0"
"-4","2","320010107","3","502001109","0.85","62","5","0"
"59","3","320010107","2","0","0.65","50","6","0"
"0","1","320010108","1","0","1.05","-10","7","0"
"-15","1","320010109","1","0","1.05","-10","8","0"
"-85","1","320010110","1","0","0.43","-45","9","0"
"85","2","320010110","2","0","0.43","-45","10","0"
"43.5","1","320010206","1","502001202","0.7","11","11","0"
"13","2","320010206","3","502001203","0.65","67","12","0"
"-74","3","320010206","2","0","0.65","49","13","0"
"-49","1","320010207","1","502001208","0.7","13","14","0"
"-4","2","320010207","3","502001209","0.85","62","15","0"
"59","3","320010207","2","0","0.65","50","16","0"
"0","1","320010208","1","0","1.05","-10","17","0"
"-15","1","320010209","1","0","1.05","-10","18","0"
"-85","1","320010210","1","0","0.43","-45","19","0"
"85","2","320010210","2","0","0.43","-45","20","0"
"43.5","1","320010306","1","502001302","0.7","11","21","0"
"13","2","320010306","3","502001303","0.65","67","22","0"
"-74","3","320010306","2","0","0.65","49","23","0"
"-49","1","320010307","1","502001308","0.7","13","24","0"
"-4","2","320010307","3","502001309","0.85","62","25","0"
"59","3","320010307","2","0","0.65","50","26","0"
"0","1","320010308","1","0","1.05","-10","27","0"
"-15","1","320010309","1","0","1.05","-10","28","0"
"-85","1","320010310","1","0","0.43","-45","29","0"
"85","2","320010310","2","0","0.43","-45","30","0"
"43.5","1","320010406","1","502001402","0.7","11","31","0"
"13","2","320010406","3","502001403","0.65","67","32","0"
"-74","3","320010406","2","0","0.65","49","33","0"
"-49","1","320010407","1","502001408","0.7","13","34","0"
"-4","2","320010407","3","502001409","0.85","62","35","0"
"59","3","320010407","2","0","0.65","50","36","0"
"0","1","320010408","1","0","1.05","-10","37","0"
"-15","1","320010409","1","0","1.05","-10","38","0"
"-85","1","320010410","1","0","0.43","-45","39","0"
"85","2","320010410","2","0","0.43","-45","40","0"
"43.5","1","320010506","1","502001502","0.7","11","41","0"
"13","2","320010506","3","502001503","0.65","67","42","0"
"-74","3","320010506","2","0","0.65","49","43","0"
"-49","1","320010507","1","502001508","0.7","13","44","0"
"-4","2","320010507","3","502001509","0.85","62","45","0"
"59","3","320010507","2","0","0.65","50","46","0"
"0","1","320010508","1","0","1.05","-10","47","0"
"-15","1","320010509","1","0","1.05","-10","48","0"
"-85","1","320010510","1","0","0.43","-45","49","0"
"85","2","320010510","2","0","0.43","-45","50","0"
"43.5","1","320020106","1","502002102","0.7","11","51","0"
"13","2","320020106","3","502002103","0.65","67","52","0"
"-74","3","320020106","2","0","0.65","49","53","0"
"-49","1","320020107","1","502002108","0.7","13","54","0"
"-4","2","320020107","3","502002109","0.85","62","55","0"
"59","3","320020107","2","0","0.65","50","56","0"
"0","1","320020108","1","0","1.05","-10","57","0"
"-15","1","320020109","1","0","1.05","-10","58","0"
"-85","1","320020110","1","0","0.43","-45","59","0"
"85","2","320020110","2","0","0.43","-45","60","0"
"43.5","1","320020206","1","502002202","0.7","11","61","0"
"13","2","320020206","3","502002203","0.65","67","62","0"
"-74","3","320020206","2","0","0.65","49","63","0"
"-49","1","320020207","1","502002208","0.7","13","64","0"
"-4","2","320020207","3","502002209","0.85","62","65","0"
"59","3","320020207","2","0","0.65","50","66","0"
"0","1","320020208","1","0","1.05","-10","67","0"
"-15","1","320020209","1","0","1.05","-10","68","0"
"-85","1","320020210","1","0","0.43","-45","69","0"
"85","2","320020210","2","0","0.43","-45","70","0"
"43.5","1","320020306","1","502002302","0.7","11","71","0"
"13","2","320020306","3","502002303","0.65","67","72","0"
"-74","3","320020306","2","0","0.65","49","73","0"
"-49","1","320020307","1","502002308","0.7","13","74","0"
"-4","2","320020307","3","502002309","0.85","62","75","0"
"59","3","320020307","2","0","0.65","50","76","0"
"0","1","320020308","1","0","1.05","-10","77","0"
"-15","1","320020309","1","0","1.05","-10","78","0"
"-85","1","320020310","1","0","0.43","-45","79","0"
"85","2","320020310","2","0","0.43","-45","80","0"
"43.5","1","320020406","1","502002402","0.7","11","81","0"
"13","2","320020406","3","502002403","0.65","67","82","0"
"-74","3","320020406","2","0","0.65","49","83","0"
"-49","1","320020407","1","502002408","0.7","13","84","0"
"-4","2","320020407","3","502002409","0.85","62","85","0"
"59","3","320020407","2","0","0.65","50","86","0"
"0","1","320020408","1","0","1.05","-10","87","0"
"-15","1","320020409","1","0","1.05","-10","88","0"
"-85","1","320020410","1","0","0.43","-45","89","0"
"85","2","320020410","2","0","0.43","-45","90","0"
"43.5","1","320020506","1","502002502","0.7","11","91","0"
"13","2","320020506","3","502002503","0.65","67","92","0"
"-74","3","320020506","2","0","0.65","49","93","0"
"-49","1","320020507","1","502002508","0.7","13","94","0"
"-4","2","320020507","3","502002509","0.85","62","95","0"
"59","3","320020507","2","0","0.65","50","96","0"
