0103f1a962740743aed5d27499eb368410e9b0955b98b083afc61f2d9a35052f,9c051ec6296fd0de975b9b4fadc67d3a15b312b0b32f7062f56f0b67aac74d51,a904e253b75461d2461370a79ed607373e01bbb1b833b3085d96cbc100df4cb5,121190a07023aea332890c21918e683329fe591d9584ab2af8f2cab4b01be0fd
"4","1","【加速】4以上：\nＴＰ上昇＋30\n重複可能の行動速度＋100％\n","10011"
"9","1","【加速】9以上：\nユニオンバースト発動時に【烈風】＋１（最大99）\n20秒ごとに物理/魔法与ダメアップフィールド展開\n（【烈風】数×1％）\n","10012"
"15","1","【加速】15以上：\n9秒ごとにＴＰ1000回復\n","10013"
"4","2","【弱体】4以上：\n敵全体に黒炎付与（毎秒1万ダメージ、毎回5％ずつダメージ上昇）\n","10021"
"9","2","【弱体】9以上：\n敵への継続ダメージ＋1000％（最大50万ダメージ）\n","10022"
"15","2","【弱体】15以上：\n弱体効果数に応じて敵の被ダメアップ（対象の弱体効果数\n×50％、最大＋500％）\nさらに敵への継続ダメージ＋1000％（最大50万ダメージ）\n","10023"
"4","3","【会心】4以上：\n物理/魔法クリダメ＋100％\n","10031"
"9","3","【会心】9以上：\n物理/魔法クリティカル＋2000\n","10032"
"15","3","【会心】15以上：\nクリティカルヒット時【看破】＋１（最大99）\n20秒ごとにランダムな敵１体に固定ダメージ×５回\n（毎回5万＋対象の【看破】数×5万ダメージ）\n","10033"
"4","4","【強化】4以上：\nバトル開始20秒後、物理/魔法攻撃力アップフィールド展開（現在値＋30％）\n敵へのダメージ減衰量緩和\n","10041"
"9","4","【強化】9以上：\nさらにバトル開始40秒後、物理/魔法攻撃力アップフィールド展開（現在値＋50％）\nさらに敵へのダメージ減衰量緩和\n","10042"
"15","4","【強化】15以上：\nさらにバトル開始60秒後、物理/魔法攻撃力アップフィールド展開（現在値＋70％）\nさらに敵へのダメージ減衰量緩和\n","10043"
"4","5","【守備】4以上：\n全ダメージ33％カット\n","10051"
"9","5","【守備】9以上：\n15秒ごとに前から敵１体に物理と魔法固定ダメージ\n（味方全体の現在ＨＰ合計×200ダメージ）\n","10052"
"15","5","【守備】15以上：\n15秒ごとに物理/魔法与ダメアップフィールド展開\n（味方全体の現在ＨＰ合計×0.0001％、最大200％）\n","10053"
