08b666f7e2badb8075a3ee7f0081987f347fd98e73919fab72ad1b80c6a9dd45,ef49f0e83958694c9039e8013e0b5387c2a5bc53d33c63b972566298750ed720,f62e8d25f88ceb378c61adeb2f35991d55aa52d17a7dd147b1eb4153ea03a0e7,1fa42b80499f73d18d5a6bcef654a883886ce65c8ecabd6807e01792ff41c31e,c632fb56f0e021c29ab5922cd9e62a614bdacc9d583de4ec4ab0c6920ef98cc1,1857ae2d8a805e22023ba61eb61d05bd7b047f90ab9278378d98a222df57dc0d,06ec31ff6a969d42d0c39dfb5c56fb894cde7fa2684e697ebe97f146d68fea78,b91257256bb7585220aa69ced3f6663da38c185510f0278137f56cf5fdc5bd8a,dc525f580bc014c088c7adf35f11b0da83b70257778f98b7cdbcd53d3c395821
"6","100101","2","1","3","1","2","3","2"
"5","100201","1","2","2","3","1","3","1"
"7","100301","1","3","3","1","2","2","3"
"13","100401","2","3","3","1","2","2","2"
"18","100501","2","2","1","2","3","3","2"
"25","100601","1","2","2","1","3","3","2"
"26","100701","2","2","2","3","1","3","3"
"40","100801","2","3","1","3","1","2","3"
"34","100901","1","2","3","1","3","2","3"
"8","101001","1","2","2","3","1","3","1"
"56","101101","3","2","2","2","1","3","2"
"43","101201","3","2","3","1","2","1","2"
"33","101301","1","3","1","1","3","3","2"
"11","101401","1","2","1","3","2","2","1"
"42","101501","1","3","2","3","1","2","1"
"46","101601","3","3","1","2","1","3","2"
"10","101701","3","2","1","1","2","3","2"
"45","101801","1","3","1","3","2","2","1"
"12","102001","2","1","3","2","2","3","1"
"30","102101","1","3","2","1","2","3","1"
"24","102201","3","3","2","1","2","1","1"
"31","102301","2","1","3","1","3","3","2"
"29","102501","3","2","1","3","1","2","1"
"51","102601","2","1","2","3","1","3","1"
"36","102701","2","3","3","2","1","1","3"
"28","102801","2","3","1","2","1","2","1"
"52","102901","2","2","2","2","1","3","1"
"39","103001","1","3","1","2","2","3","2"
"27","103101","2","1","3","3","1","2","3"
"19","103201","2","2","3","3","1","1","2"
"48","103301","1","1","3","2","2","3","2"
"20","103401","2","2","2","2","3","1","1"
"14","103601","2","2","1","3","3","1","3"
"17","103701","2","3","1","1","3","2","3"
"49","103801","1","1","2","3","3","2","3"
"44","104001","3","1","2","2","3","1","1"
"53","104201","2","2","1","3","2","2","3"
"9","104301","3","2","3","1","1","2","3"
"23","104401","1","1","3","3","2","2","3"
"38","104501","1","2","2","2","3","2","1"
"21","104601","3","1","2","3","1","2","2"
"15","104701","3","2","1","1","3","2","3"
"22","104801","3","3","2","1","2","1","3"
"55","104901","2","2","3","2","1","2","1"
"47","105001","3","2","1","2","2","3","1"
"35","105101","3","1","1","3","2","1","3"
"50","105201","2","2","2","2","1","3","2"
"37","105301","2","3","3","1","1","2","3"
"54","105401","3","1","2","2","1","3","2"
"41","105501","1","1","3","2","3","2","1"
"32","105601","3","2","2","1","1","3","3"
"67","105701","2","2","2","1","2","3","1"
"1","105801","2","2","2","2","1","3","2"
"2","105901","1","2","2","3","2","2","1"
"3","106001","3","1","1","2","3","2","3"
"58","106101","2","2","3","1","2","3","2"
"68","106301","2","1","3","1","2","3","1"
"4","106401","2","2","2","1","3","3","1"
"61","106501","2","2","1","1","3","3","3"
"62","106601","2","1","1","3","3","3","2"
"60","106701","1","2","1","2","2","2","3"
"57","106801","2","2","1","1","3","1","1"
"59","107001","1","1","2","3","2","1","3"
"16","107101","2","3","2","1","2","1","3"
"70","109201","1","2","2","2","2","2","1"
"72","109301","3","2","2","2","1","3","2"
"71","109401","3","3","1","1","2","2","3"
"64","110801","3","2","2","1","2","2","1"
"65","110901","2","3","1","2","1","2","2"
"63","111001","1","1","1","3","2","3","3"
"69","111401","3","1","2","2","3","2","2"
"66","118001","3","2","1","3","2","1","2"
