486940ba0ebc40c4e722e9d47636640e31e2fa5bc20141c61351c18d8d63943a,c08aa7b592ebe0b87b25514296355a1c889219eb0b168f397032a36ee42676bc,70f6b6756b4dc18f1c19821612e3c10b4ea20603ef1e14ac50ba75819895756c,7588f63ab31b120861619968827464cc9c4b5b26402ebb8353c77821d7567d07,dedf16c412c744c81cbcf66e04e069b2dfa86fcb5e7039955c89ccc04e55875f,41c287a74c2c58e1d188368870511d16ab6ef6f1ded5517ae92dd8878a3522ac,9e47942359d2935a2bc36eb130f770230fbd8196c9bfb2e43c1351be2cdb3773,3ad9ab430fa62f974ab6284c05a892c2154bd363a8a07e6b887c6772aae2b7ad,5cf56744cb4ce69ddbfce7fa32e8d24a76d1badd1b31f4bbf7993b5a397f3048,22d3e7f288d3a2ced75051138c9d29f6bc31d4a9cd4b9dd69334d0c88d2a3e54,3da015660715a731b50b1f51abcbc0653663d5349234d67aae73c2dcc4cbe386,7932630738b5c06125953df5b1f325a7b12c7eb58b7c0aec24c4cf179b264979,c63b8fefec5ed87e0deb2984ba8dcb7471a48f00e0c1fed642e5d6f1344a2bcd,9d7d02bae342cd104b1680f6e196708b4c3336a87a0cebe4aff4d80c65c2b9e9,bcd56720ede1418087f289ba51d594342222209f12bac0e4217fb1fcf298a8a2,0cd05c658f4ae592fe60c2945a2bd0e6527bad0b2a2b451a5ece96b568df5732
"1001101","40","40","0","2","2","1","90006","0","22002","0","0","0","8","0","91002"
"1001102","50","60","0","2","2","2","90006","0","22002","0","0","0","8","0","91002"
"1001103","60","80","0","2","2","3","90006","0","22002","0","0","0","8","0","91002"
"1001104","80","100","0","2","2","4","90006","0","22002","0","0","0","8","0","91002"
"1001105","150","200","0","2","2","2","90006","0","22003","0","0","0","8","0","91002"
"1001106","1","20","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1001107","1","20","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1001108","1","20","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1001109","1","20","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1001110","1","20","0","0","2","0","22003","0","0","0","0","0","2","0","90006"
"1002101","40","40","0","2","2","1","90006","0","22002","0","0","0","8","0","91002"
"1002102","50","60","0","2","2","2","90006","0","22002","0","0","0","8","0","91002"
"1002103","60","80","0","2","2","3","90006","0","22002","0","0","0","8","0","91002"
"1002104","80","100","0","2","2","4","90006","0","22002","0","0","0","8","0","91002"
"1002105","150","200","0","2","2","2","90006","0","22003","0","0","0","8","0","91002"
"1002106","1","40","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1002107","1","40","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1002108","1","40","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1002109","1","40","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1002110","1","40","0","0","2","0","22003","0","0","0","0","0","2","0","90006"
"1003101","40","40","0","2","2","1","90006","0","22002","0","0","0","8","0","91002"
"1003102","50","60","0","2","2","2","90006","0","22002","0","0","0","8","0","91002"
"1003103","60","80","0","2","2","3","90006","0","22002","0","0","0","8","0","91002"
"1003104","80","100","0","2","2","4","90006","0","22002","0","0","0","8","0","91002"
"1003105","150","200","0","2","2","2","90006","0","22003","0","0","0","8","0","91002"
"1003106","1","40","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1003107","1","40","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1003108","1","40","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1003109","1","40","0","0","2","0","22002","0","0","0","0","0","2","0","90006"
"1003110","1","40","0","0","2","0","22003","0","0","0","0","0","2","0","90006"
"1004101","20","40","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004102","30","50","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004103","40","75","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004104","50","100","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004105","100","150","0","2","2","2","90006","0","31018","0","0","0","8","0","91002"
"1004106","20","20","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004107","30","25","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004108","40","30","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004109","50","40","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004110","100","80","0","2","2","1","90006","0","31018","0","0","0","8","0","91002"
"1004111","30","20","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004112","40","25","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004113","50","30","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004114","60","40","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1004115","100","80","0","2","2","1","90006","0","31018","0","0","0","8","0","91002"
"1004116","0","25000","0","0","0","0","0","0","0","0","0","0","12","0","94002"
"1005101","20","40","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1005102","30","50","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1005103","40","75","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
"1005104","50","100","0","2","2","0","90006","0","0","0","0","0","8","0","91002"
