5e8ca875342e8aeecc1d03d7f027421bb4e44df0971fb0fc326bed8179810e2c,6b734e6f3337bd36bb774a2f185d901b0324060248b0ce7aaddb108cf880d74f,bde81d79a4a6c29dc7326d9fab17e11ecee76f5ba705e3791c88c357e9d6b1d6,ac32a9a29dd47ec70bc0944db21e80b66977dfc9e8a93ab55b43be73e8e9fe86,1f444120f2cdccd5f568e446096d6fc319459a0a328c5029007015b6654253ce,dbac1245338d84826972ff85972f3a06307a2db6e6449bd5f1f167cbda9e78c6,42be14b9798159ac43c4338a837a438d54aeec2d520d7473f71c9998d44c92dc,2898deecb631339befe1e3aa31bdf5a3eecc913a3fcf7563170bec864e2c99e5,43df1d24d8f0da43fb00eec857ab6075a6ed957065a09eee813248fef57b7029
"21600","2","23001","","1","1","1","","2"
"19800","2","23001","","1","1","2","","3"
"18000","2","23001","","1","1","3","","3"
"16200","2","23001","","1","1","4","","3"
"14400","2","23001","","1","1","5","","4"
"12960","2","23001","","1","1","6","","4"
"11520","2","23001","","1","1","7","","5"
"10080","2","23001","","1","1","8","","6"
"8640","2","23001","","1","1","9","","7"
"7200","2","23001","","1","1","10","","8"
"5760","2","23001","","1","1","11","","10"
"5040","2","23001","","1","1","12","","12"
"4320","2","23001","","1","1","13","","14"
"7200","2","23001","","1","2","14","","16"
"5400","2","23001","","1","2","15","","18"
"5040","2","23001","","1","2","16","","18"
"4800","2","23001","","1","2","17","","18"
"4500","2","23001","","1","2","18","","20"
"4320","2","23001","","1","2","19","","20"
"6000","2","23001","","1","3","20","","24"
"5700","2","23001","","1","3","21","","48"
"5400","2","23001","","1","3","22","","48"
"5220","2","23001","","1","3","23","","51"
"4980","2","23001","","1","3","24","","54"
"4800","2","23001","","1","3","25","","54"
"4500","2","23001","","1","3","26","","60"
"4320","2","23001","","1","3","27","","60"
"4200","2","23001","","1","3","28","","63"
"5400","2","23001","","1","4","29","","64"
"5220","2","23001","","1","4","30","","68"
"5040","2","23001","","1","4","31","","72"
"4920","2","23001","","1","4","32","","72"
"4800","2","23001","","1","4","33","","72"
"21600","6","93001","","2","20","1","","80"
"21600","6","93001","","2","24","2","","96"
"21600","6","93001","","2","28","3","","112"
"21600","6","93001","","2","30","4","","120"
"21600","6","93001","","2","32","5","","128"
"21600","6","93001","","2","34","6","","136"
"21600","6","93001","","2","36","7","","144"
"21600","6","93001","","2","38","8","","152"
"21600","6","93001","","2","40","9","","160"
"21600","6","93001","","2","42","10","","168"
"21600","6","93001","","2","44","11","","176"
"21600","6","93001","","2","46","12","","184"
"21600","6","93001","","2","48","13","","192"
"21600","6","93001","","2","50","14","","200"
"21600","6","93001","","2","52","15","","208"
"21600","6","93001","","2","54","16","","216"
"21600","6","93001","","2","56","17","","224"
"21600","6","93001","","2","58","18","","232"
"21600","6","93001","","2","60","19","","240"
"21600","6","93001","","2","62","20","","248"
"21600","6","93001","","2","64","21","","256"
"21600","6","93001","","2","66","22","","264"
"21600","6","93001","","2","68","23","","272"
"21600","6","93001","","2","70","24","","280"
"21600","6","93001","","2","72","25","","288"
"21600","6","93001","","2","74","26","","296"
"21600","6","93001","","2","76","27","","304"
"21600","6","93001","","2","78","28","","312"
"21600","6","93001","","2","80","29","","320"
"21600","6","93001","","2","82","30","","328"
"21600","6","93001","","2","84","31","","336"
"21600","6","93001","","2","85","32","","340"
"21600","6","93001","","2","86","33","","344"
"14400","2","20001","","3","1","1","","3"
