f2caa2ee0256db3c786513cd2bf48d6eb53a4d9d9172c7877494edd09143796f,c9a6468661d33ed0ae7deb23c024fbe0dae14a32a07637614ca2a8e824fe69dd,bc0d898aba5c9ca5f4c7690165b70a9c7f24e3d38ea4f9501f22bfd5ba52b238,2b64b52e0d20301ac9d1464c713988a03670de3ad46dec2b1bc4d328111f423b,224bf8cd0b89410dbb4d0587935a4020408553ef7cf71113810fb0e8f679aed0,e31f17d3bc483931b2ff78d8ea2be6f381fec328f74fe2731a1a7ca0d3b53603,cc35984f97d5f3433106db6e0871540688684b95d4511a077deb2d01f2082ce5,843b299027fad0b328fd8dd956bf22f80b7ed6b98f39ab3dd33de88e7eba958f,f13beeda9f36f367730d6d42a5fcf7e26a5b28cc92f8907cbc5d956331269a76,43454df3cb8a35e3bb2460efd536cee47565d08500c419ea85eedbad126201bf,4846080e7cee02baaad412531aee5e40fa0cc18c7a231d6108a5eb07a4041ca9,35bba5adf4ddd4a30ea2ace41a6b2018102539101c1e0bae8929c90ddab8597a,01f1d5abb001eaf4b17f22b32126a83f8952d48163db38a53fa4bc5afa4a64ca,02adda40b5dbb906bac71401938606dcbea156e3519b4c26e951f47f5b04d6f5,732007e1a10ff33cdc291764176a955a0dfc0282b34d128e5f4199f95d6904fc
"81010001","ユイ、レイ、ヒヨリのシャドウを倒そう","2019/01/18 14:59:59","9001","0","2018/12/31 12:00:00","3","0","601","10010","0","6011","0","81010001","103"
"81010002","ボンノウを36個討滅しよう","2019/01/18 14:59:59","9014","0","2018/12/31 12:00:00","36","0","601","10010","0","6011","0","81010002","104"
"81010003","ボンノウを72個討滅しよう","2019/01/18 14:59:59","9014","0","2018/12/31 12:00:00","72","0","601","10010","0","6011","0","81010003","105"
"81010004","ボンノウを108個討滅しよう","2019/01/18 14:59:59","9014","0","2018/12/31 12:00:00","108","0","601","10010","0","6011","0","81010004","106"
"81010005","スペシャルバトルのボスのHPを1080000まで減らそう","2019/01/18 14:59:59","9013","0","2018/12/31 12:00:00","500000","0","601","10010","0","6011","0","81010005","111"
"81010006","スペシャルバトルのボスのHPを540000まで減らそう","2019/01/18 14:59:59","9013","0","2018/12/31 12:00:00","1040000","0","601","10010","0","6011","0","81010006","113"
"81010007","スペシャルバトルのボスを討滅しよう","2019/01/18 14:59:59","9013","0","2018/12/31 12:00:00","1580000","0","601","10010","0","6011","0","81010007","115"
"81011001","スペシャルバトルのボスのHPを5000000まで減らそう","2019/02/18 14:59:59","9013","0","2019/01/31 12:00:00","500000","0","601","10011","0","6011","0","81011001","103"
"81011002","スペシャルバトルのボスのHPを4000000まで減らそう","2019/02/18 14:59:59","9013","0","2019/01/31 12:00:00","1500000","0","601","10011","0","6011","0","81011002","104"
"81011003","スペシャルバトルのモード1をクリアしよう","2019/02/18 14:59:59","9013","0","2019/01/31 12:00:00","1650000","0","601","10011","0","6011","0","81011003","105"
