7361862ca9b9ff574769b773b967f4c09756f8f6fa543da7d5480b406b219047,a02f69d937fecc1f7a5af1140f0748b9dbf4a5eb151b3142a94ca961b21d2bef,a36693f8a5921e29bf3bb754186e879f026af105ffe849b353a5ad971f47cdf6,4457fb4c218ca39fb60f8ebee7fd95f5bcb36d54fa4076d066fe3c364e0eb5be,dc1e198c715541705d5aa75206ea2142174bf4da33af3853b853167b5b0cab0d,ed07c5340257e455703628a21f2232171a73fd36030e0de7a7986fc63eafb1a3
"10101001","1","58002001","15","1001","1"
"10101002","1","58002002","15","1002","2"
"10101003","1","58002003","15","1003","3"
"10201001","1","56011001","15","1001","4"
"10201002","1","56011002","15","1002","5"
"10201003","1","56011003","15","1003","6"
"91002","50","56011003","8","0","7"
"10201004","1","56011004","15","1001","8"
"10201005","1","56011005","15","1002","9"
"10201006","1","56011006","15","1003","10"
"91002","50","56011006","8","0","11"
"10201007","1","56011007","15","1001","12"
"10201008","1","56011008","15","1002","13"
"10201009","1","56011009","15","1003","14"
"91002","50","56011009","8","0","15"
"10201010","1","56011010","15","1001","16"
"10201011","1","56011011","15","1002","17"
"10201012","1","56011012","15","1003","18"
"91002","50","56011012","8","0","19"
"10201013","1","56011013","15","1001","20"
"10201014","1","56011014","15","1002","21"
"10201015","1","56011015","15","1003","22"
"91002","50","56011015","8","0","23"
"10201016","1","56011016","15","1001","24"
"10201017","1","56011017","15","1002","25"
"10201018","1","56011018","15","1003","26"
"91002","50","56011018","8","0","27"
"10201019","1","56011019","15","1001","28"
"10201020","1","56011020","15","1002","29"
"10201021","1","56011021","15","1003","30"
"91002","50","56011021","8","0","31"
"10201022","1","56011022","15","1001","32"
"10201023","1","56011023","15","1002","33"
"10201024","1","56011024","15","1003","34"
"91002","50","56011024","8","0","35"
"10201025","1","56011025","15","1001","36"
"10201026","1","56011026","15","1002","37"
"10201027","1","56011027","15","1003","38"
"91002","50","56011027","8","0","39"
"10201028","1","56011028","15","1001","40"
"10201029","1","56011029","15","1002","41"
"10201030","1","56011030","15","1003","42"
"91002","50","56011030","8","0","43"
"10201031","1","56011031","15","1001","44"
"10201032","1","56011032","15","1002","45"
"10201033","1","56011033","15","1003","46"
"91002","50","56011033","8","0","47"
"10201034","1","56011034","15","1001","48"
"10201035","1","56011035","15","1002","49"
"10201036","1","56011036","15","1003","50"
"91002","50","56011036","8","0","51"
"10201037","1","56011037","15","1001","52"
"10201038","1","56011038","15","1002","53"
"10201039","1","56011039","15","1003","54"
"91002","50","56011039","8","0","55"
"10201040","1","56011040","15","1001","56"
"10201041","1","56011041","15","1002","57"
"10201042","1","56011042","15","1003","58"
"91002","50","56011042","8","0","59"
"10201043","1","56011043","15","1001","60"
"10201044","1","56011044","15","1002","61"
"10201045","1","56011045","15","1003","62"
"91002","50","56011045","8","0","63"
"10201046","1","56011046","15","1001","64"
"10201047","1","56011047","15","1002","65"
"10201048","1","56011048","15","1003","66"
"91002","50","56011048","8","0","67"
"10201049","1","56011049","15","1001","68"
"10201050","1","56011050","15","1002","69"
"10201051","1","56011051","15","1003","70"
"91002","50","56011051","8","0","71"
"10201052","1","56011052","15","1001","72"
"10201053","1","56011053","15","1002","73"
"10201054","1","56011054","15","1003","74"
"91002","50","56011054","8","0","75"
"10201055","1","56011055","15","1001","76"
"10201056","1","56011056","15","1002","77"
"10201057","1","56011057","15","1003","78"
"91002","50","56011057","8","0","79"
"10201058","1","56011058","15","1001","80"
"10201059","1","56011059","15","1002","81"
"10201060","1","56011060","15","1003","82"
"91002","50","56011060","8","0","83"
"10201061","1","56011061","15","1001","84"
"10201062","1","56011062","15","1002","85"
"10201063","1","56011063","15","1003","86"
"91002","50","56011063","8","0","87"
"10201064","1","56011064","15","1001","88"
"10201065","1","56011065","15","1002","89"
"10201066","1","56011066","15","1003","90"
"91002","50","56011066","8","0","91"
"10201067","1","56011067","15","1001","92"
"10201068","1","56011068","15","1002","93"
"10201069","1","56011069","15","1003","94"
"91002","50","56011069","8","0","95"
"10201070","1","56011070","15","1001","96"
"10201071","1","56011071","15","1002","97"
"10201072","1","56011072","15","1003","98"
"91002","50","56011072","8","0","99"
"10201073","1","56011073","15","1001","100"
"10201074","1","56011074","15","1002","101"
"10201075","1","56011075","15","1003","102"
"91002","50","56011075","8","0","103"
"10201076","1","56011076","15","1001","104"
"10201077","1","56011077","15","1002","105"
"10201078","1","56011078","15","1003","106"
"91002","50","56011078","8","0","107"
"10201079","1","56011079","15","1001","108"
"10201080","1","56011080","15","1002","109"
"10201081","1","56011081","15","1003","110"
"91002","50","56011081","8","0","111"
"10201082","1","56011082","15","1001","112"
"10201083","1","56011083","15","1002","113"
"10201084","1","56011084","15","1003","114"
"91002","50","56011084","8","0","115"
"10201085","1","56011085","15","1001","116"
"10201086","1","56011086","15","1002","117"
"10201087","1","56011087","15","1003","118"
"91002","50","56011087","8","0","119"
"10201088","1","56011088","15","1001","120"
"10201089","1","56011089","15","1002","121"
"10201090","1","56011090","15","1003","122"
"91002","50","56011090","8","0","123"
"10201091","1","56011091","15","1001","124"
"10201092","1","56011092","15","1002","125"
"10201093","1","56011093","15","1003","126"
"91002","50","56011093","8","0","127"
"10201094","1","56011094","15","1001","128"
"10201095","1","56011095","15","1002","129"
"10201096","1","56011096","15","1003","130"
"91002","50","56011096","8","0","131"
"10201097","1","56011097","15","1001","132"
"10201098","1","56011098","15","1002","133"
"10201099","1","56011099","15","1003","134"
"91002","50","56011099","8","0","135"
"10201100","1","56011100","15","1001","136"
"10201101","1","56011101","15","1002","137"
"10201102","1","56011102","15","1003","138"
"91002","50","56011102","8","0","139"
"10201103","1","56011103","15","1001","140"
"10201104","1","56011104","15","1002","141"
"10201105","1","56011105","15","1003","142"
"91002","50","56011105","8","0","143"
"10201106","1","56011106","15","1001","144"
"10201107","1","56011107","15","1002","145"
"10201108","1","56011108","15","1003","146"
"91002","50","56011108","8","0","147"
"10201109","1","56011109","15","1001","148"
"10201110","1","56011110","15","1002","149"
"10201111","1","56011111","15","1003","150"
"91002","50","56011111","8","0","151"
"10201112","1","56011112","15","1001","152"
"10201113","1","56011113","15","1002","153"
"10201114","1","56011114","15","1003","154"
"91002","50","56011114","8","0","155"
"10201115","1","56011115","15","1001","156"
"10201116","1","56011116","15","1002","157"
"10201117","1","56011117","15","1003","158"
"91002","50","56011117","8","0","159"
"10201118","1","56011118","15","1001","160"
"10201119","1","56011119","15","1002","161"
"10201120","1","56011120","15","1003","162"
"91002","50","56011120","8","0","163"
"10201121","1","56011121","15","1001","164"
"10201122","1","56011122","15","1002","165"
"10201123","1","56011123","15","1003","166"
"91002","50","56011123","8","0","167"
"10201124","1","56011124","15","1001","168"
"10201125","1","56011125","15","1002","169"
"10201126","1","56011126","15","1003","170"
"91002","50","56011126","8","0","171"
"10201127","1","56011127","15","1001","172"
"10201128","1","56011128","15","1002","173"
"10201129","1","56011129","15","1003","174"
"91002","50","56011129","8","0","175"
"10201130","1","56011130","15","1001","176"
"10201131","1","56011131","15","1002","177"
"10201132","1","56011132","15","1003","178"
"91002","50","56011132","8","0","179"
"10201133","1","56011133","15","1001","180"
"10201134","1","56011134","15","1002","181"
"10201135","1","56011135","15","1003","182"
"91002","50","56011135","8","0","183"
"10201136","1","56011136","15","1001","184"
"10201137","1","56011137","15","1002","185"
"10201138","1","56011138","15","1003","186"
"91002","50","56011138","8","0","187"
"10201139","1","56011139","15","1001","188"
"10201140","1","56011140","15","1002","189"
"10201141","1","56011141","15","1003","190"
"91002","50","56011141","8","0","191"
"10201142","1","56011142","15","1001","192"
"10201143","1","56011143","15","1002","193"
"10201144","1","56011144","15","1003","194"
"91002","50","56011144","8","0","195"
"10201145","1","56011145","15","1001","196"
"10201146","1","56011146","15","1002","197"
"10201147","1","56011147","15","1003","198"
"91002","50","56011147","8","0","199"
"10201148","1","56011148","15","1001","200"
"10201149","1","56011149","15","1002","201"
"10201150","1","56011150","15","1003","202"
"91002","50","56011150","8","0","203"
"10201151","1","56011151","15","1001","204"
"10201152","1","56011152","15","1002","205"
"10201153","1","56011153","15","1003","206"
"91002","50","56011153","8","0","207"
"10201154","1","56011154","15","1001","208"
"10201155","1","56011155","15","1002","209"
"10201156","1","56011156","15","1003","210"
"91002","50","56011156","8","0","211"
"10201157","1","56011157","15","1001","212"
"10201158","1","56011158","15","1002","213"
"10201159","1","56011159","15","1003","214"
"91002","50","56011159","8","0","215"
"10201160","1","56011160","15","1001","216"
"10201161","1","56011161","15","1002","217"
"10201162","1","56011162","15","1003","218"
"91002","50","56011162","8","0","219"
"10201163","1","56011163","15","1001","220"
"10201164","1","56011164","15","1002","221"
"10201165","1","56011165","15","1003","222"
"91002","50","56011165","8","0","223"
"10201166","1","56011166","15","1001","224"
"10201167","1","56011167","15","1002","225"
"10201168","1","56011168","15","1003","226"
"91002","50","56011168","8","0","227"
"10201169","1","56011169","15","1001","228"
"10201170","1","56011170","15","1002","229"
"10201171","1","56011171","15","1003","230"
"91002","50","56011171","8","0","231"
"10201172","1","56011172","15","1001","232"
"10201173","1","56011173","15","1002","233"
"10201174","1","56011174","15","1003","234"
"91002","50","56011174","8","0","235"
"10201175","1","56011175","15","1001","236"
"10201176","1","56011176","15","1002","237"
"10201177","1","56011177","15","1003","238"
"91002","50","56011177","8","0","239"
"10201178","1","56011178","15","1001","240"
"10201179","1","56011179","15","1002","241"
"10201180","1","56011180","15","1003","242"
"91002","50","56011180","8","0","243"
"10201181","1","56011181","15","1001","244"
"10201182","1","56011182","15","1002","245"
"10201183","1","56011183","15","1003","246"
"91002","50","56011183","8","0","247"
"10201184","1","56011184","15","1001","248"
"10201185","1","56011185","15","1002","249"
"10201186","1","56011186","15","1003","250"
"91002","50","56011186","8","0","251"
"10201187","1","56011187","15","1001","252"
"10201188","1","56011188","15","1002","253"
"10201189","1","56011189","15","1003","254"
"91002","50","56011189","8","0","255"
"10201190","1","56011190","15","1001","256"
"10201191","1","56011191","15","1002","257"
"10201192","1","56011192","15","1003","258"
"91002","50","56011192","8","0","259"
"10201193","1","56011193","15","1001","260"
"10201194","1","56011194","15","1002","261"
"10201195","1","56011195","15","1003","262"
"91002","50","56011195","8","0","263"
"10201196","1","56011196","15","1001","264"
"10201197","1","56011197","15","1002","265"
"10201198","1","56011198","15","1003","266"
"91002","50","56011198","8","0","267"
"10201199","1","56011199","15","1001","268"
"10201200","1","56011200","15","1002","269"
"10201201","1","56011201","15","1003","270"
"91002","50","56011201","8","0","271"
"10201202","1","56011202","15","1001","272"
"10201203","1","56011203","15","1002","273"
"10201204","1","56011204","15","1003","274"
"91002","50","56011204","8","0","275"
"10201205","1","56011205","15","1001","276"
"10201206","1","56011206","15","1002","277"
"10201207","1","56011207","15","1003","278"
"91002","50","56011207","8","0","279"
"10201208","1","56011208","15","1001","280"
"10201209","1","56011209","15","1002","281"
"10201210","1","56011210","15","1003","282"
"91002","50","56011210","8","0","283"
"10201211","1","56011211","15","1001","284"
"10201212","1","56011212","15","1002","285"
"10201213","1","56011213","15","1003","286"
"91002","50","56011213","8","0","287"
"10201214","1","56011214","15","1001","288"
"10201215","1","56011215","15","1002","289"
"10201216","1","56011216","15","1003","290"
"91002","50","56011216","8","0","291"
"10201217","1","56011217","15","1001","292"
"10201218","1","56011218","15","1002","293"
"10201219","1","56011219","15","1003","294"
"91002","50","56011219","8","0","295"
"10201220","1","56011220","15","1001","296"
"10201221","1","56011221","15","1002","297"
"10201222","1","56011222","15","1003","298"
"91002","50","56011222","8","0","299"
"10201223","1","56011223","15","1001","300"
"10201224","1","56011224","15","1002","301"
"10201225","1","56011225","15","1003","302"
"91002","50","56011225","8","0","303"
"10201226","1","56011226","15","1001","304"
"10201227","1","56011227","15","1002","305"
"10201228","1","56011228","15","1003","306"
"91002","50","56011228","8","0","307"
"10201229","1","56011229","15","1001","308"
"10201230","1","56011230","15","1002","309"
"10201231","1","56011231","15","1003","310"
"91002","50","56011231","8","0","311"
"10201232","1","56011232","15","1001","312"
"10201233","1","56011233","15","1002","313"
"10201234","1","56011234","15","1003","314"
"91002","50","56011234","8","0","315"
"10202001","1","56012001","15","1003","316"
"10202002","1","56012002","15","1003","317"
"10202003","1","56012003","15","1003","318"
"10202004","1","56012004","15","1003","319"
"10202005","1","56012005","15","1003","320"
"10202006","1","56012006","15","1003","321"
"10202007","1","56012007","15","1003","322"
"10202008","1","56012008","15","1003","323"
"10202009","1","56012009","15","1003","324"
"10202010","1","56012010","15","1003","325"
"10202011","1","56012011","15","1003","326"
"10202012","1","56012012","15","1003","327"
"10202013","1","56012013","15","1003","328"
"10202014","1","56012014","15","1003","329"
"10202015","1","56012015","15","1003","330"
"10501001","1","54002001","15","1001","447"
"91002","50","54002001","8","0","448"
"10501002","1","54002002","15","1002","449"
"91002","50","54002002","8","0","450"
"10501003","1","54002003","15","1003","451"
"91002","50","54002003","8","0","452"
"10502001","1","54004001","15","1001","453"
"91002","50","54004001","8","0","454"
"10502002","1","54004002","15","1002","455"
"91002","50","54004002","8","0","456"
"10502003","1","54004003","15","1003","457"
"91002","50","54004003","8","0","458"
"10601001","1","55006001","15","1001","459"
"91002","10","55006001","8","0","460"
"10601002","1","55006002","15","1002","461"
"91002","30","55006002","8","0","462"
"10601003","1","55006003","15","1003","463"
"91002","50","55006003","8","0","464"
"10201235","1","56011235","15","1001","465"
"10201236","1","56011236","15","1002","466"
"10201237","1","56011237","15","1003","467"
"91002","50","56011237","8","0","468"
"10201238","1","56011238","15","1001","469"
"10201239","1","56011239","15","1002","470"
"10201240","1","56011240","15","1003","471"
"91002","50","56011240","8","0","472"
"10201241","1","56011241","15","1001","473"
"10201242","1","56011242","15","1002","474"
"10201243","1","56011243","15","1003","475"
"91002","50","56011243","8","0","476"
"10201244","1","56011244","15","1001","477"
"10201245","1","56011245","15","1002","478"
"10201246","1","56011246","15","1003","479"
"91002","50","56011246","8","0","480"
"10201247","1","56011247","15","1001","481"
"10201248","1","56011248","15","1002","482"
"10201249","1","56011249","15","1003","483"
"91002","50","56011249","8","0","484"
"10201250","1","56011250","15","1001","485"
"10201251","1","56011251","15","1002","486"
"10201252","1","56011252","15","1003","487"
"91002","50","56011252","8","0","488"
"10201253","1","56011253","15","1001","489"
"10201254","1","56011254","15","1002","490"
"10201255","1","56011255","15","1003","491"
"91002","50","56011255","8","0","492"
"10201256","1","56011256","15","1001","493"
"10201257","1","56011257","15","1002","494"
"10201258","1","56011258","15","1003","495"
"91002","50","56011258","8","0","496"
"10201259","1","56011259","15","1001","497"
"10201260","1","56011260","15","1002","498"
"10201261","1","56011261","15","1003","499"
"91002","50","56011261","8","0","500"
"10201262","1","56011262","15","1001","501"
"10201263","1","56011263","15","1002","502"
"10201264","1","56011264","15","1003","503"
"91002","50","56011264","8","0","504"
"10201265","1","56011265","15","1001","505"
"10201266","1","56011266","15","1002","506"
"10201267","1","56011267","15","1003","507"
"91002","50","56011267","8","0","508"
"10201268","1","56011268","15","1001","509"
"10201269","1","56011269","15","1002","510"
"10201270","1","56011270","15","1003","511"
"91002","50","56011270","8","0","512"
"10201271","1","56011271","15","1003","513"
"91002","100","56011271","8","0","514"
"10201272","1","56011272","15","1003","515"
"91002","100","56011272","8","0","516"
"10201273","1","56011273","15","1003","517"
"91002","100","56011273","8","0","518"
"10201274","1","56011274","15","1001","519"
"10201275","1","56011275","15","1002","520"
"10201276","1","56011276","15","1003","521"
"91002","50","56011276","8","0","522"
"10201277","1","56011277","15","1001","523"
"10201278","1","56011278","15","1002","524"
"10201279","1","56011279","15","1003","525"
"91002","50","56011279","8","0","526"
"10201280","1","56011280","15","1001","527"
"10201281","1","56011281","15","1002","528"
"10201282","1","56011282","15","1003","529"
"91002","50","56011282","8","0","530"
"10201283","1","56011283","15","1001","531"
"10201284","1","56011284","15","1002","532"
"10201285","1","56011285","15","1003","533"
"91002","50","56011285","8","0","534"
"10201286","1","56011286","15","1003","535"
"91002","100","56011286","8","0","536"
"11101001","1","56014001","15","1001","537"
"91002","10","56014001","8","0","538"
"11101002","1","56014002","15","1002","539"
"91002","20","56014002","8","0","540"
"11101003","1","56014003","15","1003","541"
"91002","50","56014003","8","0","542"
"11201001","1","56015001","15","1001","543"
"91002","50","56015001","8","0","544"
"11201002","1","56015002","15","1002","545"
"91002","50","56015002","8","0","546"
"11201003","1","56015003","15","1003","547"
"91002","50","56015003","8","0","548"
"10201287","1","56011287","15","1001","549"
"10201288","1","56011288","15","1002","550"
"10201289","1","56011289","15","1003","551"
"91002","50","56011289","8","0","552"
"10201290","1","56011290","15","1001","553"
"10201291","1","56011291","15","1002","554"
"10201292","1","56011292","15","1003","555"
"91002","50","56011292","8","0","556"
"10201293","1","56011293","15","1003","557"
"91002","100","56011293","8","0","558"
"10201294","1","56011294","15","1001","559"
"10201295","1","56011295","15","1002","560"
"10201296","1","56011296","15","1003","561"
"91002","50","56011296","8","0","562"
"10201297","1","56011297","15","1001","563"
"10201298","1","56011298","15","1002","564"
"10201299","1","56011299","15","1003","565"
"91002","50","56011299","8","0","566"
"10201300","1","56011300","15","1001","567"
"10201301","1","56011301","15","1002","568"
"10201302","1","56011302","15","1003","569"
"91002","50","56011302","8","0","570"
"10201303","1","56011303","15","1003","571"
"91002","100","56011303","8","0","572"
"10201304","1","56011304","15","1001","573"
"10201305","1","56011305","15","1002","574"
"10201306","1","56011306","15","1003","575"
"91002","50","56011306","8","0","576"
"10301015","1","58008015","15","1003","577"
"91002","50","58008015","8","0","578"
"10201307","1","56011307","15","1001","579"
"10201308","1","56011308","15","1002","580"
"10201309","1","56011309","15","1003","581"
"91002","50","56011309","8","0","582"
"10201310","1","56011310","15","1001","583"
"10201311","1","56011311","15","1002","584"
"10201312","1","56011312","15","1003","585"
"91002","50","56011312","8","0","586"
"10201313","1","56011313","15","1003","587"
"91002","100","56011313","8","0","588"
"10201314","1","56011314","15","1001","589"
"10201315","1","56011315","15","1002","590"
