542928f1c98fd58a02d04907e74177cc1a9ea58d454065dd991ba878a0159628,2453f4b41d0af9fd815570bb9cc8f6052e61c2b2d2988d90ade1bc0d0ea413e1,0fbee1784964649964ed58dd6451ffb40ba403aa277db0ef5a7c6d0b364c2178,9d998cffab3f25608cc5825995359bc9cfd01124c8d0a446e9faa997393c0b8a,ca0431dd0ddbb87a854c239540d124dbb85998ee4da996cb647e3e200329ab52,3fd29f1043e2ca6f0a19cdab8f011a6d99b917f589ffb8bfab45cccb28a326fd,00d91fdb3046594f5446ed10da7be3d48602e928f69f6ce8b1b8e035a495699e,fd4bddbc7a333243c8491b85ba4cd0483a33bb49e28d5756dad4c767d22fbcff
"ガーゴイル（EASY）をクリアしよう","70000","110001","111","0","90110001","110001","1"
"ガーゴイル（NORMAL）をクリアしよう","70000","110001","112","0","90110002","110002","1"
"ガーゴイル（HARD）をクリアしよう","70000","110001","113","0","90110003","110003","1"
"ガーゴイル（VERY HARD）をクリアしよう","70000","110001","114","0","90110004","110004","1"
"ガーゴイル（EXTREME）をクリアしよう","70000","110001","115","0","90110005","110005","1"
"マグスガーゴイル（EASY）をクリアしよう","70000","110001","121","0","90120001","120001","1"
"マグスガーゴイル（NORMAL）をクリアしよう","70000","110001","122","0","90120002","120002","1"
"マグスガーゴイル（HARD）をクリアしよう","70000","110001","123","0","90120003","120003","1"
"マグスガーゴイル（VERY HARD）をクリアしよう","70000","110001","124","0","90120004","120004","1"
"マグスガーゴイル（EXTREME）をクリアしよう","70000","110001","125","0","90120005","120005","1"
"ガードガーゴイル（EASY）をクリアしよう","70000","110001","131","0","90130001","130001","1"
"ガードガーゴイル（NORMAL）をクリアしよう","70000","110001","132","0","90130002","130002","1"
"ガードガーゴイル（HARD）をクリアしよう","70000","110001","133","0","90130003","130003","1"
"ガードガーゴイル（VERY HARD）をクリアしよう","70000","110001","134","0","90130004","130004","1"
"ガードガーゴイル（EXTREME）をクリアしよう","70000","110001","135","0","90130005","130005","1"
"ガーゴイル・バースト（EASY）をクリアしよう","70000","110001","141","0","90140001","140001","1"
"ガーゴイル・バースト（NORMAL）をクリアしよう","70000","110001","142","0","90140002","140002","1"
"ガーゴイル・バースト（HARD）をクリアしよう","70000","110001","143","0","90140003","140003","1"
"ガーゴイル・バースト（VERY HARD）をクリアしよう","70000","110001","144","0","90140004","140004","1"
"ガーゴイル・バースト（EXTREME）をクリアしよう","70000","110001","145","0","90140005","140005","1"
"ガーゴイル・マギ（EASY）をクリアしよう","70000","110001","151","0","90150001","150001","1"
"ガーゴイル・マギ（NORMAL）をクリアしよう","70000","110001","152","0","90150002","150002","1"
"ガーゴイル・マギ（HARD）をクリアしよう","70000","110001","153","0","90150003","150003","1"
"ガーゴイル・マギ（VERY HARD）をクリアしよう","70000","110001","154","0","90150004","150004","1"
"ガーゴイル・マギ（EXTREME）をクリアしよう","70000","110001","155","0","90150005","150005","1"
