deddce9cd8df0c791a0d0391c3eb76c7814e479638e21a49eae5e35928ee28c0,5a6439c8882391d6ac95ce5d7ade4ce5b496a1b0260a510a729512cbe270fd93,4514544abbab51716f0f812fedffd12587fc9c45a441b38a58d8aeeef0db9f6a,719ccd4292875e1adf3b6e4c4604d40cac05eed6f6a6608fc9f5d83669e695ca
"1061001","2","1061101","1061002"
"1061001","2","1061102","1061003"
"1061001","2","1061111","1061012"
"1061001","2","1061121","1061022"
"1067001","2","1067101","1067001"
"1068001","2","1068103","1068001"
"1068001","2","1068101","1068002"
"1068001","2","1068102","1068003"
"1068001","2","1068111","1068012"
"1069001","2","1069101","1069001"
"1144003","2","1144101","1144003"
"1144003","2","1144111","1144013"
"1158001","1","1158100","1158001"
"1158001","2","1158101","1158002"
"1158001","2","1158102","1158003"
"1158001","2","1158111","1158012"
"1158001","2","1158102","1158203"
"1164001","2","1164101","1164001"
"1182001","2","1182101","1182001"
"1185001","2","1185101","1185001"
"1186001","2","1186101","1186001"
"1208001","2","1208101","1208002"
"1208001","2","1208111","1208012"
"1220001","2","1220101","1220001"
"1223001","2","1223101","1223002"
"1223001","2","1223102","1223003"
"1223001","1","1223110","1223011"
"1223001","2","1223111","1223012"
"1227001","2","1227101","1227001"
"1230001","2","1230101","1230001"
"1250001","2","1250101","1250002"
"1250001","2","1250102","1250003"
"1250001","2","1250111","1250012"
"1258001","2","1258101","1258001"
"1260001","2","1260101","1260001"
"1261001","2","1261101","1261001"
"1262001","2","1262101","1262001"
"1264001","2","1264103","1264001"
"1264001","2","1264101","1264002"
"1264001","2","1264102","1264003"
"1265001","2","1265101","1265001"
"1290001","2","1290101","1290001"
"1293001","2","1293101","1293001"
"1294001","2","1294101","1294001"
"1295001","2","1295101","1295001"
"1296001","2","1296101","1296001"
"1297001","2","1297101","1297001"
"1300001","2","1300101","1300001"
"1301001","2","1301101","1301001"
"1312001","2","1312101","1312001"
"1318001","2","1318101","1318001"
"1320001","2","1320101","1320001"
"1321001","1","1321100","1321001"
"1321001","2","1321101","1321002"
"1321001","2","1321102","1321003"
"1321001","2","1321111","1321012"
"1324003","2","1324101","1324003"
"1329001","2","1329101","1329001"
"1331001","2","1331101","1331001"
"1338003","2","1338101","1338001"
"1338003","2","1338102","1338003"
"1345001","2","1345101","1345001"
"1349001","2","1349101","1349001"
"1350001","2","1350101","1350001"
"1350001","2","1350102","1350002"
"1351001","2","1351101","1351001"
"1352001","2","1352101","1352001"
"1356001","2","1356101","1356001"
"1359001","2","1359101","1359001"
"1360001","2","1360101","1360001"
"1361001","2","1361101","1361001"
"1364002","2","1364101","1364001"
"1365001","2","1365101","1365001"
"1374002","2","1374101","1374002"
"1374003","2","1374102","1374003"
"1381002","2","1381101","1381001"
"1381003","2","1381102","1381002"
"1383001","2","1383101","1383001"
"1812001","2","1812101","1812001"
"4319012","2","4319101","4319012"
