1433ab553678a826b62bed5eaaafdc6a2f6142aea94535dabe340ff3e8cf9879,9535504301f1947a27fc00443718d370d1302f85207c0e106b4123205c76ac70,688b33e25ebc645097d81fc68c218a12fd235231d7bd7ad88bf95ed456569df7,e9d26d9e814d91adc58539ba33675421d6262583f1c0867b680a23804a80fa15,a9f66ad59ff7e7c9f5aa237af75a0506a023806e9759d53be42581047b9813f1
"1","0","0","0","0"
"2","0","0","0","0"
"3","0","0","0","0"
"4","0","0","2","0"
"5","0","0","2","0"
"6","0","0","2","0"
"7","0","0","3","0"
"8","0","0","3","0"
"9","0","0","3","0"
"10","0","0","4","0"
"11","0","0","4","0"
"12","0","0","4","0"
"13","0","0","0","0"
"14","0","0","0","0"
"15","0","0","0","0"
"16","2","0","0","0"
"17","2","0","0","0"
"18","2","0","0","0"
"19","3","0","0","0"
"20","3","0","0","0"
"21","3","0","0","0"
"22","0","0","3","0"
"23","0","0","3","0"
"24","0","0","2","0"
"25","0","0","2","0"
"26","2","0","0","0"
"27","2","0","0","0"
"28","0","0","2","3"
"29","0","0","2","3"
"30","2","0","3","0"
"31","2","0","3","0"
"32","3","0","3","0"
"33","3","0","0","0"
"34","0","0","3","4"
"35","0","0","0","0"
"36","2","0","2","0"
"37","2","0","2","0"
"38","3","0","4","0"
