23d1d54aca2ce39951553fff0814e0a4e7201480a2fa9b7e37262f597825bd73,daea1df3c28fc094a03710d9c9c68f6e6e9404b5ebdc104f31bce9c0565fcda6,c3b0f5a3eac70c2aa50afc2087e14eeda5f4e5b026e8da5c38cf11aadcf2340d,4bee2296e506256ea4327dca5fbd0e9d941347cbcb0aa90a5ca01cc91708b790,13b408160de0e391c3062de584f72b9dd85063b77f6472704b829eb93444bb89,01253ec4899ec4db336ce2a96644ce32fdb24a95020d8cf12ec31cb5080d2e7c,7524a9ccd10d6066668d3acdd6163c2f113faace4d6c980e8a2fa8efa3b040fb,22233878723ece677c6a0a98491bf87a7730f1d61a82e97d341e481800a40101,5597834700609110a07d18f8ec135390f72391ca9474231eb80f259951a24ca1,569ef0f00899d38934ca18d5b74d54186fae76a9d7cbe217228fe1ba7c431d20,b241ff05e0e36e7653b5e7e079a320eae617d6e824294575b8331ffeea73edc6,38f4a56554881efca48cd09dad77d4cf46aa86c18fc531df54fc7023d8371bd6,7ddfe6b1d6a26f5a2241db2799a57aa8addc34745d8f0185166a38938944e551
"","","1","","","","3100101","","31001_01","","","29",""
"","","30","","","","3100101","","31001_03","","","59",""
"","","60","","","","3100101","","31001_05","","","-1",""
"","","1","","","31001_01","3100102","","31001_01","","","29",""
"","","30","","","31001_03","3100102","","31001_03","","","59",""
"","","60","","","31001_05","3100102","","31001_05","","","-1",""
"","","1","","","31001_01","3100103","31001_01","31001_01","","","29",""
"","","30","","","31001_03","3100103","31001_03","31001_03","","","59",""
"","","60","","","31001_05","3100103","31001_05","31001_05","","","-1",""
"","","1","","","31001_01","3100104","31001_01","31001_01","","31001_01","29",""
"","","30","","","31001_03","3100104","31001_03","31001_03","","31001_03","59",""
"","","60","","","31001_05","3100104","31001_05","31001_05","","31001_05","-1",""
"","","1","","","61003_02","3100201","","61003_01","","","29",""
"","","30","","","61003_04","3100201","","61003_03","","","49",""
"","","50","","","61003_06","3100201","","61003_05","","","79",""
"","","80","","","61003_08","3100201","","61003_07","","","99",""
"","","100","","","61003_10","3100201","","61003_09","","","109",""
"","","110","","","61003_12","3100201","","61003_11","","","119",""
"","","120","","","61003_14","3100201","","61003_13","","","129",""
"","","130","","","61003_16","3100201","","61003_15","","","139",""
"","","140","","","61003_18","3100201","","61003_17","","","149",""
"","","150","","","61003_20","3100201","","61003_19","","","159",""
"","","160","","","61003_22","3100201","","61003_21","","","169",""
"","","170","","","61003_24","3100201","","61003_23","","","179",""
"","","180","","","61003_26","3100201","","61003_25","","","189",""
"","","190","","","61003_28","3100201","","61003_27","","","199",""
"","","200","","","61003_30","3100201","","61003_29","","","209",""
"","","210","","","61003_32","3100201","","61003_31","","","219",""
"","","220","","","61003_34","3100201","","61003_33","","","229",""
"","","230","","","61003_36","3100201","","61003_35","","","239",""
"","","240","","","61003_38","3100201","","61003_37","","","249",""
"","","250","","","61003_40","3100201","","61003_39","","","259",""
"","","260","","","61003_42","3100201","","61003_41","","","269",""
"","","270","","","61003_44","3100201","","61003_43","","","279",""
"","","280","","","61003_46","3100201","","61003_45","","","289",""
"","","290","","","61003_48","3100201","","61003_47","","","299",""
"","","300","","","61003_50","3100201","","61003_49","","","309",""
"","","310","","","61003_52","3100201","","61003_51","","","319",""
"","","320","","","61003_54","3100201","","61003_53","","","329",""
"","","330","","","61003_56","3100201","","61003_55","","","339",""
"","","340","","","61003_58","3100201","","61003_57","","","-1",""
