1abf51929352844a3687da2945f3e98ec98fce3d5ad5c59561ce34f8b56a9a9c,9eb96929e1450a2c531aacdba768840344330c48f98e4b2432140ba18e52fc8d,210b402981817afdffbca90f188185cd65ebf460eb432611cca345f40f2ed0bd,26a47d71d87eb5a84ab6170557139aee183064ac7a17277de990a9fa2fec676f,36934989163b8cdb415e495d84dfa6ec0c2a43deb74a58efd0cc1655a0ec0968,de25bce0ea2bd6b7df86b8fd6edd5aa8429ccd95883c42648c3126ac63e643de,9428e94189f65c2cc48b7a29b5229d516b2b0449ae9365f161f9bbe136efe4b5,914437206bf3ee8ffb288dd97f59f9e72ad4c1e23672d33421be3309321502af,92aa63d95f98f3ef2cf66ef2b20bb4e952257b486ba880511f49d985998c0553,03eab214d368abc80d2566ae38b78b7825f4180745251a4eacbccd86d279ac6e,2c4214b277542e375d120ad37d7d9fac361e8220c64c530b37266073c7539115
"8","1","25021","284001001","25014","31","91002","10","2","8","2"
"8","2","25021","284001002","25014","31","91002","10","2","8","2"
"8","3","25021","284001003","25014","32","91002","10","2","8","2"
"8","4","25021","284001004","25014","32","91002","10","2","8","2"
"8","5","25021","284001005","25014","33","91002","10","2","8","2"
"9","6","25021","284001006","25014","33","91002","10","2","8","2"
"9","7","25021","284001007","25014","34","91002","10","2","8","2"
"9","8","25021","284001008","25014","35","91002","10","2","8","2"
"9","9","25021","284001009","25014","35","91002","10","2","8","2"
"10","10","25021","284001010","25014","37","91002","30","2","8","2"
"10","11","25021","284001011","25014","41","91002","10","2","8","2"
"11","12","25021","284001012","25014","43","91002","10","2","8","2"
"11","13","25021","284001013","25014","46","91002","10","2","8","2"
"12","14","25021","284001014","25014","48","91002","10","2","8","2"
"12","15","25021","284001015","25014","50","91002","10","2","8","2"
"13","16","25021","284001016","25014","53","91002","10","2","8","2"
"14","17","25021","284001017","25014","55","91002","10","2","8","2"
"14","18","25021","284001018","25014","58","91002","10","2","8","2"
"15","19","25021","284001019","25014","60","91002","10","2","8","2"
