b0a6c8a9b03ba39a888476a8a4c49834f504ccdda66045fac3fbbf8d0c4bac6d,cceb3cb755462d88b42466dbd8edf49fd946573c3b28b8d37bf8aafbc27548a0,b09c6a23e82ba17d3fa94f4aa1852172e057151674e88ce01a7d34a0db067fbf,435cc0899a5fb278215b6f96d6ae923542cc574b64e99e7d28ba2669f4501a72,625d067f519a458b3ba703c114759563b086abae227133cd3fd6a6516eee7fef,0ecd905ec310ad21eb6ce6b516c9cb261d5de0cf5e1804a701f051db104284e4,583b3010de9d67b72c64fee11113307f60adec12e283635be24b12d60c167cec,46fdf0b6d4b5cd73336d16472d492e4e617ceb07c44a24571aecf9e3edd09f5a,bcd46eb1a777f24a1a38379f4fd5caef5dfe206d4a9ce9a2d37ca69f11f24bc1,76ec5eb1fe1b4c9cff89c9ccaa7c1e82fe06e3986d981b3c14482675cae07732,47d9637ae31811aff53fa0c8b8b9edba973c54fdc9e3bbb5a3ed0b7967d024db,132c9256ba939942dda8d1c5988b8f2cffe48298fcdfb7cb7a9c11e835a0ff74,66800da09d2bd645a0999b9e46429027034fab83bf4605717d4ed643369c16a3,91eb8212a694053e135b0fb7319e65ed3068da5aa3737c71d0a8535a36a816b6,f058bc1c42a2996e215d5bafc10b3e2a909e362b6d6d3635156c1b1bf03979f1,d56e165efa503437ce4802188e64a8ca8a1eddf0e4a03c4fcefac45d411901c0,fb50600d4177ec8c8703f956cf2e21b0046197b48f203167a6ee2f86bb8d25c1,3846589b58e84d1eee784c23f6e3a17203db7035eca0a19afd899113f9d7f7e6,fb750c0897b29c01e320f84bcc6d6385e0c7884e0b3ab0c7a50d25afef733b68
"5.5","0","0","0","12","610132007","","10132","610132501","-60","289","1","1","5","3","0","3","1","0"
"1.5","0","0","0","0","610132008","","10132","610132502","-60","289","1","2","5","0","0","1","1","70"
"1.5","0","0","0","0","610132009","","10132","0","-60","289","1","3","5","0","0","1","1","0"
"5.5","0","0","0","0","610134007","","10134","0","-50","292","1.85","1","5","3","0","1","1","55"
"1.5","0","0","0","30","610134008","","10134","610134502","-50","292","1.85","2","5","0","0","3","1","0"
"1.5","0","0","0","0","610134009","","10134","0","-50","292","1.85","3","5","0","0","1","1","0"
"5.5","0","600","0","0","610136007","","10136","610136501","0","295","1.1","1","5","3","0","2","1","0"
"1.5","0","0","0","0","610136008","","10136","0","-50","295","1.5","2","5","0","0","1","1","84"
"1.5","0","0","0","0","610136009","","10136","0","-50","295","1.5","3","5","0","0","1","1","0"
"5.5","0","0","0","0","610137007","","10137","0","0","295","0.85","1","5","0","0","1","1","75"
"1.5","0","0","0","0","610137008","","10137","0","0","295","0.85","2","5","0","0","1","1","50"
"1.5","0","0","0","0","610137009","","10137","0","0","295","0.85","3","5","0","0","1","1","0"
"5.5","0","0","0","0","610140007","","10140","0","0","298","1.4","1","5","3","0","1","1","77"
"1.5","0","0","0","0","610140008","","10140","0","0","298","1.4","2","5","0","0","1","1","52"
"1.5","0","0","0","0","610140009","","10140","0","0","298","1.4","3","5","0","0","1","1","0"
"5.5","0","0","0","0","610142007","","10142","0","-33","301","1.45","1","5","3","0","1","1","76"
"1.5","0","600","0","0","610142008","","10142","610142502","-40","301","1.23","2","5","3","0","2","1","0"
"1.5","0","0","0","0","610142009","","10142","0","-33","301","1.45","3","5","0","0","1","1","0"
"5.5","0","0","0","0","610144007","","10144","0","-33","304","1","1","5","3","0","1","1","65"
"1.5","0","600","0","0","610144008","","10144","610144502","-40","304","0.85","2","5","3","0","2","1","0"
"1.5","0","0","0","0","610144009","","10144","0","-33","304","1","3","5","0","0","1","1","0"
"5.5","0","600","0","0","610146007","","10146","610146501","-45","307","0.87","1","5","3","0","2","1","0"
"1.5","0","0","0","0","610146008","","10146","0","-45","307","1.18","2","5","0","0","1","1","58"
"1.5","0","0","0","0","610146009","","10146","0","-45","307","1.18","3","5","0","0","1","1","0"
"5.5","0","600","0","0","610148007","","10148","610148501","-50","310","1.4","1","5","3","0","2","1","0"
"1.5","0","0","0","0","610148008","","10148","0","-50","310","1.7","2","5","0","0","1","1","68"
"1.5","0","0","0","0","610148009","","10148","0","-50","310","1.7","3","5","0","0","1","1","0"
"5.5","0","0","0","0","610150007","","10150","0","-33","313","1.35","1","5","3","0","1","1","71"
"1.5","0","0","0","0","610150008","","10150","0","-33","313","1.35","2","5","3","0","1","1","50"
"1.5","0","0","0","0","610150009","","10150","0","-33","313","1.35","3","5","0","0","1","1","0"
"5.5","0","600","0","0","610152007","","10152","610152501","20","316","0.7","1","5","4.8","0","2","1","0"
"1.5","0","0","0","0","610152008","","10152","0","30","316","0.96","2","5","0","0","1","1","81"
"1.5","0","0","0","0","610152009","","10152","0","30","316","0.96","3","5","0","0","1","1","0"
"5.5","0","0","0","0","610154007","","10154","0","-33","319","1.25","1","5","3","0","1","1","68"
"1.5","0","600","0","0","610154008","","10154","610154502","-10","319","1","2","5","3","0","2","1","0"
"1.5","0","0","0","0","610154009","","10154","0","-33","319","1.25","3","5","0","0","1","1","0"
"5.5","0","600","0","0","610156007","","10156","610156501","5","322","0.85","1","5","3","0","2","1","0"
"1.5","0","600","0","0","610156008","","10156","0","-10","322","1.11","2","5","3","0","1","1","75"
"1.5","0","0","0","0","610156009","","10156","0","-10","322","1.11","3","5","0","0","1","1","0"
"5.5","0","600","0","0","610158007","","10158","610158501","-40","325","1.5","1","5","3","0","2","1","0"
"1.5","0","0","0","0","610158008","","10158","0","-33","325","1.75","2","5","0","0","1","1","65"
"1.5","0","0","0","0","610158009","","10158","0","-33","325","1.75","3","5","0","0","1","1","0"
"5.5","0","600","0","20","610160007","","10160","610160501","-35","328","1.4","1","5","4.8","0","3","1","0"
"1.5","0","0","0","0","610160008","","10160","0","-35","328","1.4","2","5","0","0","1","1","70"
"1.5","0","0","0","0","610160009","","10160","0","-35","328","1.4","3","5","0","0","1","1","0"
