aa1289830fec59c653e9d1580f8f408a1674c96106d6e39543886f528caaaa6c,7b8d58861def6025c4ec9523c62ee184751e6f887251d1864056284241252ff5,ea371e239baf4d6533b0a1c60997740b6c395edc8e15d37d713ca940f7fab3b2,c472dbffd9d66bb0afeb626221f0a7410199d09f370bc563bcfc2252a6d52204,28cbb1d1e555d034780232b67d543dcc6926d2e94efe50ab659d3e18b747e36f,3af30bc1ae1065cb3989b658e403fca8daee06ccf4c38ac4fdb461c5b4feb099,1eb9f7a1806bc26a39b935946206fcad6377b9686a7133ddace868b20e8e6fdc,ac9104734c6b2436ae2239842a8555ac5079ac6c10a3041052cbef95dd03e5fb,f9237b0b84bfa4d96ab3d9ff0fb51b5e3193846a2aedc520044944cf7a67aae5,ef13f38cb6d71e57136118e17108c7f7a5dbf1e8a2dfb6c94f3266ec2fc6a459,3ee3f3871dcd35db295743b5e8c893d69bd22bde8e2b4e930a029096770f968a,c557afc951db9a738cd7bb1c1e5d134257d7f2d1ec3ee0000765b9a9f477c085,ca98d68bdedcb3741a73613223e314b1b9c9f4fd4bcc9c1eb5959e7c164aaa13,3ecb0595f430f3ce2f36ee5dd780780aa415d34e60d1d4a2c73325b5f0fb47c1
"1","10084","0","0","0","0","5084602","5084004","0","0","0","0","前半_ヒヨリ","0"
"2","10084","0","0","0","0","5084603","5084004","0","0","0","0","前半_ユイ","0"
"3","10084","0","0","0","0","5084604","5084004","0","0","0","0","前半_レイ","0"
"4","10084","0","0","0","0","5084605","5084004","0","0","0","0","前半_ミソギ","0"
"5","10084","0","0","0","0","5084606","5084004","0","0","0","0","前半_マツリ","0"
"6","10084","0","0","0","0","5084607","5084004","0","0","0","0","前半_アカリ","0"
"7","10084","0","0","0","0","5084608","5084004","0","0","0","0","前半_ミヤコ","0"
"8","10084","0","0","0","0","5084609","5084004","0","0","0","0","前半_ユキ","0"
"9","10084","0","0","0","0","5084610","5084004","0","0","0","0","前半_アンナ","0"
"10","10084","0","0","0","0","5084611","5084004","0","0","0","0","前半_マホ","0"
"11","10084","0","0","0","0","5084612","5084004","0","0","0","0","前半_リノ","0"
"12","10084","0","0","0","0","5084613","5084004","0","0","0","0","前半_ハツネ","0"
"13","10084","0","0","0","0","5084614","5084004","0","0","0","0","前半_ナナカ","0"
"14","10084","0","0","0","0","5084615","5084004","0","0","0","0","前半_カスミ","0"
"15","10084","0","0","0","0","5084616","5084004","0","0","0","0","前半_ミサト","0"
"16","10084","0","0","0","0","5084617","5084004","0","0","0","0","前半_スズナ","0"
"17","10084","0","0","0","0","5084618","5084004","0","0","0","0","前半_カオリ","0"
"18","10084","0","0","0","0","5084619","5084004","0","0","0","0","前半_イオ","0"
"19","10084","0","0","0","0","5084620","5084004","0","0","0","0","前半_ミミ","0"
"20","10084","0","0","0","0","5084621","5084004","0","0","0","0","前半_クルミ","0"
"21","10084","0","0","0","0","5084622","5084004","0","0","0","0","前半_ヨリ","0"
"22","10084","0","0","0","0","5084623","5084004","0","0","0","0","前半_アヤネ","0"
"23","10084","0","0","0","0","5084624","5084004","0","0","0","0","前半_スズメ","0"
"24","10084","0","0","0","0","5084625","5084004","0","0","0","0","前半_リン","0"
"25","10084","0","0","0","0","5084626","5084004","0","0","0","0","前半_エリコ","0"
"26","10084","0","0","0","0","5084627","5084004","0","0","0","0","前半_サレン","0"
"27","10084","0","0","0","0","5084628","5084004","0","0","0","0","前半_ノゾミ","0"
"28","10084","0","0","0","0","5084629","5084004","0","0","0","0","前半_ニノン","0"
"29","10084","0","0","0","0","5084630","5084004","0","0","0","0","前半_シノブ","0"
"30","10084","0","0","0","0","5084631","5084004","0","0","0","0","前半_アキノ","0"
"31","10084","0","0","0","0","5084632","5084004","0","0","0","0","前半_マヒル","0"
"32","10084","0","0","0","0","5084633","5084004","0","0","0","0","前半_ユカリ","0"
"33","10084","0","0","0","0","5084634","5084004","0","0","0","0","前半_キョウカ","0"
"34","10084","0","0","0","0","5084635","5084004","0","0","0","0","前半_トモ","0"
"35","10084","0","0","0","0","5084636","5084004","0","0","0","0","前半_シオリ","0"
"36","10084","0","0","0","0","5084637","5084004","0","0","0","0","前半_アオイ","0"
"37","10084","0","0","0","0","5084638","5084004","0","0","0","0","前半_チカ","0"
"38","10084","0","0","0","0","5084639","5084004","0","0","0","0","前半_マコト","0"
"39","10084","0","0","0","0","5084640","5084004","0","0","0","0","前半_イリヤ","0"
"40","10084","0","0","0","0","5084641","5084004","0","0","0","0","前半_クウカ","0"
"41","10084","0","0","0","0","5084642","5084004","0","0","0","0","前半_タマキ","0"
"42","10084","0","0","0","0","5084643","5084004","0","0","0","0","前半_ジュン","0"
"43","10084","0","0","0","0","5084644","5084004","0","0","0","0","前半_ミフユ","0"
"44","10084","0","0","0","0","5084645","5084004","0","0","0","0","前半_シズル","0"
