b19ffd1e20bec37cbe7a50b21af3c30889bf42a4f169a0b4b6ee6076e486113e,c3c741114fbb4b47ed3ad242d03f771f91c69e31e18f7cf206a45c06370267ec,3a99c20f682f9d6f063b8c179497b8143c67c35af63fffb1f357cc43a3d6863e,1af1114e15884997dd6f039ee9856aefec267a55739eb2dbc8c6eb87f122afd9,87a277a8f657bdc8670bf65c4d27b0245576c2f8bd35cf8d34ddcd571f9025d3,5824357ff159373580308a05eaccff2516ee4c4cc1a7bcd4d27c8f2c53069260,45ffe6b3def321c880f4589427b4227136c4ede6054d3d6f8ccdcd103b58e7c6,2727aa5dc4ca99c8b65e883bf355053a924431f103aed985f69caafad2c5edd8,294e22a43d5a1cf333c30428430e5d35a1c726b2adfd158d30ac0f38051eec47,34cac1963c35b9eb17da2a2953eabf5884ef8d7c247c4a62da98cc635c686256,7463d418a1e5f05609014d197526ea29130be3fcbe9091726e36bb7695a6a2cb,70f1fd42a1b4e3f25eb14c700526b573f471d87393ed5a28900bc9fe00f3e407,3500f3641f9ac8f9a6a105dce41a1c34cd375dedb9bb88a5a62769a82d64f72d,b17354d55ebbbfb37c030e7dde6fa1ba59b5bda33d3c9769fb1bf5ecc1ce9806,12eb8bd51fb3d97597afd17c57430ec8eaae630842d1aac5e4ffcf4606e03bf3,606f0f06506700a45389adc096e2dea1638064c071a529e69b17ee4b85b178a7,0a2329eb2361bab4ef14b8feb9e46dd10367964a3f1d32cb934cd70e29c63f34,9230bedbf87f3e413967757491dc297b0f2e8e3cf6371a7e309a631f028e5886,679c64e74e5aad16e06fc3d1eba083b71ad075f368e4e5d0cec169b7508036e2,ae6e5380e73eaeaff5ae3a6f68656a91fed194fce38394ccf8b3e93828e80e21,b55b6a408efcbd04e14117c5ba8aa9710cd0d0394386914568b43de579fb8911
"SummerEnemyA","NONE","NONE","AccelBoardA","NONE","0","3100","SummerEnemyC","NONE","0","2500","1000","0","0","1000","BeachJumpOverTrap","1800","NONE","600","0","SpeedTerritoryA"
"SummerEnemyB","NONE","NONE","AccelBoardA","NONE","0","3000","SpeedTerritoryA","NONE","0","2000","1001","0","0","800","AccelBoardA","1300","NONE","500","0","WaterMelon"
"Balloon","NONE","NONE","SummerEnemyA_NoColl","NONE","0","2000","SpeedTerritoryA_NoColl","NONE","0","1600","1002","0","0","1000","BeachTrap_NoCall","1300","NONE","400","0","EnemyB_NoColl"
"BeachJumpOverTrap","NONE","NONE","AccelBoardA","NONE","0","3300","EnemyB","NONE","0","3000","1003","0","0","1500","AccelBoardA","2300","NONE","700","0","BeachJumpOverTrap"
"BeachJumpOverTrap","NONE","NONE","SummerEnemyA","NONE","0","0","BeachJumpOverTrap","NONE","0","2700","1004","0","0","1300","NONE","1900","NONE","800","0","SpeedTerritoryA"
"BeachJumpBoard","NONE","NONE","SummerJumpOverEnemyC","NONE","0","3300","SpeedTerritoryA","NONE","0","2600","1005","0","0","1500","SummerEnemyB","2000","NONE","300","0","AccelBoardA"
"SummerEnemyA","NONE","NONE","BeachTrap","NONE","0","3000","BeachTrap","NONE","0","2500","1006","0","0","1300","AccelBoardA","1800","BeachTrap","700","3700","BeachJumpOverTrap"
"AccelBoardA","NONE","NONE","SummerEnemyB","NONE","0","3100","BeachJumpOverTrap","NONE","0","2400","1007","0","0","1300","BeachJumpOverTrap","1800","NONE","500","0","SummerEnemyB"
"AccelBoardA","NONE","NONE","BeachJumpBoard","NONE","0","3400","SummerEnemyB","NONE","0","2700","1008","0","0","1100","BeachJumpOverTrap","2300","SummerEnemyB","500","3700","AccelBoardA"
"Balloon","NONE","NONE","BeachTrap_NoCall","NONE","0","3300","SummerEnemyA_NoColl","NONE","0","2900","1009","0","0","1000","BeachJumpOverTrap","2000","SpeedTerritoryA","400","3700","BeachJumpOverTrap"
"BeachJumpOverTrap","NONE","NONE","SpeedTerritoryA","NONE","0","3500","BeachJumpOverTrap","NONE","0","3000","1010","0","0","1400","BeachJumpOverTrap","2200","NONE","400","0","EnemyB"
"SummerEnemyD","NONE","NONE","SpeedTerritoryA","NONE","0","2800","BeachJumpBoard","NONE","0","2400","1011","0","0","900","SummerEnemyA","1500","AccelBoardA","400","3300","BeachJumpOverTrap"
"Balloon","NONE","NONE","SpeedTerritoryA_NoColl","NONE","0","3750","SpeedTerritoryA_NoColl","NONE","0","2850","1012","0","0","1200","EnemyB","2200","NONE","300","0","BeachJumpBoard"
"SpeedTerritoryA","NONE","NONE","AccelBoardA","NONE","0","3300","BeachTrap","NONE","0","2600","1013","0","0","1400","BeachTrap","2100","NONE","900","0","SummerEnemyD"
"WaterMelon","SummerJumpOverEnemyB","NONE","SpeedTerritoryA","NONE","0","2600","BeachTrap","NONE","0","2200","1014","3500","0","1400","BeachJumpOverTrap","1800","AccelBoardA","400","3000","SummerJumpOverEnemyB"
"Balloon","NONE","NONE","SummerEnemyA_NoColl","NONE","0","3700","SpeedTerritoryA_NoColl","NONE","0","2500","1015","0","0","1100","SummerEnemyB","1900","NONE","600","0","BeachTrap_NoCall"
"AccelBoardA","NONE","NONE","EnemyB","NONE","0","0","AccelBoardA","NONE","0","3300","1016","0","0","1400","NONE","2300","NONE","600","0","BeachTrap"
"AccelBoardA","NONE","NONE","EnemyB","NONE","0","3300","WaterMelon","NONE","0","2500","1017","0","0","1200","BeachTrap","1600","NONE","400","0","AccelBoardA"
"BeachTrap","NONE","NONE","BeachTrap","NONE","0","2400","Balloon","NONE","0","1900","1018","0","0","900","SummerEnemyA_NoColl","1100","EnemyB_NoColl","600","2900","EnemyB_NoColl"
"BeachTrap","NONE","NONE","BeachTrap","NONE","0","3000","BeachTrap","NONE","0","2500","1019","0","0","1200","AccelBoardA","2000","BeachTrap","500","3800","SummerEnemyA"
"AccelBoardA","SummerEnemyD","NONE","BeachJumpBoard","NONE","0","2700","BeachTrap","NONE","0","2300","1020","3700","0","900","BeachTrap","1900","SummerEnemyD","400","3100","BeachTrap"
"EnemyB","NONE","NONE","Balloon","NONE","0","3400","SummerEnemyA_NoColl","NONE","0","2400","1021","0","0","700","AccelBoardA","1550","NONE","400","0","BeachTrap_NoCall"
"SummerEnemyB","NONE","NONE","BeachTrap","NONE","0","3400","BeachTrap","NONE","0","2500","1022","0","0","1200","SpeedTerritoryA","1800","NONE","800","0","AccelBoardA"
"SummerEnemyC","NONE","NONE","BeachTrap","NONE","0","3000","SummerJumpOverEnemyC","NONE","0","2000","1023","0","0","1000","BeachTrap","1500","BeachTrap","500","3500","WaterMelon"
"SummerEnemyB","SummerJumpOverEnemyC","NONE","Balloon","NONE","0","2300","SummerEnemyA_NoColl","NONE","0","1800","1024","3700","0","600","EnemyB_NoColl","1300","BeachTrap","400","3200","SpeedTerritoryA_NoColl"
"EnemyB","NONE","NONE","AccelBoardA","NONE","0","3400","AccelBoardA","NONE","0","2700","1025","0","0","1300","AccelBoardA","2000","NONE","900","0","AccelBoardA"
"EnemyB","NONE","NONE","AccelBoardA","NONE","0","0","WaterMelon","NONE","0","2500","1026","0","0","800","NONE","1500","NONE","400","0","BeachJumpBoard"
"SpeedTerritoryA","NONE","NONE","BeachTrap","NONE","0","2600","Balloon","NONE","0","1700","1027","0","0","630","SummerEnemyA_NoColl","700","BeachJumpBoard","400","3100","EnemyB_NoColl"
"SpeedTerritoryA","NONE","NONE","AccelBoardA","NONE","0","3200","SummerEnemyD","NONE","0","2700","1028","0","0","1400","AccelBoardA","2300","NONE","600","0","BeachTrap"
"SummerEnemyC","NONE","NONE","BeachTrap","NONE","0","0","SpeedTerritoryA","NONE","0","2500","1029","0","0","1000","NONE","1700","NONE","500","0","WarpGateA"
"WaterMelon","NONE","NONE","AccelBoardA","NONE","0","2800","AccelBoardA","NONE","0","2500","1030","0","0","1500","BeachTrap","2000","SpeedTerritoryA","500","3500","BeachTrap"
"Balloon","NONE","NONE","SpeedTerritoryA_NoColl","NONE","0","3200","SpeedTerritoryA_NoColl","NONE","0","2900","1031","0","0","1200","SummerEnemyD","2200","AccelBoardA","350","3500","BeachTrap"
"AccelBoardA","NONE","NONE","SummerEnemyA","NONE","0","0","SummerEnemyA","NONE","0","0","1032","0","0","1500","NONE","3000","NONE","700","0","NONE"
