eccf53dc7aafbb127794f2eec637a8ab7a9ec1d8aa2818f93eaa3ae1436fa82b,2a980d2846f0ce76fd1cfcf6266f8b6c943a1392efee99b67b7f2d9359850794,3fb8f24daa37fe08a89787d7f386e4029a54342909d125169294d300f49c721d,34438d1982e45e3a81b14c9fcf97bca3d6a312bf4ad61c4f04bf2c36710e6a2a,3424427145d1140abc3f97fbed43b250440631188818b847e3cda9789ff0ca36,6517fb39a78cfdb7810b72e90b30b216319c1a3c4510766189256e0b67453625,86cd4c564a779fee8c350db8e6331dc6362bafb227e0fd59aeaa8aac451dfb89,a9bdde0362cfa279c247547dab6aa01968560571ace7021918b86e9a26ae7193
"0","1","1","3050100","10101020","0","24","1"
"0","2","1","4010200","0","0","24","2"
"0","3","1","3030200","10401020","0","24","3"
"0","4","1","3050200","10401020","0","24","4"
"0","5","1","3040200","10401020","0","24","5"
"0","6","1","3020200","10401020","0","24","6"
"0","7","1","4010300","0","0","24","7"
"0","8","1","3030100","10101020","0","24","101"
"0","9","1","3010201","0","0","24","102"
"0","10","1","3020201","0","0","24","103"
"0","11","1","3010301","0","0","24","104"
"0","12","1","3030301","0","0","24","105"
"0","13","1","3040301","0","0","24","106"
"0","14","1","3050301","0","0","24","107"
"0","15","1","3020301","0","0","24","108"
"0","16","1","3030300","10401050","0","24","109"
"0","17","1","3040300","10401050","0","24","110"
"0","18","1","3050300","10401050","0","24","111"
"0","19","1","3020300","10401050","0","24","112"
"0","20","1","3010100","10101020","0","24","201"
"0","21","1","3020100","10101020","0","24","202"
"0","22","1","3030100","10101020","0","24","203"
"0","23","1","3040100","10101020","0","24","204"
"0","24","1","3050100","10101020","0","24","205"
"0","25","1","3010200","10101020","0","24","206"
"0","26","1","3020200","10101020","0","24","207"
"0","27","1","3030200","10101020","0","24","208"
"0","28","1","3040200","10101020","0","24","209"
"0","29","1","3050200","10101020","0","24","210"
"0","30","1","1010301","0","112","24","401"
"0","31","1","1020301","0","203","24","402"
"0","32","1","1030301","0","306","24","403"
"0","33","1","1040301","0","401","24","404"
"0","34","1","1050301","0","508","24","405"
"0","35","1","1020301","20101050","209","24","406"
"0","36","1","1030301","20101050","306","24","407"
"0","37","1","1040301","20101050","407","24","408"
"0","38","1","1050301","20101050","501","24","409"
"11001337","39","1","0","0","0","15","600"
"91002","40","150","0","0","0","8","600"
"11001338","41","1","0","0","0","15","700"
"91002","42","150","0","0","0","8","799"
"11001339","43","1","0","0","0","15","800"
"0","44","1","0","0","0","24","999"
