f1515e749d6b33cd5c0af2aee07f393ec8b1dcc64084da03a9f1b5b892a89bc4,9971300812ce8196c61006190c0cfd9662e4e9d577f552fbca5cb10202a7f4dc,f52b5e6708da9d712e8d3dbb6575c497f5feda8bfc20db678343dd0822bb35e0,3595286f91efa253778ab9c839c89a9bdb184a6d9c7db521c09d5281431b8733,14d1124472c70186eb5ff613001627db07337627d24422a01007e6164148a6eb,8196d36dc8c54acccc61d31edc49fe579fc711ceb070cf39b77636c03e3e3451,374c26d104949fdfa59f6815a6aa581198ad77ba8d555cd7f0214e04c6ae9e2a,09631946deca96eab2fca5035033d211a37ca5d82b409a3678351812ad25d1d3,756cc9963ec000447f0c65fb6c9965491edd210ffe6142a6d6fd308226558c52,be637abe2acd9b81ac3310f7b1789cb8f86a26a35cfe2a80516bcc434e8d8ff4
"1","最大50％割引確定のショップを開く（1品100％割引あり）","1","","1001","10001","0","","126501","ライラエル"
"2","最大1000マイルを入手する","2","","1002","10001","0","","105301","モニカ"
"1","料理を{0}つ入手する","3","","1003","1","0","","126401","クローチェ"
"3","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1004","1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","100501","マツリ"
"2","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1005","2","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","101301","ナナカ"
"2","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","1006","4","0","","104301","マコト"
"3","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","1007","3","0","","102701","エリコ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1008","7","0","","100901","アンナ"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","1","","1009","10001","0","","105101","ミツキ"
"2","最大1000マイルを入手する","2","","1010","10001","0","","101801","イオ"
"2","ダイスの表と裏\nどちらを適用するか選択できる","8","ダイスの表と裏\nどちらを適用するか選択できる","1011","0","0","","129701","ネフィ＝ネラ"
"3","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1012","1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","101601","スズナ"
"2","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1013","2","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","105601","ルカ"
"3","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","1014","3","0","","102001","ミミ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1015","7","0","","129601","アネモネ"
"2","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","10","出たダイスの目が{0}だった場合、ライバルを{1}ターン休みにできる","1016","1","1","","100401","ミソギ"
"3","出たダイスの目が{0}だった場合、\n+{1}進める","13","出たダイスの目が{0}だった場合、\n+{1}進める","1017","2","1","","127701","リンド"
"2","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","10","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","1018","1","1","","127801","ヴルム"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","1","","1019","10001","0","","104801","ミフユ"
"2","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1020","2","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","104701","ジュン"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1021","7","0","","105001","ミサキ"
"1","最大2000マイルを入手する","2","","1022","10002","0","","103201","アキノ"
"1","福引券を{0}枚入手する","12","","1023","1","0","","130901","クルル"
"1","料理を{0}つ入手する","3","","1024","1","0","","102501","スズメ"
"2","ダイスの表と裏\nどちらを適用するか選択できる","8","ダイスの表と裏\nどちらを適用するか選択できる","1025","0","0","","100801","ユキ"
"2","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","1026","4","0","","123301","ネア"
"1","最大50％割引確定のショップを開く（1品100％割引あり）","1","","1027","10001","0","","104601","タマキ"
"2","ダイスの目を{0}回振りなおせる","4","ダイスの目を{0}回振りなおせる\n（あと{1}回）","1028","2","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","118101","ランファ"
"1","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1029","7","0","","103401","ユカリ"
"1","最大2000マイルを入手する","2","","1030","10002","0","","118001","クレジッタ"
"1","福引券を{0}枚入手する","12","","1031","1","0","","102801","サレン"
