4361977c2ea1fee8c7792ecd4d03b429025e38ea85a6ec93963783073e069e2c,8628c95e86f49351c1ae10c5f515d1022e67e38a8424db9f0df0d88b1e311bc5,a6fa0bfe828b349273dedb40a92abf1830c53cf286717a2569488fa3141bd8ff,47843b32857db760e669d40a65b6acf8314a4448f69c489b610f1eccfe33c8ea,a80f6f5a0b21bde2191d30953bb97efc95c55e8eb8fe353fd51ff46f5f246b60
"1","3","2","10201","1"
"2","3","2","10202","2"
"3","3","2","10203","3"
"4","10","2","10301","4"
"5","10","2","10302","5"
"6","10","2","10303","6"
"7","10","2","10304","7"
"8","20","2","10401","8"
"9","20","2","10402","9"
"10","20","2","10403","10"
"11","20","2","10404","11"
"12","20","2","10405","12"
"13","20","2","10406","13"
"14","20","2","10407","14"
"15","20","2","10408","15"
"16","20","2","10409","16"
"17","3","1","10701","1"
"18","3","1","10601","2"
"19","3","1","10602","3"
"20","3","1","10603","4"
"21","3","1","10604","5"
"22","10","1","11301","6"
"23","10","1","11302","7"
"24","10","1","11303","8"
"25","20","1","11401","9"
"26","20","1","11402","10"
"27","20","1","11403","11"
"28","20","1","11601","12"
"29","20","1","11602","13"
"30","20","1","11603","14"
"31","20","1","11604","15"
"32","20","1","11605","16"
"33","20","1","11606","17"
"34","20","1","11101","18"
"35","20","1","11102","19"
"36","20","1","11103","20"
"37","20","1","11701","21"
"38","20","1","11702","22"
"39","20","1","11703","23"
"40","3","3","10501","1"
"41","3","3","10502","2"
"42","3","3","10503","3"
"43","10","3","11201","4"
"44","10","3","10801","5"
"45","10","3","10802","6"
"46","10","3","10803","7"
"47","10","3","10804","8"
"48","20","3","10901","9"
"49","20","3","10902","10"
"50","20","3","10903","11"
"51","20","3","10904","12"
"52","20","3","11001","13"
"53","20","3","11002","14"
"54","20","3","11003","15"
"55","20","3","11501","16"
"56","20","3","11502","17"
"57","20","3","11503","18"
"58","20","3","11504","19"
"59","20","3","11505","20"
"60","20","3","11506","21"
