1d0b09b56c7b1cb2aedacce7dc43e4537356ffef01d825eb02460633e2fc12fd,4768a953a86621a849fb0212eaebcd92baa2822a0aba6cfbcdb83f10ad3d479c,33ee3b26576251695822061eb844e73c0bb3fef4111ac02550b4bc9f2559b8dc,b75660c8fe2dfea8c8b0096ffa5f38be81a9a7b506d3bdb1aa270a85bda37b95,f6af4162b4d17bcbe488688fb1f28e17c1d4422c2b9599a118c460be17f50e82,b6fe2e37ed4fde62349394f652a00908378f05a194276fa45e43004e45e89875,0045d5d642ee64aa25e8c20068a2642da00c96ae2141cdca68a731c2d8ce6b8b,1590e5a6a16d0d86ec5e059ed3cfa36bc1114534272f1c3ade24e8752344ce86,8bb88f0a7746633bce1616ddb15e94d142d266830c290ab69694c796cbbb284b,f68ec208c9431d5782505dd9fd93f03776415c06d53114ac09877cf0c77cb0e7,7db1e0c02769a1978553d31cde1875e6c6d51a3e19e1d2facd66fb78e0e5cb2a,ae66835eeab16b85d984729542384b90ddbd9e48536a01c0469b38c70c4d48fc,63649dc8e8df7ea003d14bf90104bab928823eaabeb92aa006b0456dbe197461,71c5d286d2114374b9d04f104b92a10e6d8310c022e321b0e12c3c509f4ab2ef
"31058","0","105801","0","2","0","100","0","28001","2030/08/01 14:59:59","2020/08/04 12:00:00","1","0","0"
"31075","0","107501","0","2","0","100","0","28001","2030/08/01 14:59:59","2020/08/04 12:00:00","2","0","0"
"31804","0","180401","0","2","0","100","0","28001","2030/08/01 14:59:59","2020/08/04 12:00:00","3","0","0"
"31059","0","105901","0","2","0","100","0","28002","2030/08/01 14:59:59","2020/08/04 12:00:00","1","0","0"
"31076","0","107601","0","2","0","100","0","28002","2030/08/01 14:59:59","2020/08/04 12:00:00","2","0","0"
"31119","0","111901","0","2","0","100","0","28002","2030/08/01 14:59:59","2020/08/04 12:00:00","3","0","0"
"31805","0","180501","0","2","0","100","0","28002","2030/08/01 14:59:59","2020/08/04 12:00:00","4","0","0"
"31060","0","106001","0","2","0","100","0","28003","2030/08/01 14:59:59","2020/08/04 12:00:00","1","0","0"
"31078","0","107801","0","2","0","100","0","28003","2030/08/01 14:59:59","2020/08/04 12:00:00","2","0","0"
"31120","0","112001","0","2","0","100","0","28003","2030/08/01 14:59:59","2020/08/04 12:00:00","3","0","0"
