57d09de225253e99aaefb9f361c2b714cf7aac6a8e2eee12e746449c31a444c4,6b70d2f68981b0f07653c8414452e46326ca1b7b74d8eb23f9379803a73bcb31,9909c6233154a92eeb918008f6f39ce8b43366b2f948cf7104cbd3202e362bab,0a9d049de7eb9c8e151c576a4d4a8c40d26696339b1ee52da99d20e47750946f,603b23651d08dd8e4e61b37679bb86f28eed224454c0384757a26df7a1e006be,c6f1a50a95f967a15b406bcc6dbb52db50d04ec3f3d91be0a889ca84f48fbf79,714b4b4e9b1f536f5fcb12a1c810a15b2bfcbf77b72f691c9327acfc6c1b8de8,424945724014a81cc88433440c0dbe0cadf72836e171b2fa5ca28c99f9172d31,f18dc205db526f3986c4228361f29a654a0a16101dc6f50766595214aa653caa,24f38348d5f74d8fe8acd07b8413c17ebdd4dfe3446a210659ca78707528fdfe,9183c2668a661c10f452cfd40531e35ae7c8a8094b7f090413a54dd0ded14a0a
"1","5","1.4","1","-103","100","idle_normal","1001","1","1","-216"
"","31","0","13","1","-57","","1002","1","13","-140"
"","31","0","14","1","-57","","1003","1","14","-140"
"","91","","0","","","","1004","1","0",""
"0","3","0.2","1","1","0","","1005","1","top_luis_arm_crossed_in","top_luis_arm_crossed_idle"
"","93","","4","","","","1006","1","0",""
"0","3","0.2","1","1","0","","1007","1","top_luis_approach_in","top_luis_approach_idle"
"","93","","3.5","","","","1008","1","0",""
"","3","0.2","1","","1","","1009","1","top_luis_thinking",""
"","93","","3.5","","","","1010","1","0",""
"","3","0.2","1","","1","","1011","1","top_luis_walk_think",""
"","2","","1","0","-103","","1012","1","-495","2"
"","93","","2","","","","1013","1","0",""
"","4","","1","","","","1014","1","0",""
"","2","","1","0","-103","","1015","1","-216","2"
"","93","","2","","","","1016","1","0",""
"","3","0","1","","1","","1017","1","top_luis_notice",""
"","93","","1","","","","1018","1","0",""
"","3","0.2","1","","1","","1019","1","top_luis_walk_jog",""
"","2","","1","0","-130","","1020","1","-100","0.5"
"","93","","0.5","","","","1021","1","0",""
"","4","","1","","","","1022","1","1",""
"0","3","0.2","1","1","0","","1023","1","top_luis_sit_in","top_luis_sit_idle"
"","93","","0.1","","","","1024","1","0",""
"","2","","1","0","-140","","1025","1","-57","0.4"
"","93","","1","","","","1026","1","0",""
"","3","0.2","1","","0","","1027","1","top_luis_experiment_failer_in",""
"","93","","2.3","","","","1028","1","0",""
"","3","0.1","1","","0","","1029","1","top_luis_experiment_failer_mix",""
"","93","","2.7","","","","1030","1","0",""
"","32","","13","","","","1031","1","1",""
"","3","0.1","1","","0","","1032","1","top_luis_experiment_failer_burst",""
"","93","","2.7","","","","1033","1","0",""
"","3","0.1","1","","0","","1034","1","top_luis_experiment_failer_out",""
"","93","","1.1","","","","1035","1","0",""
"0","3","0.2","1","1","0","","1036","1","top_luis_sit_out","idle_normal"
"","2","","1","0","-130","","1037","1","-100","0.3"
"","93","","1","","","","1038","1","0",""
"","3","0.2","1","","0","","1039","1","walk_normal",""
"","2","","1","0","-103","","1040","1","-216","1"
"","93","","1","","","","1041","1","0",""
"","3","0.1","1","","0","","1042","1","idle_normal",""
"","93","","0.8","","","","1043","1","0",""
"","32","","13","","","","1044","1","0",""
"0","3","0.2","1","1","0","","1045","1","top_luis_arm_crossed_in","top_luis_arm_crossed_idle"
"","93","","4","","","","1046","1","0",""
"0","3","0.2","1","1","0","","1047","1","top_luis_approach_in","top_luis_approach_idle"
"","93","","3.5","","","","1048","1","0",""
"","3","0.2","1","","1","","1049","1","top_luis_thinking",""
"","93","","3.5","","","","1050","1","0",""
"","3","0.2","1","","1","","1051","1","top_luis_walk_think",""
"","2","","1","0","-103","","1052","1","-495","2"
"","93","","2","","","","1053","1","0",""
"","4","","1","","","","1054","1","0",""
"","2","","1","0","-103","","1055","1","-216","2"
"","93","","2","","","","1056","1","0",""
"","3","0","1","","1","","1057","1","top_luis_notice",""
"","93","","1","","","","1058","1","0",""
"","3","0.2","1","","1","","1059","1","top_luis_walk_jog",""
"","2","","1","0","-130","","1060","1","-100","0.5"
"","93","","0.5","","","","1061","1","0",""
"","4","","1","","","","1062","1","1",""
"0","3","0.2","1","1","0","","1063","1","top_luis_sit_in","top_luis_sit_idle"
"","93","","0.1","","","","1064","1","0",""
"","2","","1","0","-140","","1065","1","-57","0.4"
"","93","","1","","","","1066","1","0",""
"","3","0.2","1","","0","","1067","1","top_luis_experiment_success_in",""
"","93","","2.3","","","","1068","1","0",""
"","3","0.1","1","","0","","1069","1","top_luis_experiment_success_mix",""
"","93","","2.7","","","","1070","1","0",""
"","32","","14","","","","1071","1","1",""
"","3","0.1","1","","0","","1072","1","top_luis_experiment_success_burst",""
"","93","","2.7","","","","1073","1","0",""
"","3","0.1","1","","0","","1074","1","top_luis_experiment_success_out",""
"","93","","1.1","","","","1075","1","0",""
"0","3","0.2","1","1","0","","1076","1","top_luis_sit_out","idle_normal"
"","2","","1","0","-130","","1077","1","-100","0.3"
"","93","","1","","","","1078","1","0",""
"","3","0.2","1","","0","","1079","1","walk_normal",""
"","2","","1","0","-103","","1080","1","-216","1"
"","93","","1","","","","1081","1","0",""
"","3","0.1","1","","0","","1082","1","idle_normal",""
"","93","","0.8","","","","1083","1","0",""
"","32","","14","","","","1084","1","0",""
"","101","","1005","","0","","1085","1","","0"
"1","5","1.43","2","-130","100","top_iroha_read","2001","2","2","400"
"1","5","1.4","11","130","101","butterfly","2002","2","11","980"
