0662a582dc50d9e8fda5f28f6dc0cc51271e85e595eb17eb9615a1f6b861b3a7,2f255e0139ad8c5945827c6ec86d0cf939c549f9fcb862de7a5269240702d742,1e9fa946e969e2b1ab68f5b1fd086a772da985379313f0941f21771d6d5d964b,71164610632079e7a6727b3b4324fcd77d2710b033c236a8a43e74839935f00a,a614914a5f0c2eda7304575369350ed9cbe5563c452c7cdafbf738c04733bea6,c3b5f63ce94459660a9ce551102485ca28d75e42197a94de911b49ae22bb0543,b11f99489845247d74169319775d65d973c32405d5ceb1de6141097d54279229,e9466875c63628382e8d191936bc39441081579e17320a308d44c066fa0bbb11,abe52b1302e9d4cd8a2e8026f34246c71160855919debe99a567ca2054c0f9b2,c56a89e6205e161408a8e2a4ce4462abdcdf91ae3ef3df168da083e66aad3661,5c4ed447ff9f3c60bb5b7b25c4bfabbf9d946cfa17591c757c652a18a91fb2fa
"1","01_uek_cmn_idol_def_N","100","-496","105831","-157","1","1.3","1","0","1010001"
"1","01_uek_cmn_idol_def_N","110","-355","105931","-178","1","1.3","1","0","1010002"
"1","01_uek_cmn_idol_def_N","100","410","112631","-124","1","1.3","1","1","1010003"
"1","01_uek_cmn_idol_def_N","110","389","112531","-258","1","1.3","1","1","1010004"
"1","01_uek_cmn_idol_def_N","120","-415","106031","-234","1","1.3","1","0","1010005"
"1","01_uek_cmn_idol_def_N","120","262","112431","-235","1","1.3","1","1","1010006"
"1","","0","01_uek_cmn_pose03","01_uek_01_peko","1","3","0","105831","0.2","1010007"
"1","","0","01_uek_talk_normal","01_uek_01_kokkoro","1","3","0","105931","0.2","1010008"
"1","","0","01_uek_cmn_pose02","01_uek_01_kyaru","1","3","0","106031","0.2","1010009"
"1","","0","01_uek_cmn_pose03","01_uek_01_mio","1","3","0","112631","0.2","1010010"
"1","","0","01_uek_cmn_pose02","01_uek_01_rin","1","3","0","112531","0.2","1010011"
"1","","0","01_uek_cmn_pose01","01_uek_01_uduki","1","3","0","112431","0.2","1010012"
"1","","","","","","93","","3","","1010013"
"1","","1","","01_uek_cmn_pose03","0","3","0.2","112631","","1010014"
"1","","1","","01_uek_cmn_pose01","0","3","0.2","112431","","1010015"
"1","","1","","01_uek_cmn_pose03","0","3","0.2","105831","","1010016"
"1","","0","01_uek_cmn_idol_def_N","01_uek_talk_normal","1","3","0.2","105931","0.1","1010017"
"1","","0","01_uek_cmn_idol_def_N","01_uek_cmn_pose02","1","3","0.2","106031","0.1","1010018"
"1","","0","01_uek_cmn_idol_def_N","01_uek_cmn_pose02","1","3","0.2","112531","0.1","1010019"
"1","","10","","うわぁ～…！\n大きくなりすぎて\nやばいですね☆","","11","","105831","","1010020"
"1","","","","","","91","","0","","1010021"
"1","","10","","うえきちゃんが\nどこまで続くのか\n分からないほどです","","11","","105931","","1010022"
"1","","","","","","91","","0","","1010023"
"1","","10","","こういうのってさ\n上がどうなってるか\n見てみたいよね！","","11","","112631","","1010024"
"1","","","","","","91","","0","","1010025"
"1","","10","","確かにね…それに\nこうなった理由も\n分かるかも","","11","","112531","","1010026"
"1","","","","","","91","","0","","1010027"
