2991210a90782011a6e6b9c85d0f9fab6aaa2c1d9c6ec0643b59908df7058ff3,9d057639d0e707881e5928d9392aea047bb8768148da699252a8edab18f19e37,e7355f4939010a010b64d0cd266ee38bb469ca6dceb18ec11d14342fefdfb35c,fff8073b26802738f3c7b9351514b4678813a047b598d449cf586e98bd9b0487,adc666fd5665ffbc062948f5a80d60759e5a581ddbc9aec70702de7efaa988a7,0eafe64fbc9e6c159ccf30de847c3178a48da9664919d78a890e1c7ffb4e749d,14d595478a97b4aee00285a75b01ac6e0c3290253a2bf90cfaa3e158c6f9a7bb,fefc4ae22408f8ace4776e7dd298c3afb935f35de25edbc77682e730887a3803,66e4839c5c28a86618679152fc45328d17832897c5a2bed92f0532e88a9f6356,8a2abd7bf4e793be84d37d6f3cb689e96dc4706483b6e81e699d93c2a2610ba8,cfb40839b0561884b2b2faf3d29b9c6d425122c626729b4c5b811dee34d76a41,6cdd14c2b08a5c938395421419b5d5861bf41dbc103d010b5455037f46aa17e3
"103","0","1","10","0","10140101","10140","107511","0","0","2","浮き輪泳ぎ（黄）"
"102","0","1","15","0","10140102","10140","107611","0","0","2","浮き輪泳ぎ（青）"
"103","0","1","10","0","10140103","10140","107711","0","0","1","浮き輪泳ぎ（黄）"
"102","0","1","10","0","10140106","10140","108011","0","0","2","浮き輪泳ぎ（青）"
"101","0","1","10","0","10140107","10140","110011","0","0","2","浮き輪泳ぎ（ピンク）"
"101","0","1","10","0","10140108","10140","110111","0","0","1","浮き輪泳ぎ（ピンク）"
"103","0","1","3","0","10140109","10140","110311","0","0","1","浮き輪泳ぎ（黄）"
"102","0","1","10","0","10140110","10140","110411","0","0","2","浮き輪泳ぎ（青）"
"102","0","1","10","0","10140111","10140","110511","0","0","2","浮き輪泳ぎ（青）"
"101","0","1","50","0","10140112","10140","110611","0","0","2","浮き輪泳ぎ（ピンク）"
"102","0","1","5","0","10140113","10140","113111","0","0","1","浮き輪泳ぎ（青）"
"102","0","1","5","0","10140114","10140","113211","0","0","1","浮き輪泳ぎ（青）"
"102","0","1","5","0","10140115","10140","113311","0","0","1","浮き輪泳ぎ（青）"
"102","0","1","10","0","10140116","10140","113411","0","0","2","浮き輪泳ぎ（青）"
"102","0","1","10","0","10140117","10140","113511","0","0","2","浮き輪泳ぎ（青）"
"102","0","1","10","0","10140118","10140","113611","0","0","2","浮き輪泳ぎ（青）"
"102","0","1","5","0","10140119","10140","115711","0","0","1","浮き輪泳ぎ（青）"
"101","0","1","10","0","10140120","10140","117011","0","0","2","浮き輪泳ぎ（ピンク）"
"102","0","1","10","0","10140121","10140","117111","0","0","2","浮き輪泳ぎ（青）"
"102","0","1","10","0","10140122","10140","117211","0","0","2","浮き輪泳ぎ（青）"
"102","0","1","10","0","10140123","10140","117311","0","0","2","浮き輪泳ぎ（青）"
"101","0","1","10","0","10140124","10140","117411","0","0","2","浮き輪泳ぎ（ピンク）"
"103","0","1","10","0","10140125","10140","122411","0","0","2","浮き輪泳ぎ（黄）"
"102","0","1","5","0","10140126","10140","122511","0","0","1","浮き輪泳ぎ（青）"
"101","0","1","10","0","10140127","10140","122611","0","0","2","浮き輪泳ぎ（ピンク）"
"102","0","1","10","0","10140128","10140","122711","0","0","1","浮き輪泳ぎ（青）"
"103","0","1","10","0","10140129","10140","122811","0","0","1","浮き輪泳ぎ（黄）"
"101","0","1","10","0","10140130","10140","122911","0","0","1","浮き輪泳ぎ（ピンク）"
"101","0","1","5","0","10140132","10140","126711","0","0","1","浮き輪泳ぎ（ピンク）"
"103","0","1","10","0","10140133","10140","126811","0","0","2","浮き輪泳ぎ（黄）"
"102","0","1","30","0","10140134","10140","126911","0","0","2","浮き輪泳ぎ（青）"
