01249f03b60143454504bc2d2e0ab8ad98b86fef99f95c4a77a150efc800ca1a,586055fded41bc57637d3bfad61a721cd2a49bc8373f862b860c03bc455d29c5,828fa61cf227f9321d8fc1cf380f512b0a9f4c4bd7ea51feaa5b3e0a2db3c9fa,763615f4746b2a9c62b69c9033c0d10add43327f35ba3bf7e016565eeac0307d,fdb802396d09dfce7a7f5ba6d22fa4e963d053b62c4ff8c80a05c4c6bda246b3,2ab936efaa648be3bdcf12563ba574a49ae2e00b41b4a1fb7e9f66f0bdd94a29,9d915239609bd6c9a7da01d05cb48710b7eda82bb6820fb8bc5eff29fe00ef47,6e6efd99475e6de1669e74ce53c16e985685c8095d1a35e79dac15772fd9186e,879f30083dda6e411d491ffe4da010c6ee219ceb816d7cca2bf21f3d9c0032e1,bb7c3e549ecd62f5c02705b06da0b16081487d5bca582998c5335fe31cf036ad,e233f2008d99a00f7307cfbf30c5dcf7f3594ecb46f75654be21c963a15ff4be
"-100","101001","1.5","0","115","111831","nop_idle_joy1","-150","1","1","101"
"100","101002","1.5","1","114","120731","nop_idle_normal_joy","-150","1","1","101"
"-215","101003","1.5","0","111","120831","nop_idle_arm_crossed","-127","1","1","101"
"215","101004","1.5","1","110","111931","nop_idle_normal","-127","1","1","101"
"-330","101005","1.5","0","113","120931","nop_idle_thinking","-150","1","1","101"
"330","101006","1.5","1","112","112031","nop_idle_normal","-150","1","1","101"
"-100","102001","1.5","0","115","108731","nop_idle_joy1","-150","1","1","102"
"100","102002","1.5","1","114","108831","nop_idle_joy_normal","-150","1","1","102"
"-215","102003","1.5","0","111","108931","nop_idle_normal","-127","1","1","102"
"-100","103001","1.5","0","113","102011","nop_idle_joy1","-135","1","1","103"
"-215","103002","1.5","0","115","100411","nop_idle_normal","-150","1","1","103"
"100","103003","1.5","1","114","103631","nop_idle_wish","-143","1","1","103"
"-100","104001","1.5","0","115","101231","nop_idle_normal","-150","1","1","104"
"100","104002","1.5","1","114","104011","nop_idle_normal","-150","1","1","104"
"-215","104003","1.5","0","111","101511","nop_idle_normal","-127","1","1","104"
"-100","105001","1.5","0","113","103111","nop_idle_normal","-135","1","1","105"
"100","105002","1.5","1","111","102211","nop_idle_sad","-135","1","1","105"
"-215","105003","1.5","0","115","100711","nop_05_miyako_idle_normal","-150","1","1","105"
"215","105004","1.5","1","112","100611","nop_idle_joy1","-150","1","1","105"
"-25","105005","1.5","1","114","2051","nop_skull_idle","-135","5","1","105"
"-215","106001","1.5","0","115","104731","nop_idle_arm_crossed","-150","1","1","106"
"215","106002","1.5","1","114","107131","nop_idle_arm_crossed","-150","1","1","106"
"-100","106003","1.5","0","111","103731","nop_idle_normal","-135","1","1","106"
"100","106004","1.5","1","110","100511","nop_idle_joy1","-135","1","1","106"
"-100","107001","1.5","0","115","102831","nop_idle_normal","-150","1","1","107"
"100","107002","1.5","1","114","102111","nop_idle_normal","-150","1","1","107"
"-215","107003","1.5","0","111","102511","nop_idle_normal","-127","1","1","107"
"215","107004","1.5","1","110","102311","nop_idle_normal","-127","1","1","107"
"-100","108001","1.5","0","115","101011","nop_idle_joy_normal","-150","1","1","108"
"100","108002","1.5","1","114","104331","nop_idle_arm_crossed","-150","1","1","108"
"-215","108003","1.5","0","111","101711","nop_idle_joy1","-127","1","1","108"
"215","108004","1.5","1","110","101431","nop_idle_normal","-127","1","1","108"
"-100","109001","1.5","0","115","103311","nop_idle_joy1","-150","1","1","109"
"-215","109002","1.5","0","111","105211","nop_idle_joy_normal","-127","1","1","109"
"100","109003","1.5","1","114","102611","nop_idle_sad2","-150","1","1","109"
"215","109004","1.5","1","110","103811","nop_idle_normal","-127","1","1","109"
"-100","110001","1.5","0","115","103231","nop_idle_joy1","-150","1","1","110"
"215","110002","1.5","1","110","103411","nop_10_yukari_02","-127","1","1","110"
"215","110003","1.5","1","111","11","nop_10_yukari_02","-127","5","1","110"
"100","110004","1.5","1","114","104811","nop_idle_doya","-150","1","1","110"
"-215","110005","1.5","0","111","104611","nop_idle_joy_normal","-127","1","1","110"
"-100","111001","1.5","0","115","100911","nop_11_anna_idle_arm_crossed","-150","1","1","111"
"100","111002","1.5","1","114","101311","nop_idle_joy_normal","-150","1","1","111"
"-215","111003","1.5","0","111","102711","nop_11_eriko_idle_wish","-127","1","1","111"
"215","111004","1.5","1","110","105111","nop_idle_normal","-127","1","1","111"
"100","112001","1.5","1","115","101831","nop_idle_joy1","-143","1","1","112"
"-100","112002","1.5","0","110","101611","nop_idle_joy_normal","-135","1","1","112"
"-215","112003","1.5","0","114","105011","nop_idle_joy_normal","-150","1","1","112"
"100","113001","1.5","1","113","105331","nop_idle_normal_joy","-150","1","1","113"
"-100","113002","1.5","0","114","104511","nop_13_kuka_idle_memory2","-150","1","1","113"
"-215","113003","1.5","0","110","103031","nop_idle_joy1","-127","1","1","113"
"-330","113004","1.5","0","111","100811","nop_idle_thinking","-150","1","1","113"
"240","113005","1.5","1","115","105511","nop_idle_sad","-150","1","1","113"
"100","114001","1.5","1","115","106831","nop_idle_normal","-150","1","1","114"
"-100","114002","1.5","0","114","101131","nop_idle_normal","-150","1","1","114"
"-215","114003","1.5","0","110","104931","nop_idle_normal","-127","1","1","114"
"100","115001","1.5","1","115","102931","nop_idle_joy1","-143","1","1","115"
"-100","115002","1.5","0","110","104211","nop_idle_wish","-135","1","1","115"
"-215","115003","1.5","0","114","105411","nop_idle_normal","-150","1","1","115"
"100","116001","1.5","1","115","106731","nop_idle_normal","-150","1","1","116"
"-100","116002","1.5","0","114","106631","nop_idle_joy1","-150","1","1","116"
"-215","116003","1.5","0","110","106531","nop_16_kaya_idle_normal2","-127","1","1","116"
"180","116004","1.5","1","116","2","nop_rago_idle","-150","5","1","116"
"100","117001","1.5","1","115","111031","nop_idle_normal","-150","1","1","117"
"-100","117002","1.5","0","114","110931","nop_idle_joy2","-150","1","1","117"
"-215","117003","1.5","0","110","110831","nop_17_chloe_idle_normal2","-127","1","1","117"
"-100","117004","1.5","0","115","1","NoItem_idle","-150","5","1","117"
"-100","118001","1.5","1","115","114711","nop_18_muimi_idle_joy_normal","-150","1","1","118"
"100","118002","1.5","0","114","118511","nop_18_karin_idle_normal","-150","1","1","118"
"-215","118003","1.5","0","111","115031","nop_idle_normal","-127","1","1","118"
"215","118004","1.5","1","110","118031","nop_idle_joy1","-127","1","1","118"
"-60","201001","1.2","0","100","111831","nop_idle_joy1","0","1","1","201"
"60","201002","1.2","1","101","120731","nop_idle_normal_joy","0","1","1","201"
"-130","201003","1.2","0","102","120831","nop_idle_arm_crossed","-5","1","1","201"
"130","201004","1.2","1","103","111931","nop_idle_normal","-5","1","1","201"
"-200","201005","1.2","0","104","120931","nop_idle_thinking","-20","1","1","201"
"200","201006","1.2","1","105","112031","nop_idle_normal","-20","1","1","201"
"-60","202001","1.2","0","100","108731","nop_idle_joy1","0","1","1","202"
"60","202002","1.2","1","101","108831","nop_idle_joy_normal","0","1","1","202"
"-130","202003","1.2","0","102","108931","nop_idle_normal","-5","1","1","202"
"-60","203001","1.2","0","100","102011","nop_idle_joy1","0","1","1","203"
"-130","203002","1.2","0","101","100411","nop_idle_normal","-5","1","1","203"
"60","203003","1.2","1","102","103631","nop_idle_wish","-5","1","1","203"
"-60","204001","1.2","0","100","101231","nop_idle_normal","0","1","1","204"
"60","204002","1.2","1","101","104011","nop_idle_normal","0","1","1","204"
"-130","204003","1.2","0","102","101511","nop_idle_normal","-5","1","1","204"
"-80","205001","1.2","0","100","103111","nop_idle_normal","0","1","1","205"
"60","205002","1.2","1","101","102211","nop_idle_sad","0","1","1","205"
"-150","205003","1.2","0","104","100711","nop_05_miyako_idle_normal","-5","1","1","205"
"130","205004","1.2","1","103","100611","nop_idle_joy1","-5","1","1","205"
"-20","205005","1.2","1","102","2051","nop_skull_idle","0","5","1","205"
"-130","206001","1.2","0","102","104731","nop_idle_arm_crossed","-5","1","1","206"
"130","206002","1.2","1","103","107131","nop_idle_arm_crossed","-5","1","1","206"
"-60","206003","1.2","0","100","103731","nop_idle_normal","0","1","1","206"
"60","206004","1.2","1","101","100511","nop_idle_joy1","0","1","1","206"
"-60","207001","1.2","0","100","102831","nop_idle_normal","0","1","1","207"
"60","207002","1.2","1","101","102111","nop_idle_normal","0","1","1","207"
"-130","207003","1.2","0","102","102511","nop_idle_normal","-5","1","1","207"
"130","207004","1.2","1","103","102311","nop_idle_normal","-5","1","1","207"
"-60","208001","1.2","0","100","101011","nop_idle_joy_normal","0","1","1","208"
"60","208002","1.2","1","101","104331","nop_idle_arm_crossed","0","1","1","208"
"-130","208003","1.2","0","102","101711","nop_idle_joy1","-5","1","1","208"
