6abc947cf56dd09a75363599c03d3a9c8314a29899c004d6d4c24ee09c79628b,ab63bdff4f05af74acbc0382e285527686bd0cde121ff4fa0b2d4255616481c1,2603eee7018a515cf24880d41304fe7b30e6ba9528bcef23e734fa44b055c1a1,77e174ccbd4dd2da8f65a471eaa880d786d2183dc5f911b4389091d85648ba2b,f407d879c1ca0b1c848062d4e89d22ee488a7729aa43acb9079260f814dd5429,09177b8e9b5ed4c84af42e009a89b80d12e43a99b128124a79385da523e57f12,6ed8d3cc51234da808c4eed31bf081e23ed09013a6ee3a23f08e6c06852b3ff4,cbf8700d1e9329137cc04d4410c85a32706fe40b2e92b7f5dd831cdf2de93b40,d17e922d91a497b4b2755e69d0d1bf8af47506c0f9fbfc1fdd3fa3e32336f980,6ea0da768f9be83f7af3febd65997a5bea09e49b4d1f3a8b3fdb09cd7fe24bc5,98b267521d0668220338a0aee7aa3047beea60c4e5fbbc26ea1cf75da0702731
"1010001","1","5","1","102611","850","100","-120","1","1","ttk_idle_def"
"1010002","1","31","2","2","0","0","1","1","",""
"1010003","1","31","1","1","-80","-120","1","1","",""
"1010004","1","93","1","","","","","","",""
"1010005","1","21","vo_minigame_1005","vo_minigame_1005_top_000","0","0","","","",""
"1010006","1","3","102611","ttk_doya","0","ttk_idle_doya","1","0.3","0.3",""
"1010007","1","11","102611","任された仕事は\nきちんとやるよ","8","","","0","0",""
"1010008","1","91","0","","","","","","",""
"1020001","2","5","1","102611","850","100","-120","1","1","ttk_idle_def"
"1020002","2","31","2","2","0","0","1","1","",""
"1020003","2","31","1","1","-80","-120","1","1","",""
"1020004","2","93","1","","","","","","",""
"1020005","2","21","vo_minigame_1005","vo_minigame_1005_top_001","0","0","","","",""
"1020006","2","3","102611","ttk_idle_smile","0","ttk_idle_def","1","0.3","0.3",""
"1020007","2","11","102611","あたしの前に\n現れたこと\n後悔させてあげる","8","","","0","0",""
"1020008","2","91","0","","","","","","",""
"1030001","3","5","1","102611","850","100","-120","1","1","ttk_idle_def"
"1030002","3","31","2","2","0","0","1","1","",""
"1030003","3","31","1","1","-80","-120","1","1","",""
"1030004","3","93","1","","","","","","",""
"1030005","3","21","vo_minigame_1005","vo_minigame_1005_top_002","0","0","","","",""
"1030006","3","3","102611","ttk_joy","0","ttk_idle_joy","1","0.1","0.3",""
"1030007","3","11","102611","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","8","","","0","0",""
"1030008","3","93","2.2","","","","","","",""
"1030009","3","3","102611","ttk_talk_sad","1","","","0.3","0.3",""
"1030010","3","93","3","","","","","","",""
"1030011","3","3","102611","ttk_idle_def","1","","","0.3","0.3",""
"1030012","3","91","0","","","","","","",""
"1040001","4","5","1","102611","850","100","-120","1","1","ttk_idle_def"
"1040002","4","31","2","2","0","0","1","1","",""
"1040003","4","31","1","1","-80","-120","1","1","",""
"1040004","4","93","1","","","","","","",""
"1040005","4","21","vo_minigame_1005","vo_minigame_1005_top_003","0","0","","","",""
"1040006","4","3","102611","ttk_shock","0","ttk_idle_shock","1","0.3","0.3",""
"1040007","4","11","102611","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","8","","","0","0",""
"1040008","4","93","5","","","","","","",""
"1040009","4","3","102611","ttk_idle_def","1","","","0.3","0.3",""
"1040010","4","93","0.7","","","","","","",""
"1050001","5","5","1","102611","850","100","-120","1","1","ttk_idle_def"
"1050002","5","31","2","2","0","0","1","1","",""
"1050003","5","31","1","1","-80","-120","1","1","",""
"1050004","5","93","1","","","","","","",""
"1050005","5","21","vo_minigame_1005","vo_minigame_1005_top_004","0","0","","","",""
"1050006","5","3","102611","ttk_surprise","0","","","0.3","0.3",""
"1050007","5","11","102611","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","8","","","0","0",""
"1050008","5","93","0.9","","","","","","",""
"1050009","5","3","102611","ttk_talk_anger","1","","","0.3","0.3",""
"1050010","5","93","0.8","","","","","","",""
"1050011","5","3","102611","ttk_sad","0","ttk_talk_sad","1","0.3","0.3",""
"1050012","5","93","5","","","","","","",""
"1050013","5","3","102611","ttk_idle_def","1","","","0.3","0.3",""
"1050014","5","91","0","","","","","","",""
"1060001","6","5","1","102611","850","100","-120","1","1","ttk_idle_def"
"1060002","6","31","2","2","0","0","1","1","",""
"1060003","6","31","1","1","-80","-120","1","1","",""
"1060004","6","93","1","","","","","","",""
"1060005","6","21","vo_minigame_1005","vo_minigame_1005_top_005","0","0","","","",""
"1060006","6","3","102611","ttk_idle_worry","1","","","0.3","0.3",""
"1060007","6","11","102611","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","8","","","0","0",""
"1060008","6","93","7","","","","","","",""
"1060009","6","3","102611","ttk_amz","0","ttk_idle_def","1","0.3","0.3",""
"1060010","6","91","0","","","","","","",""
