354ae2ec64675872f88f2deb9631096f881c01d7d9ff154161b13f2f85c8876e,149de9037c203a7c2902b2de2867c7bd4d044f8c5561096cd3ec4795bb5f1f64,eea0096a6f4b312548f81cd72da91f67d68cc1517215af0355b8a3ccbc883631,429f3fcdf82c271c101e00f737c7a17c4f1cff55a70acf1571967412ed4a7c55,00fa8e83b691c48672d314cb04c09ece3f03e6830ee609cfd8a64d5f1cd2fe4b,119b3f2d9d14114a9f92a1bae712540c6520c3ca9264375928072cc470839b9b,7af984732e0ae4aa04f6424a45c6ed1d046164c53af19a8376878a8f0efb0c28
"ふっふっふ、これでカヤぴぃとボスを見返してやるです！","1000101","1","2","10001","vo_minigame_1004","vo_minigame_1004_top_1_000"
"しりとりでの戦い、お兄さんにも手伝ってもらうです","1000201","1","2","10002","vo_minigame_1004","vo_minigame_1004_top_1_003"
"どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","1000301","2","1","10003","vo_minigame_1004","vo_minigame_1004_top_1_004"
"石板でしりとりか……イノリのヤツおもしろいこと考えるな","1000401","2","1","10004","vo_minigame_1004","vo_minigame_1004_top_1_005"
"しりとりだろうがなんだろうが返り討ちにしてやるぜ","1000501","2","1","10005","vo_minigame_1004","vo_minigame_1004_top_1_006"
"ぐもも……（オデ、ハラヘッタ）","1000601","3","2","10006","vo_minigame_1004","vo_minigame_1004_top_1_007"
"ぐもももも（シリトリ タノシイ）","1000701","3","2","10007","vo_minigame_1004","vo_minigame_1004_top_1_008"
"ぐもももも！（イノリ イイヤツ）","1000801","3","2","10008","vo_minigame_1004","vo_minigame_1004_top_1_009"
"カヤぴぃ相手でも手加減しないです","1000901","1","2","10009","vo_minigame_1004","vo_minigame_1004_top_2_010"
"上等だ！やるからには本気で来いよな","1000902","2","1","10009","vo_minigame_1004","vo_minigame_1004_top_2_011"
"カヤぴぃ、謝るなら今のうちです","1001001","1","2","10010","vo_minigame_1004","vo_minigame_1004_top_2_012"
"イノリこそ泣きを入れるなら今のうちだぜ？","1001002","2","1","10010","vo_minigame_1004","vo_minigame_1004_top_2_013"
"カヤぴぃ、これからは知性の時代ですよ？","1001101","1","2","10011","vo_minigame_1004","vo_minigame_1004_top_2_014"
"待て！オレがバカみたいにいうな！！","1001102","2","1","10011","vo_minigame_1004","vo_minigame_1004_top_2_015"
"さあ、あたしたちの力を見せてやるです","1001201","1","1","10012","vo_minigame_1004","vo_minigame_1004_top_2_016"
"ぐも！（マカセロ！）","1001202","3","2","10012","vo_minigame_1004","vo_minigame_1004_top_2_017"
"よしよし、いいですようまくできたらチョコをあげるです！","1001301","1","1","10013","vo_minigame_1004","vo_minigame_1004_top_2_018"
"ぐも！（オデ チョコスキ）","1001302","3","2","10013","vo_minigame_1004","vo_minigame_1004_top_2_019"
"なあイノリ……もしかして当初の目的見失ってないよな？","1001401","2","1","10014","vo_minigame_1004","vo_minigame_1004_top_2_023"
"もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","1001402","1","2","10014","vo_minigame_1004","vo_minigame_1004_top_2_024"
"いくらイノリ相手でも勝ちを譲る気はないからな！","1001501","2","1","10015","vo_minigame_1004","vo_minigame_1004_top_2_025"
"望むところです手加減はなしですよ","1001502","1","2","10015","vo_minigame_1004","vo_minigame_1004_top_2_026"
"へっ、なかなかやるじゃねえか","1001601","2","1","10016","vo_minigame_1004","vo_minigame_1004_top_2_027"
"カヤぴぃも思ったよりやるですね！","1001602","1","2","10016","vo_minigame_1004","vo_minigame_1004_top_2_028"
"お～い、ドラゴンもどき？","1001701","2","1","10017","vo_minigame_1004","vo_minigame_1004_top_2_029"
"ぐもっ！？（ヒッ！）","1001702","3","2","10017","vo_minigame_1004","vo_minigame_1004_top_2_030"
