29820c42ace428e4c71cdc49269c3ba7b1e61b5f7d0f8916ea435927053d8ede,938c387ccd0313a37a58628d17db071e0e680a3a656e36a707b0a06ff85a7a4e,879751d318fc39397acfa0e7fa8ca58c35210753b864fb2c0c09d13836717c3d,bcd59936ee6d2494c12f431c3b32ec6abb576a7e8fc8d316456b865d64cbfe3b,bbc9bc72111c360d9d388b96e711f6f86a4f14345cbab65e1a4294d3c6368969,1558dd28ae30cb8e3697ec24b59f0ba3006604ca42003505f1b4756b87b5af94,a239692c4b2485c6411bdeb71e2f1a59cd8cfc5abfabcf78c9e6dcef36e8374e,5e1f5ed08d4522c292b6f6777f52a5d27e38d84c256d02fb273fc9aa703fb4ce,30d8faad2f9e86019664a7de28dd16bef24ca16cc927e611942046ffcf6b8bf9
"0","0","0","2018/06/01 4:59:59","0","1","2018/05/22 5:00:00","1","1"
"0","0","0","2018/09/01 4:59:59","0","2","2018/08/21 5:00:00","1","2"
"0","0","0","2019/01/04 4:59:59","0","3","2018/12/22 5:00:00","1","3"
"0","0","0","2019/03/01 4:59:59","1","4","2019/02/15 5:00:00","1","4"
"4","14","0","2019/03/31 11:59:59","1","5","2019/03/01 5:00:00","0","5"
"0","0","0","2019/09/01 4:59:59","1","6","2019/08/15 5:00:00","1","6"
"0","0","0","2020/01/03 18:59:59","1","7","2019/12/20 5:00:00","1","7"
"0","0","0","2020/03/01 4:59:59","1","8","2020/02/15 5:00:00","1","8"
"0","0","0","2020/05/07 4:59:59","1","9","2020/04/30 5:00:00","1","9"
"0","0","0","2020/09/01 4:59:59","1","10","2020/08/15 5:00:00","1","10"
"0","0","0","2020/11/17 4:59:59","1","11","2020/11/10 5:00:00","1","11"
"11","7","0","2020/11/30 11:59:59","1","12","2020/11/17 5:00:00","0","12"
"0","0","0","2021/01/04 4:59:59","1","13","2020/12/21 5:00:00","1","13"
"13","14","0","2021/01/31 11:59:59","1","14","2021/01/04 5:00:00","0","14"
"0","0","0","2021/03/01 4:59:59","1","15","2021/02/15 5:00:00","1","15"
"15","14","0","2021/03/31 11:59:59","1","16","2021/03/01 5:00:00","0","16"
"0","0","0","2021/05/10 4:59:59","1","17","2021/04/30 5:00:00","1","17"
"0","0","0","2021/09/01 4:59:59","1","18","2021/08/15 5:00:00","1","18"
"18","17","0","2021/09/30 11:59:59","1","19","2021/09/01 5:00:00","0","19"
"0","0","0","2021/11/10 4:59:59","1","20","2021/11/03 5:00:00","1","20"
"20","7","0","2021/11/30 4:59:59","1","21","2021/11/10 5:00:00","0","21"
"0","0","0","2022/01/04 4:59:59","1","22","2021/12/22 5:00:00","1","22"
"22","13","0","2022/01/31 4:59:59","1","23","2022/01/04 5:00:00","0","23"
"0","0","0","2022/03/01 4:59:59","1","24","2022/02/15 5:00:00","1","24"
"24","14","0","2022/03/31 4:59:59","1","25","2022/03/01 5:00:00","0","25"
"0","0","0","2022/05/10 4:59:59","1","26","2022/04/30 5:00:00","1","26"
"0","0","0","2022/09/01 4:59:59","1","27","2022/08/15 5:00:00","1","27"
"0","0","0","2022/11/01 4:59:59","1","28","2022/10/25 5:00:00","1","28"
"0","0","0","2023/01/04 4:59:59","1","29","2022/12/23 5:00:00","1","29"
"0","0","0","2023/03/01 4:59:59","1","30","2023/02/15 5:00:00","1","30"
"0","0","0","2023/05/01 4:59:59","1","31","2023/04/25 5:00:00","1","31"
"0","0","0","2023/09/01 4:59:59","1","32","2023/08/15 5:00:00","1","32"
"0","0","0","2023/11/01 4:59:59","1","33","2023/10/26 5:00:00","1","33"
"0","0","0","2024/01/04 4:59:59","2","34","2023/12/22 5:00:00","1","34"
"0","0","0","2024/03/01 4:59:59","2","35","2024/02/15 5:00:00","1","35"
"0","0","0","2024/05/01 4:59:59","2","36","2024/04/26 5:00:00","1","36"
"0","0","0","2024/09/01 4:59:59","2","37","2024/08/15 5:00:00","1","37"
"0","0","0","2025/01/04 4:59:59","2","38","2024/12/22 5:00:00","1","38"
"0","0","0","2025/02/21 4:59:59","2","39","2025/02/10 5:00:00","1","39"
"0","0","0","2025/05/01 4:59:59","2","40","2025/04/26 5:00:00","1","40"
