f85c9d4f400db14acd5d38ed3df267b20a21511f51867aca3882a744e1582dce,8247f544bcf49eaba25df34e76b569f5e136700f6e93f9df8399487bcf244bf5,aba6499be177c95522f962b0608694f98781d3e770911122cdabdfb4ca55092c,7a3715c8e6d7e7f9620130a52ffeb2905852c89ba2d5581ecde756a0f1d0d70a,f9c498592fa74fe940c49d10a63c43babc2b42747c8ad3e57b202213cbdf33b1
"101","25","31008000","1","1"
"101","25","31001000","2","1"
"101","25","31002000","6","1"
"101","25","31001000","8","1"
"101","25","31006000","7","1"
"101","25","31007000","11","1"
"101","25","31002000","3","1"
"101","25","31007000","12","1"
"101","25","31005000","10","1"
"101","25","31007000","13","1"
"101","25","31006000","4","1"
"101","25","31004000","9","1"
"101","25","31007000","14","1"
"101","25","31008000","5","1"
