8a5e69fdd8369cf77c3d3d7c1fa36372ad16d44f28df8d8b3e5e84594ef25dac,c067960c038aa79df358644a303ab1a26bdd2ca035bb83e418544ba159175f11,373c8d705776591bc06f706e60371359d1d44e0656575ad489f870e07efcb3e4,b0f786b375eeb9615662311fd36c1e6547dfe3a2173a54c8331994371b9f0c67,826c9d49b765c16b51ee8c2ac60a81ec704bed08f3c3b59e088aa641dd79c16c,f4d7d4c61fe3769c33252b4b61ff3f5b5f5484854097292193ea0f1a2c0b518b,65e7d76ccde99b9995f5326262a7e457f3e7de2929ec2ad1824d9c461d0291a2,611e5ff67b17f0766ec1852854900c66c180737b749685a5280fcba75df18726,ab305d2e5071ddc0535767a0f5f5e199e2a6482697bd9c7fc56023c90ac16e78,6debaa01e3d4bc3ac728aeadc94011fc514cda1b04a5ccce819538b6a7a0e66e,b5a4977665c8af31dd362fce33a2c0e1005ec902cc2e003854b6a656305009c4
"10","10000101","10000101","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","1","1回バトルしよう","0","1000","0"
"10","10000102","10000102","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","5","5回バトルしよう","0","1000","0"
"10","10000103","10000103","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","10","10回バトルしよう","0","1000","0"
"10","10000104","10000104","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","15","15回バトルしよう","0","1000","0"
"10","10000105","10000105","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","20","20回バトルしよう","0","1000","0"
"10","10000106","10000106","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","25","25回バトルしよう","0","1000","0"
"10","10000107","10000107","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","30","30回バトルしよう","0","1000","0"
"10","10000108","10000108","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","35","35回バトルしよう","0","1000","0"
"10","10000109","10000109","2021/08/17 12:00:00","2021/08/24 11:59:59","7000","40","40回バトルしよう","0","1000","0"
"50","10050501","10050501","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","3000000","ミソラに累積300万ダメージ与えよう","1005","1005","0"
"50","10050502","10050502","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","9000000","ミソラに累積900万ダメージ与えよう","1005","1005","0"
"50","10050503","10050503","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","15000000","ミソラに累積1500万ダメージ与えよう","1005","1005","0"
"51","10050511","10050511","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1","ミソラに1度のバトルで100万ダメージ与えよう","1005","1005","1000000"
"51","10050512","10050512","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1","ミソラに1度のバトルで300万ダメージ与えよう","1005","1005","3000000"
"60","10060601","10060601","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","5000000","ランファに累積500万ダメージ与えよう","1006","1006","0"
"60","10060602","10060602","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","15000000","ランファに累積1500万ダメージ与えよう","1006","1006","0"
"60","10060603","10060603","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","24000000","ランファに累積2400万ダメージ与えよう","1006","1006","0"
"61","10060611","10060611","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1","ランファに1度のバトルで200万ダメージ与えよう","1006","1006","2000000"
"61","10060612","10060612","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1","ランファに1度のバトルで500万ダメージ与えよう","1006","1006","5000000"
"70","10070701","10070701","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","3000000","アゾールドに累積300万ダメージ与えよう","1007","1007","0"
"70","10070702","10070702","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","9000000","アゾールドに累積900万ダメージ与えよう","1007","1007","0"
"70","10070703","10070703","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","15000000","アゾールドに累積1500万ダメージ与えよう","1007","1007","0"
"71","10070711","10070711","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1","アゾールドに1度のバトルで100万ダメージ与えよう","1007","1007","1000000"
"71","10070712","10070712","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1","アゾールドに1度のバトルで300万ダメージ与えよう","1007","1007","3000000"
"80","10080801","10080801","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","5000000","カリザに累積500万ダメージ与えよう","1008","1008","0"
"80","10080802","10080802","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","15000000","カリザに累積1500万ダメージ与えよう","1008","1008","0"
"80","10080803","10080803","2021/08/17 12:00:00","2021/08/24 11:59:59","7001","24000000","カリザに累積2400万ダメージ与えよう","1008","1008","0"
"81","10080811","10080811","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1","カリザに1度のバトルで200万ダメージ与えよう","1008","1008","2000000"
"81","10080812","10080812","2021/08/17 12:00:00","2021/08/24 11:59:59","7002","1","カリザに1度のバトルで500万ダメージ与えよう","1008","1008","5000000"
