11ed3fd9a747b52bd71fd75508be18dce6d01a1e060e6b65220d62c4eb4e1351,8dda20f436bc74f3490d404abedac85e572a71e0171da5eb3cf0fcb8cf9edd0d,f13906bd23d60bd652bb2d8f573b965db0793a5c1a62ca80511a0c9f233d575c,14437160b009af078c384360ba383ffcf9f21875e8862d08bcbf0ef1809faabf,e94a3afa3b0ba9999d25276909814e9787aeaf6d5a8c29f18c903eb68e1764e4,aa13a1f013e517613995966ec3d82e42a5af5e752795841b516a65e24df53802,1c23ede10971e2fa3c6c867d3e7cf5edc45ce00e3f6debc5fe0ec52d1f846130
"107601","10004","BOSS討伐で解放！\n残り{0}体","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","1","71004025"
"108001","10005","BOSS討伐で解放！\n残り{0}体","[3C404E]BOSS討伐（全難易度共通）で解放！\n残り[FFBB00,CE4F00]{0}[-]体[-]","[3C404E]イベントを進めて、BOSSに挑戦、\nBOSS討伐を進めると限定キャラ解放！！[-]","2","71005025"
"108201","10007","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","3","71007031"
"108501","10009","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","4","71009031"
"108901","10010","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","5","71010031"
"109001","10011","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","6","71011031"
"109301","10013","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","7","71013031"
"109801","10017","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","8","71017031"
"110101","10019","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","9","71019031"
"107601","20004","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","10","72004021"
"110501","10021","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","11","71021035"
"108001","20005","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","12","72005021"
"111201","10025","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","13","71025031"
"108201","10026","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","15","71026031"
"111601","10029","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","16","71029031"
"108501","10030","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","17","71030031"
"112101","10031","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","18","71031031"
"108901","10032","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","19","71032031"
"112301","10033","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","20","71033031"
"112601","10035","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","21","71035031"
"109001","10034","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","22","71034031"
"109301","10039","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","24","71039031"
"113001","10042","ボスNORMAL討伐で解放！","[3C404E]ボスNORMAL討伐で解放！","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]","25","71042031"
