8aeab14da56071fa4f4a54b5493fd59361006c97aacd535c70588b174ccc5655,0b4412f0df907f137989327fa00c8a21054768a089be4a414c93648e91a768c6,83d70bb6baddb23a804564482fc7e3b909249d064fae7cde2a5e7b0ad6f409d2,c39a2f447ca48030fcc81ace3e73133400af594f228b910ed523efce76c7def9,a1489e9383073de217a427a5f3a6e44c8ac1065350cac6c07e2ab4bada209e3a,efb04529128ddb0756a183b0dfa070404bb98c678555e4d0b6a22b376fbaf185
"2","5201009","2","10201","0","102010201"
"2","5201010","3","10201","0","102010202"
"3","0","502510","10201","0","102010301"
"2","0","501220","10202","0","102020201"
"3","0","501201","10202","0","102020301"
"2","0","500801","10203","0","102030201"
"3","0","500031","10203","0","102030301"
"2","0","502360","10204","0","102040201"
"3","0","500030","10204","0","102040301"
"2","0","502170","10205","0","102050201"
"3","0","502080","10205","0","102050301"
"2","0","501030","10206","0","102060201"
"3","0","500160","10206","0","102060301"
"2","0","500690","10207","0","102070201"
"3","0","500163","10207","0","102070301"
"3","0","532300","10208","0","102080201"
"2","0","502460","10209","0","102090201"
"3","0","502290","10209","0","102090301"
"3","0","502080","10210","0","102100201"
"2","0","501460","10211","0","102110201"
"3","0","500037","10211","0","102110301"
"2","0","500341","10212","0","102120201"
"3","0","501470","10212","0","102120301"
"1","5213006","2","10213","0","102130102"
"1","5213010","3","10213","0","102130103"
"1","5213013","4","10213","0","102130104"
"3","0","502790","10213","0","102130301"
"2","0","502820","10214","0","102140201"
"3","0","502230","10214","0","102140301"
"1","5215007","2","10215","0","102150102"
"2","0","500194","10215","0","102150201"
"3","0","502830","10215","0","102150301"
"2","0","500361","10216","0","102160201"
"3","0","500360","10216","0","102160301"
"5","0","500140","10216","0","102160501"
"1","5217007","2","10217","0","102170102"
"2","0","502500","10217","0","102170201"
"3","0","502451","10217","0","102170301"
"2","0","500285","10218","0","102180201"
"3","0","501030","10218","0","102180301"
